arch,dt,epsilon,exp,init,log_dt,mu1,mu2,n_per_cluster,save_params,seed,sigma,t_end,width,run_id,t_end_logged,loss_final,loss_max_increase,antipodal_asym,n_in_S_ge_1e-04,n_off_S_ge_1e-04,n_in_rise_ge_1e-04,n_off_rise_ge_1e-04,n_in_S_ge_5e-05,n_off_S_ge_5e-05,n_in_rise_ge_5e-05,n_off_rise_ge_5e-05,n_in_S_ge_1e-05,n_off_S_ge_1e-05,n_in_rise_ge_1e-05,n_off_rise_ge_1e-05,n_in,n_off,comp_pop_S,comp_pop_rise,comp_pop_t_rev,comp_pop_t_min,comp_pop_E0,comp_pop_Emin,comp_pop_Eend,comp_pop_final_excess,comp_pop_class_1e-04,comp_emp_S,comp_emp_rise,comp_emp_t_rev,comp_emp_t_min,comp_emp_E0,comp_emp_Emin,comp_emp_Eend,comp_emp_final_excess,comp_emp_class_1e-04,m85_S,m85_rise,m85_t_rev,m85_t_min,m85_E0,m85_Emin,m85_Eend,m85_final_excess,m85_class_1e-04,p176_S,p176_rise,p176_t_rev,p176_t_min,p176_E0,p176_Emin,p176_Eend,p176_final_excess,p176_class_1e-04,e1_S,e1_rise,e1_t_rev,e1_t_min,e1_E0,e1_Emin,e1_Eend,e1_final_excess,e1_class_1e-04,e2_S,e2_rise,e2_t_rev,e2_t_min,e2_E0,e2_Emin,e2_Eend,e2_final_excess,e2_class_1e-04,neg_e1_S,neg_e1_rise,neg_e1_t_rev,neg_e1_t_min,neg_e1_E0,neg_e1_Emin,neg_e1_Eend,neg_e1_final_excess,neg_e1_class_1e-04,neg_e2_S,neg_e2_rise,neg_e2_t_rev,neg_e2_t_min,neg_e2_E0,neg_e2_Emin,neg_e2_Eend,neg_e2_final_excess,neg_e2_class_1e-04
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,True,0,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s0__dt0.0002__cc17270597,20.0,1.9103048092133948e-26,0.0,5.551115123125783e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,8.874685183736383e-30,nan,12.48,0.49990231022964543,2.8918284930721444e-27,2.8918284930721444e-27,0.0,monotone,0.0,8.800729473871913e-30,nan,11.91,0.49990232743401575,2.9256940452142496e-27,2.9256940452142496e-27,0.0,monotone,0.0,1.5792625543975334e-32,nan,12.55,0.49990704535772357,9.354316080784658e-27,9.354316080784658e-27,0.0,monotone,0.0,2.497449655384148e-30,nan,10.290000000000001,0.4998910711785225,4.4009906641678823e-29,4.650735629706297e-29,2.497449655384148e-30,monotone,2.649360004108365e-08,3.413676099295682e-08,1.98,11.99,0.49989181400638544,1.7679647830296644e-36,5.383813575416685e-34,5.366133927586388e-34,other,0.0,1.9534516217184687e-32,nan,12.540000000000001,0.4999081960956587,9.430407765363095e-27,9.430407765363095e-27,0.0,monotone,2.649360004108365e-08,3.413676099296292e-08,1.98,11.99,0.49989181400638544,3.3604777839799724e-37,5.7374613166859105e-34,5.73410083890193e-34,other,0.0,1.086119007502759e-32,nan,12.530000000000001,0.4999081960956587,9.430404858878435e-27,9.430404858878435e-27,0.0,monotone
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,False,1,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s1__dt0.0002__f90cd71a35,20.0,1.9440985233852422e-26,-9.26259167543918e-33,3.469446951953614e-18,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,8.7514256672956e-30,nan,19.62,0.4999083963526142,2.9776171165149295e-27,2.9863315643272928e-27,8.714447812363365e-30,monotone,0.0,8.665144005787052e-30,nan,19.22,0.4999083992348615,2.960064961373762e-27,2.968705453476261e-27,8.640492102498895e-30,monotone,0.0,2.5037089277034066e-32,nan,18.55,0.4998922648831382,9.537429359147616e-27,9.537429359147616e-27,0.0,monotone,0.0,3.258673465903203e-30,nan,10.38,0.49990581851651084,4.3917462004348236e-29,4.650735629706297e-29,2.5898942927147354e-30,monotone,0.0,4.970442081992798e-31,nan,11.05,0.49990675781399313,2.227032995155584e-31,2.241643609316955e-31,1.4610614161370977e-33,monotone,0.0,5.652894945963789e-33,nan,19.87,0.49989325227102366,9.598859606637488e-27,9.598859619989808e-27,1.3352320083887582e-35,monotone,0.0,4.918758481622105e-31,nan,11.03,0.49990675781399313,3.029782558828531e-31,3.046631014204217e-31,1.684845537568623e-33,monotone,0.0,5.537386315150424e-33,nan,19.93,0.49989325227102366,9.598859508525444e-27,9.598859519142305e-27,1.0616860642647949e-35,monotone
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,False,2,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s2__dt0.0002__f34f17429d,20.0,1.918262967034709e-26,3.1692697008464476e-32,4.336808689942018e-19,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,8.615840199210738e-30,nan,13.9,0.49989478688939665,2.868125688060582e-27,2.868329066262709e-27,2.033782021272921e-31,monotone,0.0,8.702121860719286e-30,nan,14.55,0.49989479082524113,2.8779433085450902e-27,2.8866454304058095e-27,8.702121860719286e-30,monotone,0.0,2.4266717299279172e-32,nan,19.68,0.4999034172432936,9.384854877837326e-27,9.384854877837326e-27,0.0,monotone,0.0,2.348093788196918e-30,nan,14.6,0.49989799940156104,5.714465256590255e-29,5.737971231561501e-29,2.3505974971246214e-31,monotone,0.0,3.0466308139111504e-31,nan,9.84,0.49989734120738843,6.055658516791725e-30,6.089821940879242e-30,3.4163424087517104e-32,monotone,0.0,1.911077334922785e-32,nan,19.85,0.4999026688203522,9.399964780181399e-27,9.399964780181399e-27,0.0,monotone,0.0,3.0105633169898397e-31,nan,9.84,0.49989734120738843,5.673392547099122e-30,5.7067809617336215e-30,3.338841463449928e-32,monotone,0.0,1.7487493896019928e-32,nan,19.94,0.4999026688203522,9.399970099701593e-27,9.399970099701593e-27,0.0,monotone
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,False,3,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s3__dt0.0002__644bbee9e3,20.0,1.9261116929870878e-26,0.0,2.842170943040401e-14,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,8.74526269147356e-30,nan,12.08,0.49989868748808,2.9002964218516262e-27,2.9002964218516262e-27,0.0,monotone,0.0,8.671306981609091e-30,nan,12.25,0.4998986950164125,2.959769138534304e-27,2.9683356749269385e-27,8.566536392634425e-30,monotone,0.0,2.850376317693109e-32,nan,12.42,0.49989600891247704,9.445647915793378e-27,9.445647915793378e-27,0.0,monotone,0.0,1.7238035967237955e-30,nan,12.36,0.49990507925428024,4.6108399909083155e-29,4.6108399909083155e-29,0.0,monotone,0.0,1.8543649575874045e-10,nan,12.14,0.4999046561598145,9.860848371554828e-32,9.965997618587165e-32,1.0514924703233692e-33,monotone,0.0,2.0833398133377718e-32,nan,12.43,0.4998953538731505,9.629655247545687e-27,9.629655247545687e-27,0.0,monotone,0.0,1.85436495767899e-10,nan,12.18,0.4999046561598145,9.860762349378074e-32,9.935908349652774e-32,7.514600027469991e-34,monotone,0.0,1.0605164567127693e-32,nan,12.43,0.4998953538731505,9.61425637212359e-27,9.61425637212359e-27,0.0,monotone
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,False,4,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s4__dt0.0002__c36eed556e,20.0,1.9334868418012086e-26,0.0,1.3877787807814457e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,1.2942249226282225e-31,nan,10.4,0.49990273488652265,2.9093498333342017e-27,2.9093498333342017e-27,0.0,monotone,0.0,1.1709654061874394e-31,nan,10.290000000000001,0.4999027496454481,2.934587219325452e-27,2.934587219325452e-27,0.0,monotone,0.0,1.617781153285278e-32,nan,10.38,0.49990418607202525,9.506784635948007e-27,9.506784732244504e-27,9.62964972193618e-35,monotone,0.0,2.9532209767233875e-30,nan,9.97,0.4998942001540109,4.670341596540159e-29,4.8123981892381617e-29,1.4205659269800252e-30,monotone,0.0,4.49939232435435e-31,nan,10.07,0.49989486001927547,4.992015003322094e-31,5.0469888000401315e-31,5.4973796718037156e-33,monotone,0.0,1.3025501502036774e-33,nan,10.47,0.49990515003322733,9.537435493685572e-27,9.537435493685572e-27,0.0,monotone,0.0,4.5727959758928845e-31,nan,9.76,0.49989486001927547,6.162997389244051e-31,6.198811800042945e-31,3.581441079889409e-33,monotone,0.0,3.8661579609313165e-33,nan,10.48,0.49990515003322733,9.537434167389424e-27,9.537434167389424e-27,0.0,monotone
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,False,5,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s5__dt0.0002__27523e0c4f,20.0,1.9022611848078184e-26,0.0,4.336808689942018e-19,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,3.389636702121535e-31,nan,10.77,0.4999042396810083,2.8776783005847425e-27,2.8776783005847425e-27,0.0,monotone,0.0,2.7733391199176196e-31,nan,10.77,0.4999042412364315,2.860613020533516e-27,2.860613020533516e-27,0.0,monotone,0.0,1.6370404527291505e-33,nan,10.78,0.49990070037705475,9.369513979161806e-27,9.369513979161806e-27,0.0,monotone,0.0,5.322788883800223e-30,nan,9.99,0.49989765251379487,4.9275399109633526e-29,5.100825457709594e-29,1.7328554674624155e-30,monotone,0.0,8.415964933709121e-31,nan,10.200000000000001,0.49989836988428105,3.549995312290488e-30,3.5841705137602404e-30,3.417520146975279e-32,monotone,0.0,2.3504076842891167e-34,nan,10.78,0.4999016401461596,9.33913383752646e-27,9.33913383752646e-27,0.0,monotone,0.0,8.324275092865875e-31,nan,10.200000000000001,0.49989836988428105,3.26033254072091e-30,3.2926695266411644e-30,3.233698592025426e-32,monotone,0.0,3.891034787739622e-34,nan,10.78,0.4999016401461596,9.339134761114834e-27,9.339134761114834e-27,0.0,monotone
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,False,6,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s6__dt0.0002__94d49626c3,20.0,1.9328619803056841e-26,3.1665156504569545e-33,1.0842021724855044e-19,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,8.548047465168308e-30,nan,12.17,0.49990502759196126,2.942925725612671e-27,2.942925725612671e-27,0.0,monotone,0.0,8.585025320100543e-30,nan,11.66,0.4999050271527028,2.9343468632683925e-27,2.9343468632683925e-27,0.0,monotone,0.0,1.53149949177673e-29,nan,11.92,0.4998974381758854,9.506971065966623e-27,9.5222615052776e-27,1.5290439310976362e-29,monotone,0.0,4.068815897009694e-30,nan,10.48,0.4999011111538111,4.3754432034555856e-29,4.782324793156555e-29,4.068815897009694e-30,monotone,0.0,1.6485709467869348e-31,nan,12.51,0.49990178263017093,8.87468909018845e-31,8.874868498108532e-31,1.7940792008185304e-35,monotone,0.0,4.5648316966335034e-32,nan,13.09,0.4998982273950883,9.614335688594461e-27,9.614335688594461e-27,0.0,monotone,0.0,1.5497964460880651e-31,nan,11.3,0.49990178263017093,1.20794356313765e-30,1.208307177562591e-30,3.6361442494089723e-34,monotone,0.0,4.8791752393623755e-32,nan,13.120000000000001,0.4998982273950883,9.629724010379038e-27,9.629724010379038e-27,0.0,monotone
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,False,7,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s7__dt0.0002__c537f77369,20.0,1.937454696252433e-26,0.0,3.469446951953614e-18,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,1.7872629883913549e-31,nan,11.23,0.4998975263629859,2.9606504440768557e-27,2.9606504440768557e-27,0.0,monotone,0.0,8.585025320100543e-30,nan,11.24,0.4998975243688735,2.977370597482048e-27,2.977370597482048e-27,0.0,monotone,0.0,1.5311143057878525e-32,nan,11.31,0.4999063457839321,9.491485433655783e-27,9.491485433655783e-27,0.0,monotone,0.0,1.9774485703995944e-30,nan,10.450000000000001,0.4998936299376954,4.517702018797749e-29,4.715446875837708e-29,1.9774485703995944e-30,monotone,0.0,9.785657009854509e-32,nan,10.13,0.4998935669112885,1.2079446911960422e-30,1.2104756453995907e-30,2.530954203548467e-33,monotone,0.0,2.5176174100092103e-32,nan,11.33,0.49990644313016896,9.629665156730482e-27,9.629665156730482e-27,0.0,monotone,0.0,9.606511549485773e-32,nan,10.13,0.4998935669112885,1.3866702536743165e-30,1.3894102452337494e-30,2.739991559432962e-33,monotone,0.0,1.9943642899130776e-32,nan,11.32,0.49990644313016896,9.629662233764523e-27,9.629662233764523e-27,0.0,monotone
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,False,8,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s8__dt0.0002__f81799883c,20.0,1.9478726911376964e-26,0.0,2.7755575615628914e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,9.059574458397557e-30,nan,10.43,0.4999002414641184,2.9461243100643094e-27,2.9461243100643094e-27,0.0,monotone,0.0,9.022596603465323e-30,nan,11.83,0.4999002426516423,2.9601265911319823e-27,2.9686623126455066e-27,8.53572151352423e-30,monotone,0.0,6.837051302574687e-33,nan,11.83,0.49989892127314967,9.568223438214412e-27,9.568223438214412e-27,0.0,monotone,0.0,1.5854255302195726e-30,nan,10.28,0.4999011632660963,5.917689384321996e-29,5.941455359835735e-29,2.376597551373849e-31,monotone,0.0,7.814729470220194e-31,nan,10.31,0.4999011439555083,1.602990699324233e-29,1.6034937575957133e-29,5.0305827148022534e-33,monotone,0.0,5.090351955031514e-34,nan,11.96,0.49989886604583694,9.67592752111253e-27,9.675927526033642e-27,4.921111246418392e-36,monotone,0.0,7.78162774987155e-31,nan,10.32,0.4999011439555083,1.5407502301365345e-29,1.5412067140221227e-29,4.564838855881931e-33,monotone,0.0,1.3007615262072636e-34,nan,11.97,0.49989886604583694,9.675927691662707e-27,9.675927691662707e-27,0.0,monotone
linear,0.0002,0.001,E1_canonical,iso,0.01,3.0,2.0,2000,False,9,0.15,20.0,200,E1_canonical__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s9__dt0.0002__76aa555020,20.0,1.9395525368915957e-26,0.0,1.3877787807814457e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,4.129193800766234e-31,nan,10.52,0.499902387709984,2.9835828771106634e-27,2.98399579649074e-27,4.129193800766234e-31,monotone,0.0,3.6361557350031013e-31,nan,10.55,0.4999023868757887,2.9645947486029607e-27,2.964946038224817e-27,3.512896218562318e-31,monotone,0.0,3.389636702121535e-32,nan,10.59,0.4998979201760456,9.415323378447023e-27,9.415357274814045e-27,3.389636702121535e-32,monotone,0.0,9.583427403270886e-31,nan,10.6,0.4999015259336667,4.8151330097591916e-29,4.8151330097591916e-29,0.0,monotone,0.0,6.195715439953182e-31,nan,10.01,0.49990179862199446,5.970542893403523e-30,6.053087478531863e-30,8.254458512834003e-32,monotone,0.0,7.549397490299692e-32,nan,10.58,0.49989821138458723,9.50719521105811e-27,9.507270705033013e-27,7.549397490299692e-32,monotone,0.0,6.876608394466971e-31,nan,9.4,0.49990179862199446,5.967343451401304e-30,6.064307631721824e-30,9.696418032052013e-32,monotone,0.0,7.525965808095887e-32,nan,10.58,0.49989821138458723,9.507156334637195e-27,9.507231594295276e-27,7.525965808095887e-32,monotone
