arch,dt,epsilon,exp,init,log_dt,mu1,mu2,n_per_cluster,save_params,seed,sigma,t_end,width,run_id,t_end_logged,loss_final,loss_max_increase,antipodal_asym,n_in_S_ge_1e-04,n_off_S_ge_1e-04,n_in_rise_ge_1e-04,n_off_rise_ge_1e-04,n_in_S_ge_5e-05,n_off_S_ge_5e-05,n_in_rise_ge_5e-05,n_off_rise_ge_5e-05,n_in_S_ge_1e-05,n_off_S_ge_1e-05,n_in_rise_ge_1e-05,n_off_rise_ge_1e-05,n_in,n_off,comp_pop_S,comp_pop_rise,comp_pop_t_rev,comp_pop_t_min,comp_pop_E0,comp_pop_Emin,comp_pop_Eend,comp_pop_final_excess,comp_pop_class_1e-04,comp_emp_S,comp_emp_rise,comp_emp_t_rev,comp_emp_t_min,comp_emp_E0,comp_emp_Emin,comp_emp_Eend,comp_emp_final_excess,comp_emp_class_1e-04,m85_S,m85_rise,m85_t_rev,m85_t_min,m85_E0,m85_Emin,m85_Eend,m85_final_excess,m85_class_1e-04,p176_S,p176_rise,p176_t_rev,p176_t_min,p176_E0,p176_Emin,p176_Eend,p176_final_excess,p176_class_1e-04,e1_S,e1_rise,e1_t_rev,e1_t_min,e1_E0,e1_Emin,e1_Eend,e1_final_excess,e1_class_1e-04,e2_S,e2_rise,e2_t_rev,e2_t_min,e2_E0,e2_Emin,e2_Eend,e2_final_excess,e2_class_1e-04,neg_e1_S,neg_e1_rise,neg_e1_t_rev,neg_e1_t_min,neg_e1_E0,neg_e1_Emin,neg_e1_Eend,neg_e1_final_excess,neg_e1_class_1e-04,neg_e2_S,neg_e2_rise,neg_e2_t_rev,neg_e2_t_min,neg_e2_E0,neg_e2_Emin,neg_e2_Eend,neg_e2_final_excess,neg_e2_class_1e-04
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,0,0.12,10.0,200,E2_grid__linear__mu3-1.8_sd0.12__h200_eps1.00e-03_iso__s0__dt0.0002__fc32caeed9,10.0,3.650839898054642e-21,-2.470050267870433e-22,3.469446951953614e-18,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.4999013653348171,5.887214274074804e-22,5.887214274074804e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49990137911171845,5.900936831413351e-22,5.900936831413351e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49990704535772357,2.214827555698174e-21,2.214827555698174e-21,0.0,monotone,0.0,0.0,nan,10.0,0.4998910711785225,1.1165955410407726e-23,1.1165955410407726e-23,0.0,monotone,4.632995595247021e-08,4.792100228085445e-08,2.02,10.0,0.49989181400638544,2.165876279653895e-27,2.165876279653895e-27,0.0,other,0.0,0.0,nan,10.0,0.4999081960956587,2.231410201679642e-21,2.231410201679642e-21,0.0,monotone,4.632995595247021e-08,4.7921002280869035e-08,2.02,10.0,0.49989181400638544,2.1646902621961488e-27,2.1646902621961488e-27,0.0,other,0.0,0.0,nan,10.0,0.4999081960956587,2.231402784953771e-21,2.231402784953771e-21,0.0,monotone
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,1,0.12,10.0,200,E2_grid__linear__mu3-1.8_sd0.12__h200_eps1.00e-03_iso__s1__dt0.0002__86adf4ec72,10.0,3.446486942989967e-21,-2.322646851767584e-22,6.938893903907228e-18,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.4999087212859977,5.61137141371798e-22,5.61137141371798e-22,0.0,monotone,0.0,0.0,nan,10.0,0.4999087233697168,5.604752854637808e-22,5.604752854637808e-22,0.0,monotone,0.0,0.0,nan,10.0,0.4998922648831382,2.098126800778224e-21,2.098126800778224e-21,0.0,monotone,0.0,0.0,nan,10.0,0.49990581851651084,1.0066457991916336e-23,1.0066457991916336e-23,0.0,monotone,0.0,0.0,nan,10.0,0.49990675781399313,1.2224922741216728e-27,1.2224922741216728e-27,0.0,monotone,0.0,0.0,nan,10.0,0.49989325227102366,2.1145057708104792e-21,2.1145057708104792e-21,0.0,monotone,0.0,0.0,nan,10.0,0.49990675781399313,1.2243298848131688e-27,1.2243298848131688e-27,0.0,monotone,0.0,0.0,nan,10.0,0.49989325227102366,2.1145057688934184e-21,2.1145057688934184e-21,0.0,monotone
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,2,0.12,10.0,200,E2_grid__linear__mu3-1.8_sd0.12__h200_eps1.00e-03_iso__s2__dt0.0002__52f2f3f1dc,10.0,2.4412505305754377e-21,-1.659143455888485e-22,1.3877787807814457e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.49989474288539737,3.879170200866299e-22,3.879170200866299e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49989474386811117,3.9077651823100017e-22,3.9077651823100017e-22,0.0,monotone,0.0,0.0,nan,10.0,0.4999034172432936,1.475307991030694e-21,1.475307991030694e-21,0.0,monotone,0.0,0.0,nan,10.0,0.49989799940156104,8.096128170503376e-24,8.096128170503376e-24,0.0,monotone,0.0,0.0,nan,10.0,0.49989734120738843,2.4680339357826553e-26,2.4680339357826553e-26,0.0,monotone,0.0,0.0,nan,10.0,0.4999026688203522,1.4855175687850284e-21,1.4855175687850284e-21,0.0,monotone,0.0,0.0,nan,10.0,0.49989734120738843,2.467679413386473e-26,2.467679413386473e-26,0.0,monotone,0.0,0.0,nan,10.0,0.4999026688203522,1.4855115189804962e-21,1.4855115189804962e-21,0.0,monotone
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,3,0.12,10.0,200,E2_grid__linear__mu3-1.8_sd0.12__h200_eps1.00e-03_iso__s3__dt0.0002__26f01f2f88,10.0,3.006404675081611e-21,-2.031664290761879e-22,1.734723475976807e-18,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.4998992244084996,4.883161519165272e-22,4.883161519165272e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49989923030331695,4.874699544313473e-22,4.874699544313473e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49989600891247704,1.8253090045369425e-21,1.8253090045369425e-21,0.0,monotone,0.0,0.0,nan,10.0,0.49990507925428024,8.737901744470468e-24,8.737901744470468e-24,0.0,monotone,1.509531312070645e-08,1.6990312070356822e-08,2.04,10.0,0.4999046561598145,1.2960561499300943e-27,1.2960561499300943e-27,0.0,other,0.0,0.0,nan,10.0,0.4998953538731505,1.83958461186665e-21,1.83958461186665e-21,0.0,monotone,1.509531312070645e-08,1.6990312070360303e-08,2.04,10.0,0.4999046561598145,1.2962681313587133e-27,1.2962681313587133e-27,0.0,other,0.0,0.0,nan,10.0,0.4998953538731505,1.839584611696468e-21,1.839584611696468e-21,0.0,monotone
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,4,0.12,10.0,200,E2_grid__linear__mu3-1.8_sd0.12__h200_eps1.00e-03_iso__s4__dt0.0002__e24f547230,10.0,2.699205954258249e-21,-1.833048045598706e-22,3.469446951953614e-18,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.49990208481843956,4.328183783779561e-22,4.328183783779561e-22,0.0,monotone,0.0,0.0,nan,10.0,0.4999020979688046,4.341913621564706e-22,4.341913621564706e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49990418607202525,1.6317601705736852e-21,1.6317601705736852e-21,0.0,monotone,0.0,0.0,nan,10.0,0.4998942001540109,8.36528564677571e-24,8.36528564677571e-24,0.0,monotone,4.554433210366615e-08,5.3176885613481856e-08,1.96,10.0,0.49989486001927547,4.128778775184982e-27,4.128778775184982e-27,0.0,other,0.0,0.0,nan,10.0,0.49990515003322733,1.6437884122762404e-21,1.6437884122762404e-21,0.0,monotone,4.554433210366615e-08,5.317688561348673e-08,1.96,10.0,0.49989486001927547,4.1285982355547395e-27,4.1285982355547395e-27,0.0,other,0.0,0.0,nan,10.0,0.49990515003322733,1.6437884137674556e-21,1.6437884137674556e-21,0.0,monotone
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,0,0.15,10.0,200,E2_grid__linear__mu3-1.8_sd0.15__h200_eps1.00e-03_iso__s0__dt0.0002__d21f8ebf66,10.0,2.5992053691033313e-21,-1.7681382543855768e-22,1.3877787807814457e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.4999013653348171,4.1660452062257423e-22,4.1660452062257423e-22,0.0,monotone,0.0,0.0,nan,10.0,0.4999013825585882,4.178135677527823e-22,4.178135677527823e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49990704535772357,1.5686463618296157e-21,1.5686463618296157e-21,0.0,monotone,0.0,0.0,nan,10.0,0.4998910711785225,7.96255856298758e-24,7.96255856298758e-24,0.0,monotone,5.948328213827896e-08,6.27722651425813e-08,1.99,10.0,0.49989181400638544,2.3922653055944625e-27,2.3922653055944625e-27,0.0,other,0.0,0.0,nan,10.0,0.4999081960956587,1.5803527418026864e-21,1.5803527418026864e-21,0.0,monotone,5.948328213827896e-08,6.277226514258834e-08,1.99,10.0,0.49989181400638544,2.3903804955376595e-27,2.3903804955376595e-27,0.0,other,0.0,0.0,nan,10.0,0.4999081960956587,1.5803589843006979e-21,1.5803589843006979e-21,0.0,monotone
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,1,0.15,10.0,200,E2_grid__linear__mu3-1.8_sd0.15__h200_eps1.00e-03_iso__s1__dt0.0002__f86253a8f5,10.0,2.622650270681459e-21,-1.7752404708555665e-22,2.7755575615628914e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.4999087212859977,4.255075797833797e-22,4.255075797833797e-22,0.0,monotone,0.0,0.0,nan,10.0,0.4999087238904743,4.249053783382023e-22,4.249053783382023e-22,0.0,monotone,0.0,0.0,nan,10.0,0.4998922648831382,1.5897655893337695e-21,1.5897655893337695e-21,0.0,monotone,0.0,0.0,nan,10.0,0.49990581851651084,7.578062364697531e-24,7.578062364697531e-24,0.0,monotone,0.0,0.0,nan,10.0,0.49990675781399313,1.558264124849258e-27,1.558264124849258e-27,0.0,monotone,0.0,0.0,nan,10.0,0.49989325227102366,1.6022165070543104e-21,1.6022165070543104e-21,0.0,monotone,0.0,0.0,nan,10.0,0.49990675781399313,1.5586312249639285e-27,1.5586312249639285e-27,0.0,monotone,0.0,0.0,nan,10.0,0.49989325227102366,1.6022165050587503e-21,1.6022165050587503e-21,0.0,monotone
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,2,0.15,10.0,200,E2_grid__linear__mu3-1.8_sd0.15__h200_eps1.00e-03_iso__s2__dt0.0002__f9e6f7544b,10.0,1.6226624960903221e-21,-1.110021333510478e-22,1.3877787807814457e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.49989474288539737,2.5535885796910016e-22,2.5535885796910016e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49989474412991663,2.5771524982829993e-22,2.5771524982829993e-22,0.0,monotone,0.0,0.0,nan,10.0,0.4999034172432936,9.746527433796484e-22,9.746527433796484e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49989799940156104,5.493943735056315e-24,5.493943735056315e-24,0.0,monotone,0.0,0.0,nan,10.0,0.49989734120738843,2.5341472936169912e-26,2.5341472936169912e-26,0.0,monotone,0.0,0.0,nan,10.0,0.4999026688203522,9.812125787164304e-22,9.812125787164304e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49989734120738843,2.5339362571303502e-26,2.5339362571303502e-26,0.0,monotone,0.0,0.0,nan,10.0,0.4999026688203522,9.812125807758177e-22,9.812125807758177e-22,0.0,monotone
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,3,0.15,10.0,200,E2_grid__linear__mu3-1.8_sd0.15__h200_eps1.00e-03_iso__s3__dt0.0002__133d38aed4,10.0,2.184892182425502e-21,-1.4840952361574698e-22,2.220446049250313e-16,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.4998992244084996,3.5342443783574958e-22,3.5342443783574958e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49989923177568746,3.526780524803688e-22,3.526780524803688e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49989600891247704,1.3200050175709782e-21,1.3200050175709782e-21,0.0,monotone,0.0,0.0,nan,10.0,0.49990507925428024,6.2734312494011866e-24,6.2734312494011866e-24,0.0,monotone,1.229228274723937e-08,1.609541503081909e-08,2.02,10.0,0.4999046561598145,1.5782275450939497e-27,1.5782275450939497e-27,0.0,other,0.0,0.0,nan,10.0,0.4998953538731505,1.3303731480538395e-21,1.3303731480538395e-21,0.0,monotone,1.229228274723937e-08,1.6095415030838256e-08,2.02,10.0,0.4999046561598145,1.577438426080633e-27,1.577438426080633e-27,0.0,other,0.0,0.0,nan,10.0,0.4998953538731505,1.3303731476149695e-21,1.3303731476149695e-21,0.0,monotone
linear,0.0002,0.001,E2_grid,iso,0.01,3.0,1.8,2000,False,4,0.15,10.0,200,E2_grid__linear__mu3-1.8_sd0.15__h200_eps1.00e-03_iso__s4__dt0.0002__0f9fb7dc5b,10.0,1.821751782074771e-21,-1.2448972059133583e-22,2.7755575615628914e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,0.0,nan,10.0,0.49990208481843956,2.8999773030868205e-22,2.8999773030868205e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49990210125181617,2.911566387339792e-22,2.911566387339792e-22,0.0,monotone,0.0,0.0,nan,10.0,0.49990418607202525,1.094712581725141e-21,1.094712581725141e-21,0.0,monotone,0.0,0.0,nan,10.0,0.4998942001540109,5.669497436690627e-24,5.669497436690627e-24,0.0,monotone,3.532570890353204e-08,4.840051487232492e-08,1.94,10.0,0.49989486001927547,4.200455165841034e-27,4.200455165841034e-27,0.0,other,0.0,0.0,nan,10.0,0.49990515003322733,1.102696023578532e-21,1.102696023578532e-21,0.0,monotone,3.532570890353204e-08,4.840051487232132e-08,1.94,10.0,0.49989486001927547,4.19630224682326e-27,4.19630224682326e-27,0.0,other,0.0,0.0,nan,10.0,0.49990515003322733,1.1026908113917447e-21,1.1026908113917447e-21,0.0,monotone
