arch,dt,epsilon,exp,init,log_dt,mu1,mu2,n_per_cluster,save_params,seed,sigma,t_end,width,run_id,t_end_logged,loss_final,loss_max_increase,antipodal_asym,n_in_S_ge_1e-04,n_off_S_ge_1e-04,n_in_rise_ge_1e-04,n_off_rise_ge_1e-04,n_in_S_ge_5e-05,n_off_S_ge_5e-05,n_in_rise_ge_5e-05,n_off_rise_ge_5e-05,n_in_S_ge_1e-05,n_off_S_ge_1e-05,n_in_rise_ge_1e-05,n_off_rise_ge_1e-05,n_in,n_off,comp_pop_S,comp_pop_rise,comp_pop_t_rev,comp_pop_t_min,comp_pop_E0,comp_pop_Emin,comp_pop_Eend,comp_pop_final_excess,comp_pop_class_1e-04,comp_emp_S,comp_emp_rise,comp_emp_t_rev,comp_emp_t_min,comp_emp_E0,comp_emp_Emin,comp_emp_Eend,comp_emp_final_excess,comp_emp_class_1e-04,m85_S,m85_rise,m85_t_rev,m85_t_min,m85_E0,m85_Emin,m85_Eend,m85_final_excess,m85_class_1e-04,p176_S,p176_rise,p176_t_rev,p176_t_min,p176_E0,p176_Emin,p176_Eend,p176_final_excess,p176_class_1e-04,e1_S,e1_rise,e1_t_rev,e1_t_min,e1_E0,e1_Emin,e1_Eend,e1_final_excess,e1_class_1e-04,e2_S,e2_rise,e2_t_rev,e2_t_min,e2_E0,e2_Emin,e2_Eend,e2_final_excess,e2_class_1e-04,neg_e1_S,neg_e1_rise,neg_e1_t_rev,neg_e1_t_min,neg_e1_E0,neg_e1_Emin,neg_e1_Eend,neg_e1_final_excess,neg_e1_class_1e-04,neg_e2_S,neg_e2_rise,neg_e2_t_rev,neg_e2_t_min,neg_e2_E0,neg_e2_Emin,neg_e2_Eend,neg_e2_final_excess,neg_e2_class_1e-04
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,0,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s0__dt0.0002__40add08983,40.0,7.809976355036956e-26,4.6848876244585704e-32,1.1102230246251565e-16,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,1.4278074235709212e-29,nan,36.25,0.4910052425446688,3.0973213662783737e-26,3.0987491737019446e-26,1.4278074235709212e-29,monotone,0.0,1.4271911259887173e-29,nan,36.21,0.49100561469411247,3.0890845490922184e-26,3.089132004006048e-26,4.745491382970149e-31,monotone,0.0,7.224692852131228e-29,nan,39.59,0.4907475702905793,1.2334964996218042e-27,1.2341845380944365e-27,6.8803847263234e-31,monotone,0.0,2.5220052621750853e-31,nan,39.28,0.4891659683894965,1.5487873322923298e-25,1.5487873322923298e-25,0.0,monotone,0.0,3.29738270288318e-31,nan,39.54,0.48923951570265933,1.5586953709966177e-25,1.558695532348184e-25,1.6135156631075657e-32,monotone,1.6400519407191248e-08,1.65036580070811e-08,4.0200000000000005,32.660000000000004,0.49086150473961276,6.310977702113205e-30,6.726793384789768e-30,4.158156826765629e-31,other,0.0,3.269819962515181e-31,nan,39.63,0.48923951570265933,1.5580751231223089e-25,1.5580752831613639e-25,1.6003905500678774e-32,monotone,1.6400519407191248e-08,1.6503658007085894e-08,4.0200000000000005,31.830000000000002,0.49086150473961276,5.749012529076722e-30,6.736215079576702e-30,9.872025504999798e-31,other
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,1,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s1__dt0.0002__e2b25b002b,40.0,7.953578419036103e-26,-4.215295930446031e-31,1.3877787807814457e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,1.5193276145282026e-29,nan,39.6,0.4901464530086243,3.2014348279560144e-26,3.2014348279560144e-26,0.0,monotone,0.0,1.4336622506018584e-29,nan,39.78,0.490146326510258,3.185936946730728e-26,3.187338253358264e-26,1.4013066275361528e-29,monotone,0.0,1.5350913511230121e-29,nan,37.050000000000004,0.4892840726710522,1.1510532164924198e-27,1.1664041300036499e-27,1.5350913511230121e-29,monotone,0.0,1.343336136210097e-31,nan,39.99,0.4906260165693449,1.5786063371024072e-25,1.5786063371024072e-25,0.0,monotone,0.0,1.4311102674731623e-31,nan,40.0,0.4907190163200684,1.584231364525886e-25,1.584231364525886e-25,0.0,monotone,0.0,2.676665622142132e-30,nan,32.26,0.4893818338478321,2.7178746222042257e-30,3.1050536245307284e-30,3.8717900232650273e-31,monotone,0.0,1.321135002818706e-31,nan,39.99,0.4907190163200684,1.5842318698550846e-25,1.5842318698550846e-25,0.0,monotone,0.0,2.6023390396892483e-30,nan,32.26,0.4893818338478321,2.7180828497336688e-30,3.0830929729200316e-30,3.650101231863628e-31,monotone
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,2,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s2__dt0.0002__d3f1943513,40.0,7.874819970253376e-26,-4.561360261264021e-30,7.105427357601002e-15,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,3.136338395835726e-29,nan,39.96,0.489848539182657,3.1219855955181744e-26,3.1219855955181744e-26,0.0,monotone,0.0,2.783816178815086e-29,nan,39.95,0.4898500165554979,3.102524150467339e-26,3.102524150467339e-26,0.0,monotone,0.0,2.4449199161509862e-29,nan,39.96,0.4903879832008757,1.259082190043497e-27,1.259082190043497e-27,0.0,monotone,0.0,1.3288916616271927e-31,nan,39.99,0.4898515632273589,1.5673600232665535e-25,1.5673600232665535e-25,0.0,monotone,0.0,1.645709766729148e-31,nan,40.0,0.48978639548749725,1.5748296931258455e-25,1.5748296931258455e-25,0.0,monotone,0.0,2.45046293641219e-29,nan,32.39,0.49031388191955627,7.124454505053669e-30,7.785909985451003e-30,6.614554803973345e-31,monotone,0.0,1.6424989461542052e-31,nan,40.0,0.48978639548749725,1.5748296877548256e-25,1.5748296877548256e-25,0.0,monotone,0.0,2.4522639920813235e-29,nan,32.39,0.4903138819195564,7.124453987645541e-30,7.810077062390178e-30,6.856230747446363e-31,monotone
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,3,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s3__dt0.0002__a13559f5c4,40.0,7.680824018762955e-26,0.0,2.7755575615628914e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,1.3914458662208902e-29,nan,36.32,0.48950730095762096,3.058022534651559e-26,3.058022534651559e-26,0.0,monotone,0.0,1.4087021985225998e-29,nan,36.34,0.48950749116443004,3.0621269224746414e-26,3.0621269224746414e-26,0.0,monotone,0.0,1.9002861871777198e-29,nan,35.69,0.48965451096288415,1.14081314327461e-27,1.1481146325832737e-27,7.301489308663669e-30,monotone,0.0,6.143870596990833e-29,nan,36.34,0.4905525646067767,1.5174136754236491e-25,1.5174136754236491e-25,0.0,monotone,0.0,1.9966109732931155e-32,nan,36.33,0.4905106740656018,1.523535940948469e-25,1.5235359410913487e-25,1.4287973122126628e-35,monotone,5.755356110884432e-09,5.789160553062653e-09,4.01,32.39,0.4895896555840295,3.945061453912389e-31,4.149947431322194e-31,2.0488597740980528e-32,other,0.0,3.234154165357317e-32,nan,36.32,0.4905106740656018,1.5235359411480936e-25,1.52353594320303e-25,2.054936316792655e-34,monotone,5.755356110884432e-09,5.789160553056162e-09,4.01,32.4,0.4895896555840295,3.944347438292316e-31,4.095705780620342e-31,1.5135834232802587e-32,other
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,4,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s4__dt0.0002__c74ed996ba,40.0,8.481611295287297e-26,-8.794971129080078e-30,5.551115123125783e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,3.1757814410967764e-29,nan,39.96,0.49075995413917334,3.3994859078571314e-26,3.3994859078571314e-26,0.0,monotone,0.0,3.13387320550691e-29,nan,39.92,0.4907600023638883,3.398195842943183e-26,3.398195842943183e-26,0.0,monotone,0.0,1.417725180312054e-29,nan,39.89,0.49046422744226703,1.2217253120982066e-27,1.2224112320479001e-27,6.8591994969351405e-31,monotone,0.0,6.9574219240988895e-31,nan,40.0,0.4894755226883764,1.6757869738702338e-25,1.6757869738702338e-25,0.0,monotone,0.0,4.135376972453657e-31,nan,40.0,0.48954085588288593,1.6886629933276359e-25,1.6886629933276359e-25,0.0,monotone,7.06112721424936e-08,7.110869285562922e-08,3.38,32.85,0.4905596691454509,6.165044578068892e-31,1.2862428002808236e-30,6.697383424739344e-31,other,0.0,4.1644645050892366e-31,nan,40.0,0.48954085588288593,1.688664423969972e-25,1.688664423969972e-25,0.0,monotone,7.06112721424936e-08,7.110869285564237e-08,3.38,32.85,0.4905596691454509,6.16606203285972e-31,1.2730632962794126e-30,6.564570929934406e-31,other
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,5,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s5__dt0.0002__8fae9584be,40.0,7.734497520417947e-26,3.2506726091635926e-32,4.440892098500626e-16,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,1.4194874062111683e-29,nan,38.83,0.49056462407366797,3.0623364636525907e-26,3.063710345037719e-26,1.3738813851280786e-29,monotone,0.0,1.406853305775988e-29,nan,38.86,0.49056471885131236,3.0636585760408136e-26,3.065032765574733e-26,1.3741895339191805e-29,monotone,0.0,3.018028519352018e-30,nan,37.51,0.4901189999094673,1.1996914216799528e-27,1.2004309787785975e-27,7.395570986446986e-31,monotone,0.0,7.318533788671496e-32,nan,39.2,0.48981723126987786,1.5266074226805173e-25,1.526607571940088e-25,1.4925957069001078e-32,monotone,0.0,7.367585131479183e-32,nan,38.49,0.48988825805068376,1.535205549441929e-25,1.5352056628091766e-25,1.1336724750554879e-32,monotone,1.6652571523743314e-08,1.6747905452428982e-08,3.93,34.05,0.490212046355495,4.831773087271333e-30,4.94924691428599e-30,1.1747382701465682e-31,other,0.0,5.428639558034891e-32,nan,38.49,0.48988825805068376,1.5345905487310086e-25,1.5345905487310086e-25,0.0,monotone,1.6652571523743314e-08,1.6747905452440427e-08,3.93,34.61,0.490212046355495,4.831777575198409e-30,4.967655075486555e-30,1.3587750028814616e-31,other
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,6,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s6__dt0.0002__485a74273f,40.0,7.684312858860917e-26,1.6443465450121445e-32,5.551115123125783e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,1.5002223894798812e-29,nan,39.88,0.49031683841324786,3.037687025554763e-26,3.037687025554763e-26,0.0,monotone,0.0,1.4912860745379245e-29,nan,39.94,0.4903174211711729,3.0431079790878285e-26,3.0431079790878285e-26,0.0,monotone,0.0,3.191073324855211e-29,nan,39.74,0.4897959840442923,1.1827771345363663e-27,1.1831160982065785e-27,3.389636702121535e-31,monotone,0.0,2.0299301613841466e-31,nan,39.99,0.4901596452250588,1.5131415275468308e-25,1.5131415275468308e-25,0.0,monotone,0.0,4.536693180449688e-31,nan,40.0,0.49022612803296367,1.524769288813218e-25,1.524769288813218e-25,0.0,monotone,9.450896630948013e-09,9.507855903962806e-09,4.07,31.59,0.4898741245594373,5.5466900009592486e-30,5.620825959688135e-30,7.413595872888613e-32,other,0.0,8.045115784804416e-32,nan,40.0,0.49022612803296367,1.524769184427741e-25,1.524769184427741e-25,0.0,monotone,9.450896630948013e-09,9.507855903970879e-09,4.07,33.29,0.4898741245594373,4.831920924960839e-30,4.9080034540236695e-30,7.608252906283052e-32,other
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,7,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s7__dt0.0002__1c852a1996,40.0,7.775749427320907e-26,3.119157874158538e-32,1.1102230246251565e-16,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,1.4130162815980272e-29,nan,38.95,0.4904324579907573,3.120127304233434e-26,3.120127304233434e-26,0.0,monotone,0.0,1.4238014892865957e-29,nan,39.300000000000004,0.4904329524473715,3.10762771074557e-26,3.109011761040804e-26,1.3840502952344432e-29,monotone,0.0,2.3194937285227675e-30,nan,37.18,0.49067800562472136,1.1626801518631827e-27,1.1643310590115115e-27,1.6509071483287386e-30,monotone,0.0,1.5571143600370802e-31,nan,39.68,0.4894190109478189,1.5475425508061988e-25,1.5475425508061988e-25,0.0,monotone,0.0,1.0834711709199757e-31,nan,40.0,0.4894127707095143,1.5543417621504193e-25,1.5543417621504193e-25,0.0,monotone,0.0,2.4202853645943283e-30,nan,36.230000000000004,0.49068764386599945,1.996804356999148e-30,2.084662438454989e-30,8.785808145584076e-32,monotone,0.0,1.0517944120049173e-31,nan,39.96,0.4894127707095143,1.553723070021327e-25,1.553723070021327e-25,0.0,monotone,0.0,2.4823438560271484e-30,nan,35.75,0.49068764386599945,1.9968131911547964e-30,2.0733496730217486e-30,7.653648186695216e-32,monotone
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,8,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s8__dt0.0002__4ea438e60b,40.0,8.496819274950815e-26,-3.509890819390437e-30,1.7763568394002505e-15,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,4.7641343848318176e-29,nan,39.980000000000004,0.48996504736681773,3.3470734962761816e-26,3.3470734962761816e-26,0.0,monotone,0.0,4.3056089836721045e-29,nan,39.9,0.4899650175045661,3.3394449648036616e-26,3.3407519779011205e-26,1.3070130974589537e-29,monotone,0.0,1.1006843706568604e-28,nan,39.99,0.4899427069711715,1.4192566798038307e-27,1.4199882442932062e-27,7.315644893754915e-31,monotone,0.0,1.2431877791019607e-31,nan,40.0,0.4901646864708401,1.6860140018015652e-25,1.6860140018015652e-25,0.0,monotone,0.0,1.2307592662186217e-30,nan,40.0,0.49016277453143037,1.6951061746017859e-25,1.6951061746017859e-25,0.0,monotone,0.0,3.33913824586701e-29,nan,32.3,0.48993723892040825,3.5597348577445096e-29,3.761458486908317e-29,2.017236291638074e-30,monotone,0.0,0.0,nan,40.0,0.49016277453143037,1.6944595316750875e-25,1.6944595316750875e-25,0.0,monotone,0.0,3.3505541081571733e-29,nan,30.93,0.48993723892040825,3.5597354447768524e-29,3.764096472444151e-29,2.043610276672989e-30,monotone
linear,0.0002,0.01,E3_regime,iso,0.01,1.0,2.0,2000,False,9,0.05,40.0,200,E3_regime__linear__mu1-2_sd0.05__h200_eps1.00e-02_iso__s9__dt0.0002__400489fe0c,40.0,7.956782578930406e-26,0.0,5.551115123125783e-17,0,0,0,0,0,0,0,0,0,0,0,0,181,539,0.0,1.552299535176112e-29,nan,38.730000000000004,0.49008874264534896,3.16465850233316e-26,3.16465850233316e-26,0.0,monotone,0.0,2.8774934113100813e-29,nan,38.72,0.4900888097564875,3.167405956954625e-26,3.167405956954625e-26,0.0,monotone,0.0,1.7849518724580902e-29,nan,38.77,0.4898436143691766,1.1851010579037612e-27,1.185776577831755e-27,6.75519927993823e-31,monotone,0.0,6.384457765643687e-32,nan,38.730000000000004,0.4902006200742524,1.5735818314335688e-25,1.5735821636564842e-25,3.322229154067982e-32,monotone,0.0,6.293431698365283e-32,nan,38.74,0.4902276189185729,1.5791918102923682e-25,1.5791919500591105e-25,1.3976674231161432e-32,monotone,0.0,5.79997737223535e-30,nan,37.93,0.48987244689805953,1.9968045102341568e-30,2.0525449600768022e-30,5.574044984264545e-32,monotone,0.0,6.272729986996892e-32,nan,38.74,0.4902276189185729,1.579191829490537e-25,1.5791919717521693e-25,1.4226163218478618e-32,monotone,0.0,5.792000509280773e-30,nan,36.29,0.48987244689805953,1.9968042159326847e-30,2.0517680300822032e-30,5.496381414951852e-32,monotone
