arch,dt,epsilon,exp,init,log_dt,mu1,mu2,n_per_cluster,save_params,seed,sigma,t_end,width,run_id,t_end_logged,loss_final,loss_max_increase,antipodal_asym,n_in_S_ge_1e-04,n_off_S_ge_1e-04,n_in_rise_ge_1e-04,n_off_rise_ge_1e-04,n_in_S_ge_5e-05,n_off_S_ge_5e-05,n_in_rise_ge_5e-05,n_off_rise_ge_5e-05,n_in_S_ge_1e-05,n_off_S_ge_1e-05,n_in_rise_ge_1e-05,n_off_rise_ge_1e-05,n_in,n_off,comp_pop_S,comp_pop_rise,comp_pop_t_rev,comp_pop_t_min,comp_pop_E0,comp_pop_Emin,comp_pop_Eend,comp_pop_final_excess,comp_pop_class_1e-04,comp_emp_S,comp_emp_rise,comp_emp_t_rev,comp_emp_t_min,comp_emp_E0,comp_emp_Emin,comp_emp_Eend,comp_emp_final_excess,comp_emp_class_1e-04,m85_S,m85_rise,m85_t_rev,m85_t_min,m85_E0,m85_Emin,m85_Eend,m85_final_excess,m85_class_1e-04,p176_S,p176_rise,p176_t_rev,p176_t_min,p176_E0,p176_Emin,p176_Eend,p176_final_excess,p176_class_1e-04,e1_S,e1_rise,e1_t_rev,e1_t_min,e1_E0,e1_Emin,e1_Eend,e1_final_excess,e1_class_1e-04,e2_S,e2_rise,e2_t_rev,e2_t_min,e2_E0,e2_Emin,e2_Eend,e2_final_excess,e2_class_1e-04,neg_e1_S,neg_e1_rise,neg_e1_t_rev,neg_e1_t_min,neg_e1_E0,neg_e1_Emin,neg_e1_Eend,neg_e1_final_excess,neg_e1_class_1e-04,neg_e2_S,neg_e2_rise,neg_e2_t_rev,neg_e2_t_min,neg_e2_E0,neg_e2_Emin,neg_e2_Eend,neg_e2_final_excess,neg_e2_class_1e-04
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,0,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s0__dt0.0002__2028eb6f7d,60.0,3.846482646868978e-26,0.0,8.881784197001252e-16,179,207,179,231,179,245,179,279,180,250,180,344,181,539,0.006914402620785284,0.007003524526051713,1.55,20.56,0.4998071952871134,1.9718202327301172e-26,1.9718202327301172e-26,0.0,transient,0.0069068047971340835,0.0069957708032015314,1.55,20.56,0.49980731848192295,1.9663818687903543e-26,1.9663818687903543e-26,0.0,transient,0.0,2.4207090508200943e-28,nan,20.56,0.4999335695008082,2.250010990954137e-28,2.250010990954137e-28,0.0,monotone,0.0001831247218685439,0.00023203570989338562,0.53,20.56,0.49985790661566415,7.315831978589713e-26,7.315831978589713e-26,0.0,transient,0.0006842082575531094,0.0006901261276441861,1.03,20.56,0.49984148580925375,7.426690309003206e-26,7.426690309003206e-26,0.0,transient,0.0,4.453929993111547e-28,nan,20.44,0.4999140731203436,1.698274146741146e-28,6.152204139852693e-28,4.453929993111547e-28,monotone,0.0006842082575531094,0.0006901261276441861,1.03,20.56,0.49984148580925375,7.426841146383286e-26,7.426841146383286e-26,0.0,transient,0.0,4.417443274874249e-28,nan,19.53,0.4999140731203436,1.698284979185402e-28,6.115728254059651e-28,4.417443274874249e-28,monotone
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,1,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s1__dt0.0002__ba3080c4b3,60.0,3.833482448570052e-26,0.0,2.7755575615628914e-17,179,189,179,195,179,203,179,223,180,210,180,264,181,539,0.004984715151381505,0.005053553396456759,1.37,20.11,0.4994431250380509,1.5288031898545878e-26,1.5288031898545878e-26,0.0,transient,0.004984128185565276,0.005052972286474486,1.37,20.11,0.4994431297074031,1.5278332915345944e-26,1.5278332915345944e-26,0.0,transient,0.0,0.0,nan,20.11,0.4996236500674441,5.799148396244962e-28,5.799148396244962e-28,0.0,monotone,7.267113846509687e-05,0.00010687403039383314,0.25,20.11,0.4998882251413876,7.597174906353712e-26,7.597174906353712e-26,0.0,transient,0.0003295149708668066,0.0003332240323272728,0.8300000000000001,20.11,0.49985616670748645,7.63617356306912e-26,7.63617356306912e-26,0.0,transient,1.4740772319948353e-08,1.4837145319020819e-08,4.16,20.11,0.499579874105122,8.242279315672687e-33,8.242279315672687e-33,0.0,other,0.0003295149708668066,0.0003332240323272728,0.8300000000000001,20.11,0.49985616670748645,7.640513161205048e-26,7.640513161205048e-26,0.0,transient,1.4740772319948353e-08,1.48371453189996e-08,4.16,20.11,0.499579874105122,7.843666303927201e-33,7.843666303927201e-33,0.0,other
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,2,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s2__dt0.0002__e5ff06acd4,60.0,3.860446498389582e-26,0.0,2.220446049250313e-16,178,196,178,212,179,219,179,261,180,268,180,340,181,539,0.005773097995568258,0.0058738655081045504,1.53,19.41,0.49976397191170185,1.1537707036439502e-26,1.1537707036439502e-26,0.0,transient,0.005759814197563565,0.005860192380994583,1.53,19.41,0.4997643895338517,1.1453878239308125e-26,1.1453878239308125e-26,0.0,transient,0.0,1.2793240026484984e-27,nan,19.27,0.49992428181326476,5.6802337777587165e-28,1.84734738042437e-27,1.2793240026484984e-27,monotone,0.00010916705593350118,0.00016573116600326898,0.61,19.41,0.4997892407778362,7.594771461338913e-26,7.594771461338913e-26,0.0,transient,0.000287514738773309,0.0003085270790078032,1.06,19.41,0.4997693119885052,7.566342038206214e-26,7.566342038206214e-26,0.0,transient,0.0,3.3100846654205646e-28,nan,18.75,0.49990121922708186,1.1920053860201131e-28,4.139196317064307e-28,2.9471909310441937e-28,monotone,0.000287514738773309,0.0003085270790078032,1.06,19.41,0.4997693119885052,7.566345178570573e-26,7.566345178570573e-26,0.0,transient,0.0,3.342214422451672e-28,nan,18.75,0.49990121922708186,1.1914663806454142e-28,4.169010045341018e-28,2.9775436646956037e-28,monotone
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,3,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s3__dt0.0002__98a4c67634,60.0,3.827878114477914e-26,0.0,1.3877787807814457e-17,179,209,179,235,179,235,179,277,180,236,180,328,181,539,0.007035277319385677,0.0071285896918235475,1.46,20.14,0.49967504107926586,1.988285238936277e-26,1.988285238936277e-26,0.0,transient,0.0070421263058542405,0.007135373904652936,1.46,20.14,0.4996749022790077,1.9915711835701927e-26,1.9915711835701927e-26,0.0,transient,0.0,2.877585855947412e-28,nan,20.14,0.49986033047166445,1.3184001582551433e-28,1.3184001582551433e-28,0.0,monotone,0.00019323265449144866,0.0002463229767330488,0.45,20.14,0.4998221633612525,7.246981639377622e-26,7.246981639377622e-26,0.0,transient,0.0006715963270529368,0.0006779955301892127,0.9400000000000001,20.14,0.4997964076370372,7.365269799792524e-26,7.365269799792524e-26,0.0,transient,5.0875864329472366e-08,5.118242248506712e-08,4.08,20.03,0.4998286351713993,1.6778828027679854e-28,5.949713468006374e-28,4.271830665238388e-28,other,0.0006715963270529368,0.0006779955301892127,0.9400000000000001,20.14,0.4997964076370372,7.361093839672222e-26,7.361093839672222e-26,0.0,transient,5.0875864329472366e-08,5.118242248502759e-08,4.08,19.43,0.4998286351713993,1.6780016520559639e-28,5.913992537848718e-28,4.235990885792754e-28,other
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,4,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s4__dt0.0002__583b08325f,60.0,2.577276848016101e-26,0.0,3.469446951953614e-18,179,263,179,301,179,271,179,337,180,272,180,382,181,539,0.009092292298323534,0.009230082676783893,1.46,19.400000000000002,0.4996207094271356,1.027201669186732e-26,1.1101966156893867e-26,8.299494650265468e-28,transient,0.00908876023565404,0.009226587879631654,1.46,19.400000000000002,0.4996208273128219,1.0268189483881834e-26,1.1097362413954804e-26,8.2917293007297e-28,transient,0.0,0.0,nan,19.47,0.49990203776987013,1.129020192742641e-27,1.129020192742641e-27,0.0,monotone,0.000496803799032608,0.0005557897995889238,0.62,19.47,0.4996075938647089,4.7054204845472283e-26,4.7054204845472283e-26,0.0,transient,0.0010504841129575504,0.0010662499492409827,0.99,19.47,0.4995739470096134,4.7443129438721904e-26,4.7443129438721904e-26,0.0,transient,0.0,5.172973383494191e-29,nan,19.1,0.4998640206986728,9.422048017109861e-28,9.608428874489254e-28,1.8638085737939303e-29,monotone,0.0010504841129575504,0.0010662499492409827,0.99,19.47,0.4995739470096134,4.7443394066738434e-26,4.7443394066738434e-26,0.0,transient,0.0,5.190338776664744e-29,nan,19.1,0.4998640206986728,9.422031681018424e-28,9.606852970265789e-28,1.8482128924736435e-29,monotone
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,5,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s5__dt0.0002__0bcab84a5d,60.0,3.8352231490421544e-26,0.0,3.552713678800501e-15,179,231,179,259,179,235,179,291,180,236,180,334,181,539,0.00833717415161253,0.008444612406944399,1.41,20.39,0.499558800572088,9.077872333613192e-27,9.077872333613192e-27,0.0,transient,0.008341054078090077,0.008448457732676481,1.41,20.39,0.49955871454698986,9.092829875933281e-27,9.092829875933281e-27,0.0,transient,0.0,2.099269802357909e-27,nan,20.14,0.49981041389994824,8.039636626589076e-28,2.9032334650168168e-27,2.099269802357909e-27,monotone,0.00029370307256954,0.0003550652132123244,0.45,20.39,0.49976172426529736,7.284064890826063e-26,7.284064890826063e-26,0.0,transient,0.000988619561636317,0.000996541141600804,0.9,20.39,0.49972667687684685,7.210610093295732e-26,7.210610093295732e-26,0.0,transient,0.0,7.339583371714116e-28,nan,19.64,0.49976723917845134,2.902223716882885e-28,1.0241807088597001e-27,7.339583371714116e-28,monotone,0.000988619561636317,0.000996541141600804,0.9,20.39,0.49972667687684685,7.210435475874222e-26,7.210435475874222e-26,0.0,transient,0.0,7.3867091489138426e-28,nan,19.64,0.49976723917845134,2.9020937588175663e-28,1.0288802907731408e-27,7.3867091489138426e-28,monotone
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,6,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s6__dt0.0002__2a7ada9c06,60.0,3.8210151280414e-26,0.0,3.469446951953614e-18,179,211,179,233,179,237,179,277,180,238,180,330,181,539,0.007316439066206021,0.007408893703140962,1.48,20.63,0.49971448178273065,1.4673213430539252e-26,1.4673213430539252e-26,0.0,transient,0.007325559387686684,0.0074179334753649295,1.48,20.63,0.4997143258902796,1.4692238536901887e-26,1.4692238536901887e-26,0.0,transient,0.0,1.9758808634248632e-28,nan,20.6,0.4998805625275035,5.6641378182485e-28,6.972059954641205e-28,1.3079221363927045e-28,monotone,0.00019582659691186333,0.0002473125326843406,0.46,20.63,0.4998396549575245,7.554566758933106e-26,7.554566758933106e-26,0.0,transient,0.0007714315978327169,0.0007772407500342138,0.96,20.63,0.4998167238652937,7.580415238677925e-26,7.580415238677925e-26,0.0,transient,0.0,4.0454262107009066e-29,nan,20.44,0.49985243922886896,2.2252630660012215e-30,7.436044181719133e-30,5.210781115717911e-30,monotone,0.0007714315978327169,0.0007772407500342138,0.96,20.63,0.4998167238652937,7.584716236309713e-26,7.584716236309713e-26,0.0,transient,0.0,4.0864254767795495e-29,nan,20.45,0.49985243922886896,2.225031575442558e-30,7.838905170073249e-30,5.6138735946306904e-30,monotone
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,7,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s7__dt0.0002__824a467933,60.0,2.611313453594283e-26,0.0,1.1102230246251565e-16,179,201,179,223,179,229,179,267,180,242,180,318,181,539,0.0061567696496935415,0.00626006153320878,1.42,19.41,0.4995442321120148,1.055494812664945e-26,1.0588665767371826e-26,3.3717640722376216e-29,transient,0.0061522652171804165,0.006255424610817489,1.42,19.41,0.49954439354030905,1.0531786122766271e-26,1.0573147394251931e-26,4.1361271485660277e-29,transient,0.0,0.0,nan,19.43,0.4997952841346031,1.3732135689198623e-27,1.3732135689198623e-27,0.0,monotone,0.0001402868153345116,0.00019688589940314305,0.48,19.43,0.4997456976494794,4.774373254343412e-26,4.774373254343412e-26,0.0,transient,0.0003668670206813385,0.0003818030645707515,0.93,19.43,0.4997107516529278,4.7974221477692676e-26,4.7974221477692676e-26,0.0,transient,1.1577324957298433e-09,1.1861211102077013e-09,4.64,18.36,0.49975224869670926,1.056309565857631e-27,1.0573276470719612e-27,1.0180812143301805e-30,other,0.0003668670206813385,0.0003818030645707515,0.93,19.43,0.4997107516529278,4.797427790493082e-26,4.797427790493082e-26,0.0,transient,1.1577324957298433e-09,1.1861211102053091e-09,4.64,18.47,0.49975224869670926,1.0461285207782004e-27,1.0471128283537744e-27,9.84307575574036e-31,other
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,8,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s8__dt0.0002__5e56832db1,60.0,3.841706021746434e-26,0.0,1.1102230246251565e-16,179,193,179,199,179,209,179,227,180,210,180,270,181,539,0.005695938411863916,0.005764775496735444,1.3800000000000001,21.37,0.4994804733568033,1.3545914248794916e-26,1.3545914248794916e-26,0.0,transient,0.005693951617137122,0.005762805737492674,1.3800000000000001,21.37,0.49948048743505313,1.3527505440014485e-26,1.3527505440014485e-26,0.0,transient,0.0,7.379582879013655e-28,nan,21.3,0.4996544445982398,4.2939696260532e-28,1.0587561053955725e-27,6.293591427902525e-28,monotone,8.60852121943867e-05,0.00012252852036576112,0.25,21.37,0.499895184349207,7.621387389465757e-26,7.621387389465757e-26,0.0,transient,0.0004812578031208603,0.0004844707206851373,0.84,21.37,0.49986461821407036,7.629560064416506e-26,7.629560064416506e-26,0.0,transient,0.0,7.031315639434582e-29,nan,20.18,0.4996128660021424,2.524774849272169e-29,8.852441388894682e-29,6.327666539622513e-29,monotone,0.0004812578031208603,0.0004844707206851373,0.84,21.37,0.49986461821407036,7.629491003107998e-26,7.629491003107998e-26,0.0,transient,0.0,7.177668243611124e-29,nan,20.18,0.4996128660021424,2.524402385216655e-29,8.990963614503058e-29,6.466561229286403e-29,monotone
tied,0.0002,0.01,E4_positive_control,pos_entries,0.01,1.0,2.0,2000,False,9,0.05,60.0,2,E4_positive_control__tied__mu1-2_sd0.05__h2_eps1.00e-02_pos_entries__s9__dt0.0002__3467a8af64,60.0,3.831679611128651e-26,0.0,3.469446951953614e-18,179,209,179,237,179,245,179,281,180,246,180,330,181,539,0.0067215374768081065,0.006830531032556569,1.42,19.32,0.49955913402469043,1.0006769916206533e-26,1.0006769916206533e-26,0.0,transient,0.006722938058479275,0.006831971504056761,1.42,19.32,0.499559085121441,1.0006769916206533e-26,1.0006769916206533e-26,0.0,transient,0.0,1.8242292877439235e-27,nan,19.06,0.49981748085143535,7.808329551373253e-28,2.6050622428812487e-27,1.8242292877439235e-27,monotone,0.0001881682038086807,0.00024917273323937783,0.5,19.32,0.49972564649419904,7.29070795283499e-26,7.29070795283499e-26,0.0,transient,0.0004770107885201935,0.0004898975019205776,0.93,19.32,0.4996906269449498,7.237672284081559e-26,7.237672284081559e-26,0.0,transient,4.390003932092606e-08,4.437364145733296e-08,3.94,18.25,0.4997749388104962,2.6153290905091e-28,9.302768227286717e-28,6.687439136777616e-28,other,0.0004770107885201935,0.0004898975019204665,0.93,19.32,0.4996906269449498,7.237570501956505e-26,7.237570501956505e-26,0.0,transient,4.390003932092606e-08,4.4373641457296855e-08,3.94,18.5,0.4997749388104962,2.6153298316410483e-28,9.347630635988049e-28,6.732300804347001e-28,other
