arch,seed,run_id,m85_E0,m85_Emin,m85_t_min,m85_max_drop_after_split,m85_E@20,gain_lost@20,loss@20,m85_E@40,gain_lost@40,loss@40,m85_E@60,gain_lost@60,loss@60,m85_E@100,gain_lost@100,loss@100,m85_S@20,m85_Eend@20,m85_t_min@20,m85_class@20,n_off_persistent@20,n_in_persistent@20,n_off_S_ge_1e-04@20,n_in_S_ge_1e-04@20,n_any_S_ge_1e-05@20,max_in_final_excess@20,m85_S@100,m85_Eend@100,m85_t_min@100,m85_class@100,n_off_persistent@100,n_in_persistent@100,n_off_S_ge_1e-04@100,n_in_S_ge_1e-04@100,n_any_S_ge_1e-05@100,max_in_final_excess@100
linear,0,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s0__dt0.0002__8e1a197b4d,0.49990704535772357,9.384714573840877e-27,12.48,0.0,9.384714573840877e-27,0.0,1.910295452403178e-26,9.384714573840877e-27,0.0,1.910295452403178e-26,9.384714573840877e-27,0.0,1.910295452403178e-26,9.384714573840877e-27,0.0,1.910295452403178e-26,0.0,9.384714573840877e-27,12.48,monotone,0,0,0,0,0,7.931749882964392e-30,0.0,9.384714573840877e-27,12.48,monotone,0,0,0,0,0,7.931749882964392e-30
linear,1,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s1__dt0.0002__c5cc3f7818,0.4998922648831382,9.522102038278204e-27,20.68,1.532857272387523e-29,9.537429359147616e-27,nan,1.9440985233852422e-26,9.522104349394138e-27,4.623228034554529e-33,1.938971439362225e-26,9.522104349394138e-27,4.623228034554529e-33,1.938971439362225e-26,9.522104349394138e-27,4.623228034554529e-33,1.938971439362225e-26,0.0,9.537429359147616e-27,18.55,monotone,0,0,0,0,0,1.479268271684948e-29,0.0,9.522104349394138e-27,20.68,monotone,0,0,0,0,0,1.4963705295911068e-29
linear,2,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s2__dt0.0002__afc52cf997,0.4999034172432936,9.33917567141635e-27,61.95,4.567920642097646e-29,9.384854877837326e-27,nan,1.918262967034709e-26,9.35439359946492e-27,nan,1.913822117060647e-26,9.33917981216573e-27,nan,1.9107205025978646e-26,9.33917567141635e-27,0.0,1.910054861807832e-26,0.0,9.384854877837326e-27,19.68,monotone,0,0,0,0,0,1.5006846126665342e-29,0.0,9.33917567141635e-27,61.95,monotone,0,0,0,0,0,1.414248876762435e-29
linear,3,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s3__dt0.0002__6df0b7aadd,0.49989600891247704,9.445647915793378e-27,12.42,0.0,9.445647915793378e-27,0.0,1.9261116929870878e-26,9.445647915793378e-27,0.0,1.9261116929870878e-26,9.445647915793378e-27,0.0,1.9261116929870878e-26,9.445647915793378e-27,0.0,1.9261116929870878e-26,0.0,9.445647915793378e-27,12.42,monotone,0,0,0,0,0,1.4686371383919306e-29,0.0,9.445647915793378e-27,12.42,monotone,0,0,0,0,0,1.4686371383919306e-29
linear,4,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s4__dt0.0002__02f05678f3,0.49990418607202525,9.506784635948007e-27,10.38,0.0,9.506784732244504e-27,1.926299076949269e-34,1.9334868418012086e-26,9.506784732244504e-27,1.926299076949269e-34,1.9334868418012086e-26,9.506784732244504e-27,1.926299076949269e-34,1.9334868418012086e-26,9.506784732244504e-27,1.926299076949269e-34,1.9334868418012086e-26,0.0,9.506784732244504e-27,10.38,monotone,0,0,0,0,0,9.225974805592615e-30,0.0,9.506784732244504e-27,10.38,monotone,0,0,0,0,0,9.225974805592615e-30
linear,5,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s5__dt0.0002__794be5da6b,0.49990070037705475,9.369513979161806e-27,10.78,0.0,9.369513979161806e-27,0.0,1.9022611848078184e-26,9.369513979161806e-27,0.0,1.9022611848078184e-26,9.369513979161806e-27,0.0,1.9022611848078184e-26,9.369513979161806e-27,0.0,1.9022611848078184e-26,0.0,9.369513979161806e-27,10.78,monotone,0,0,0,0,0,2.8981393803139125e-30,0.0,9.369513979161806e-27,10.78,monotone,0,0,0,0,0,2.8981393803139125e-30
linear,6,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s6__dt0.0002__342959f216,0.4998974381758854,9.506971065966623e-27,11.92,0.0,9.5222615052776e-27,3.0587152770317914e-29,1.9328619803056841e-26,9.5222615052776e-27,3.0587152770317914e-29,1.9328619803056841e-26,9.5222615052776e-27,3.0587152770317914e-29,1.9328619803056841e-26,9.5222615052776e-27,3.0587152770317914e-29,1.9328619803056841e-26,0.0,9.5222615052776e-27,11.92,monotone,0,0,0,0,0,3.7948523624206095e-30,0.0,9.5222615052776e-27,11.92,monotone,0,0,0,0,0,3.7948523624206095e-30
linear,7,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s7__dt0.0002__464917913d,0.4999063457839321,9.491485433655783e-27,11.31,0.0,9.491485433655783e-27,0.0,1.937454696252433e-26,9.491485433655783e-27,0.0,1.937454696252433e-26,9.491485433655783e-27,0.0,1.937454696252433e-26,9.491485433655783e-27,0.0,1.937454696252433e-26,0.0,9.491485433655783e-27,11.31,monotone,0,0,0,0,0,4.610089480083112e-31,0.0,9.491485433655783e-27,11.31,monotone,0,0,0,0,0,4.610089480083112e-31
linear,8,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s8__dt0.0002__c6259e3e8e,0.49989892127314967,9.568223438214412e-27,11.83,0.0,9.568223438214412e-27,0.0,1.9478726911376964e-26,9.568223438214412e-27,0.0,1.9478726911376964e-26,9.568223438214412e-27,0.0,1.9478726911376964e-26,9.568223438214412e-27,0.0,1.9478726911376964e-26,0.0,9.568223438214412e-27,11.83,monotone,0,0,0,0,0,1.4920564465156794e-29,0.0,9.568223438214412e-27,11.83,monotone,0,0,0,0,0,1.4920564465156794e-29
linear,9,E6_long_horizon__linear__mu3-2_sd0.15__h200_eps1.00e-03_iso__s9__dt0.0002__b14ca62f60,0.4998979201760456,9.415323378447023e-27,10.59,0.0,9.415357274814045e-27,6.780657740940051e-32,1.9395525368915957e-26,9.415357274814045e-27,6.780657740940051e-32,1.9395525368915957e-26,9.415357274814045e-27,6.780657740940051e-32,1.9395525368915957e-26,9.415357274814045e-27,6.780657740940051e-32,1.9395525368915957e-26,0.0,9.415357274814045e-27,10.59,monotone,0,0,0,0,0,3.4004219098101036e-30,0.0,9.415357274814045e-27,10.59,monotone,0,0,0,0,0,3.4004219098101036e-30
