psi_deg,D1<0<D2_on_window,D1_at_cross,D2_at_cross,S,dD1,dD2,final_excess,n_sign_changes,opposite_signs_at_cross,rise,strong_share_of_swing,t_cross,t_min,t_rev
-100.0,True,-7.926656412036526e-11,7.926656412036526e-11,3.1030733538273125e-14,4.724426963385381e-12,-4.0427389226239915e-12,2.041719577849932e-07,2,True,2.0564538771861152e-07,6.930482392075687,11.100615854810458,0.0,11.31
-99.9,,,,0.0,,,2.0458742550077957e-07,1,,2.0612458645485887e-07,,nan,0.0,nan
-99.8,,,,0.0,,,2.050018987898028e-07,1,,2.0660408900363691e-07,,nan,0.0,nan
-99.7,,,,0.0,,,2.0541283546338107e-07,1,,2.0708390890966655e-07,,nan,0.0,nan
-99.6,,,,0.0,,,2.0582392351586876e-07,1,,2.0756408947164573e-07,,nan,0.0,nan
-99.5,,,,0.0,,,2.0623508512063182e-07,1,,2.0804461681178665e-07,,nan,0.0,nan
-99.4,,,,0.0,,,2.06640953737125e-07,1,,2.0852506787960579e-07,,nan,0.0,nan
-99.3,,,,0.0,,,2.0704688336037336e-07,1,,2.090056893666592e-07,,nan,0.0,nan
-99.2,,,,0.0,,,2.074519195871538e-07,1,,2.0948651319185885e-07,,nan,0.0,nan
-99.1,,,,0.0,,,2.0785195603556517e-07,1,,2.099676504885295e-07,,nan,0.0,nan
-99.0,,,,0.0,,,2.082519377499814e-07,1,,2.1044894454869123e-07,,nan,0.0,nan
-98.9,,,,0.0,,,2.0864774136208908e-07,1,,2.10929989752362e-07,,nan,0.0,nan
-98.8,,,,0.0,,,2.0904100167529194e-07,1,,2.1141117378942198e-07,,nan,0.0,nan
-98.7,,,,0.0,,,2.094314854317325e-07,1,,2.1189252219500077e-07,,nan,0.0,nan
-98.6,,,,0.0,,,2.0981724135893387e-07,1,,2.1237402608731415e-07,,nan,0.0,nan
-98.5,,,,0.0,,,2.1020008972305604e-07,1,,2.12855217784913e-07,,nan,0.0,nan
-98.4,,,,0.0,,,2.1057747878749922e-07,1,,2.1333644306675836e-07,,nan,0.0,nan
-98.3,,,,0.0,,,2.1095026581097187e-07,1,,2.1381763071204318e-07,,nan,0.0,nan
-98.2,,,,0.0,,,2.1131831245968513e-07,1,,2.1429892033131281e-07,,nan,0.0,nan
-98.1,,,,0.0,,,2.1167829006296657e-07,1,,2.1477987255380526e-07,,nan,0.0,nan
-98.0,,,,0.0,,,2.1203321798335395e-07,1,,2.1526054133635952e-07,,nan,0.0,nan
-97.9,,,,0.0,,,2.1238019848324186e-07,1,,2.1574128222789923e-07,,nan,0.0,nan
-97.8,,,,0.0,,,2.127171606081113e-07,1,,2.1622191825887427e-07,,nan,0.0,nan
-97.7,,,,0.0,,,2.1304545572142786e-07,1,,2.1670188560252157e-07,,nan,0.0,nan
-97.6,,,,0.0,,,2.1336354638634702e-07,1,,2.1718180731600256e-07,,nan,0.0,nan
-97.5,,,,0.0,,,2.1366984837012382e-07,1,,2.1766150365420955e-07,,nan,0.0,nan
-97.4,,,,0.0,,,2.1396257654515694e-07,1,,2.1814072476145085e-07,,nan,0.0,nan
-97.3,,,,0.0,,,2.1423908197482078e-07,1,,2.1861952498314352e-07,,nan,0.0,nan
-97.2,,,,0.0,,,2.144987996666181e-07,1,,2.1909799741148817e-07,,nan,0.0,nan
-97.1,,,,0.0,,,2.1473963224272197e-07,1,,2.195760343548514e-07,,nan,0.0,nan
-97.0,,,,0.0,,,2.1495803392834745e-07,1,,2.2005337441122208e-07,,nan,0.0,nan
-96.9,,,,0.0,,,2.1515157799800733e-07,1,,2.2053030079849378e-07,,nan,0.0,nan
-96.8,,,,0.0,,,2.1531773364280582e-07,1,,2.2100669649915972e-07,,nan,0.0,nan
-96.7,,,,0.0,,,2.1545352951735097e-07,1,,2.2148218908890627e-07,,nan,0.0,nan
-96.6,,,,0.0,,,2.1555569829079246e-07,1,,2.2195720733586555e-07,,nan,0.0,nan
-96.5,,,,0.0,,,2.1561608565257018e-07,1,,2.2243145519906804e-07,,nan,0.0,nan
-96.4,,,,0.0,,,2.156318917312383e-07,1,,2.2290466922259e-07,,nan,0.0,nan
-96.3,True,-8.864011364695169e-10,8.86401136469517e-10,2.6184165946574467e-11,2.421282566832461e-10,-3.2151872330614664e-11,2.1560057816838452e-07,7,True,2.2337736260702457e-07,1.1531213732903376,5.133530041669496,0.0,5.28
-96.2,True,-1.0258181009533768e-09,1.0258181009533766e-09,1.4487316901679037e-10,3.350520045011386e-10,-3.275622250656644e-11,2.155070145115623e-07,3,True,2.2384889369897465e-07,1.1083581857822766,5.025497461762403,0.0,5.03
-96.1,True,-1.2384007188136204e-09,1.23840071881362e-09,3.4353320188529324e-10,4.818016538157852e-10,1.449283732568357e-10,2.153548823713436e-07,3,True,2.2431934398881026e-07,0.7687546997966919,4.893629504901098,0.0,4.9
-96.0,True,-1.4728617366829287e-09,1.4728617366829281e-09,6.369356708724183e-10,6.491163381792493e-10,3.891915007795419e-10,2.1512420184111036e-07,3,True,2.2478914940560202e-07,0.6251675214454504,4.8093925664465615,0.0,4.8100000000000005
-95.9,True,-1.7385161637533752e-09,1.7385161637533756e-09,1.0362865565660684e-09,8.414405038444035e-10,7.013637093501604e-10,2.148153132597308e-07,2,True,2.252574143879471e-07,0.5453968148700467,4.750766308836186,0.0,4.75
-95.8,True,-2.0439407622499072e-09,2.043940762249907e-09,1.5602717451379533e-09,1.0651558811069649e-09,1.0835538303164482e-09,2.14414192345469e-07,2,True,2.2572464403181058e-07,0.49571883788869375,4.708134244738784,0.0,4.71
