t,main_mass,main_share_of_strong,main_theta,main_psi,main_f2_at_e1,main_f1_at_e2,main_f1_at_probe,main_f2_at_probe,bridge_mass,bridge_share_of_strong,bridge_theta,bridge_psi,bridge_f2_at_e1,bridge_f1_at_e2,bridge_f1_at_probe,bridge_f2_at_probe,weak_mass,weak_theta,weak_psi,weak_f2_at_e1,weak_f1_at_e2,weak_f1_at_probe,weak_f2_at_probe,probe_e1,probe_e2,main_thetadot_c1,main_psidot_c1,main_thetadot_c2,main_psidot_c2,main_a_dot_probe,main_b_dot_probe_residual
1.0,0.2648655812817285,0.8926108191822275,1.0740018446152013,0.9908730855802561,0.00457283880927896,0.005540728917753099,0.01812369671395209,0.00014063235706679607,0.03186573273526626,0.10738918081777242,8.951382151397459,8.892746593194447,0.004765938272883179,0.004798548063047027,0.0,0.0,0.0016538905488593548,89.71141273405436,89.8816988081962,0.00010401371777186124,-1.338846532547203e-05,0.0,0.0,0.06904526795657964,-0.9963116229057851,-0.05935233309272369,-0.09724102372922032,0.05312302449862628,0.08332468097888245,0.06844580147004076,0.051788458939867964
1.25,0.7353318432608047,0.9159549924329047,1.0254039352275774,0.7974729124821209,0.010217182048490843,0.014136966750365281,0.05094577101244171,0.0003226311995788952,0.06747162343318695,0.08404500756709542,9.125600765200598,8.977123193091023,0.010156022495744549,0.01033085710632096,0.0,0.0,0.0044633514561951545,88.09152582134249,88.82160640501766,0.00027274209969204734,4.1181120524835606e-05,0.0,0.0,0.03622328418541882,-0.9964939341730591,-0.01614708032921297,-0.10551702390727424,0.002923089346974675,0.0813483129320906,0.06929645533772884,0.02234442121301461
1.5,0.876434652256401,0.8956652432962612,0.684265747094074,0.3156415934517724,0.0048123545938658415,0.013357725400038135,0.06591974770976228,-0.00019440979717035142,0.10209461279681574,0.10433475670373883,10.49987574620394,10.337818012193269,0.017391748107088045,0.017680429910787138,0.0,0.0,0.012679306311121658,86.13223281788218,87.63409496851011,0.0009070440183545512,0.0003366924800248104,0.0,0.0,0.02124932222357316,-0.9959769308846483,-0.0015919523424728767,-0.10522219883080644,-0.020783386781181544,0.07417993602623113,0.07523008964801992,0.015756831409567806
1.75,0.8740485158472759,0.8707815736170605,0.16747794584396056,-0.34970016468605797,-0.005341268310220023,0.010122816740759526,0.07357550404181856,-0.0011659079064121147,0.12970321975347304,0.1292184263829394,12.59744457212351,12.507039639806116,0.026005904166252366,0.026210276757933904,0.0,0.0,0.0360508841383953,84.56660577960906,86.65724008492022,0.003045188548893327,0.0014683668629138795,0.0,0.0,0.013593581279881972,-0.9950054292318697,-0.00037583877831370686,-0.10852671454789517,-0.03220635702653165,0.06356879285647132,0.08421245684875553,0.01965716093253894
2.0,0.860941543202586,0.8539969172947868,-0.4698589530781982,-1.2486489168836583,-0.018747039579423093,0.007506112873790157,0.08195636287146639,-0.002677716486198776,0.14719036660547025,0.14600308270521328,15.050446090125805,15.06495552963451,0.03444217848456061,0.03440442878413043,0.0,0.0,0.09761143372752527,83.8579288585887,86.36840719436547,0.00892329526416085,0.004434889855280372,0.0,0.0,0.005212729050992612,-0.9934936000526698,-0.0004141744381102037,-0.1159834928905675,-0.04124223751790362,0.05028422642860095,0.09528032942015195,0.026844408443996368
2.25,0.8562465529570115,0.8496967582925989,-1.158910770774947,-2.416467827304581,-0.03604600208519403,0.005560246421259822,0.09164138225728333,-0.004940699332731667,0.15146183783121936,0.15030324170740075,17.330332603066637,17.45582901435138,0.03993163470019377,0.03959954281560534,0.0,0.0,0.23439606894252574,84.14370258474997,87.05697444988034,0.02048372383733995,0.008481405040035424,0.0,0.0,-0.004472272438687502,-0.9912306088576699,-0.00040570769046363944,-0.12234527330279837,-0.04453524244380948,0.03522331677508565,0.10723350436558551,0.03729463004604228
2.5,0.8607960288539896,0.856319828057969,-1.7662405125324407,-3.7549855315276943,-0.056249508276254315,0.004300026000354652,0.10099936920495928,-0.007871755910954039,0.14443122461995153,0.14368017194203112,19.01086230498024,19.239578077820568,0.04115004919201345,0.04057374514997746,0.0,0.0,0.45941762292836175,84.97836656517963,88.3805182229651,0.03495318098088826,0.007772296797165151,0.0,0.0,-0.0138302553168944,-0.9882995278758863,-0.000258477254933589,-0.11547181590215674,-0.03639621456867268,0.02082921825829542,0.11775727735380194,0.050871656340177755
2.75,0.8699654474671592,0.8665581328145456,-2.149621116287115,-4.991348091154216,-0.07548989579646086,0.0036651533975210083,0.10760743747104427,-0.010776079832072141,0.13396656185060776,0.1334418671854543,19.967148796257984,20.295550411003756,0.03982137532454611,0.039054541165902276,0.0,0.0,0.7015504045757863,85.7273569291497,89.71631463629215,0.04602731519837721,-0.0025046509451652314,0.0,0.0,-0.020438309146595335,-0.9853952000653584,-0.0001538144700970058,-0.08859562987835043,-0.018984885947899578,0.010280327265167227,0.12439443705488773,0.06529608201750668
3.0,0.87823782251715,0.8742303362250236,-2.2735204488776493,-5.88609985496566,-0.08980592873357683,0.0034995819265588946,0.11030437049184265,-0.012840038176730385,0.12634619398979374,0.12576966377497648,20.357845258253136,20.794596970164427,0.038279110549839575,0.03731780260620907,0.0,0.0,0.8690847484173223,86.11971812526015,90.73971162804008,0.05226082105798698,-0.017250087619598623,0.0,0.0,-0.023135239147448167,-0.983331230866692,-0.00021003606246468743,-0.055498353754082505,-0.0019441421120094512,0.004444418018608497,0.12653811270727747,0.07772666927382887
3.25,0.8835214681438861,0.8784290135190872,-2.2019727202742585,-6.433519178081247,-0.09871551099321478,0.0036787113092783775,0.10974430271322103,-0.013900590869774285,0.12227576139478535,0.12157098648091277,20.410010917460273,20.94864198273664,0.03725612454034847,0.03610918033505178,0.0,0.0,0.9531427794118241,86.20226016705196,91.42722785941841,0.05650044906327197,-0.029596863519314946,0.0,0.0,-0.022575178430568735,-0.9822706594797261,-0.00029811625294958154,-0.031705629060193,0.009532818627504958,0.001784510014981941,0.12529904707704678,0.08751044032749776
3.5,0.8858823733672501,0.8797869049793866,-2.0166701930137965,-6.766801644741426,-0.1040976429748239,0.004094088908550608,0.10713130308501287,-0.014266474048893614,0.12104597297817124,0.12021309502061339,20.26881392561775,20.86886907579476,0.03673313812885676,0.03546876466013493,0.0,0.0,0.9886641387850565,86.11497698691636,91.87612580123835,0.060359931944540916,-0.03802647092857114,0.0,0.0,-0.019962184942430475,-0.9819047631954915,-0.00033364112062010936,-0.01904475160790335,0.016048630160861763,0.0006716097832629424,0.12209033218216608,0.09574016258780296
3.75,0.8863836140980046,0.8795388675206545,-1.7706842717803764,-6.9962794374224435,-0.10769210386095884,0.004713641496726706,0.10338840842327193,-0.014253425455530475,0.12139858499530548,0.12046113247934562,20.0183379319528,20.625189515505777,0.036437137301377195,0.035155414996323325,0.0,0.0,1.0027749139624251,85.95473638216735,92.1737036261236,0.0641162292626007,-0.04353986448627642,0.0,0.0,-0.016219284880149093,-0.9819178185752109,-0.0003286670547665125,-0.013191310400500728,0.019438479368486198,0.00021906512033923343,0.11782910854046724,0.10336130462024454
