psi_deg,D1<0<D2_on_window,D1_at_cross,D2_at_cross,S,dD1,dD2,final_excess,n_sign_changes,opposite_signs_at_cross,rise,strong_share_of_swing,t_cross,t_min,t_rev
-100.0,,,,0.0,,,1.9164112516956155e-05,0,,1.9528544217828347e-05,,nan,0.0,nan
-99.9,,,,0.0,,,1.9193222497382312e-05,0,,1.9571163722975626e-05,,nan,0.0,nan
-99.8,,,,0.0,,,1.9221947452796595e-05,0,,1.9613711751242935e-05,,nan,0.0,nan
-99.7,,,,0.0,,,1.9250214993549175e-05,0,,1.9656165544446047e-05,,nan,0.0,nan
-99.6,,,,0.0,,,1.9278031165193e-05,0,,1.9698535089429647e-05,,nan,0.0,nan
-99.5,,,,0.0,,,1.9305377253309164e-05,0,,1.9740829983738717e-05,,nan,0.0,nan
-99.4,,,,0.0,,,1.933218253380442e-05,0,,1.978301984634223e-05,,nan,0.0,nan
-99.3,,,,0.0,,,1.935845480660614e-05,0,,1.98250936519484e-05,,nan,0.0,nan
-99.2,,,,0.0,,,1.9384159714919136e-05,0,,1.98670774430032e-05,,nan,0.0,nan
-99.1,,,,0.0,,,1.940926013216382e-05,0,,1.9908947243629793e-05,,nan,0.0,nan
-99.0,,,,0.0,,,1.9433718216832485e-05,0,,1.9950687359882036e-05,,nan,0.0,nan
-98.9,,,,0.0,,,1.9457494544794507e-05,0,,1.999228464455438e-05,,nan,0.0,nan
-98.8,,,,0.0,,,1.9480548131833864e-05,0,,2.003377530807038e-05,,nan,0.0,nan
-98.7,,,,0.0,,,1.9502837588336597e-05,0,,2.0075119392337637e-05,,nan,0.0,nan
-98.6,,,,0.0,,,1.952431949131528e-05,0,,2.0116301317874008e-05,,nan,0.0,nan
-98.5,,,,0.0,,,1.9544949419358915e-05,0,,2.01573097681762e-05,,nan,0.0,nan
-98.4,,,,0.0,,,1.956465020308551e-05,0,,2.0198185584519024e-05,,nan,0.0,nan
-98.3,,,,0.0,,,1.9583379256060685e-05,0,,2.0238877932454713e-05,,nan,0.0,nan
-98.2,,,,0.0,,,1.9601081206743753e-05,0,,2.0279373043718962e-05,,nan,0.0,nan
-98.1,,,,0.0,,,1.9617671123350888e-05,0,,2.0319660174294985e-05,,nan,0.0,nan
-98.0,,,,0.0,,,1.9633082172454408e-05,0,,2.0359773394873493e-05,,nan,0.0,nan
-97.9,,,,0.0,,,1.9647247333332007e-05,0,,2.0399668928028358e-05,,nan,0.0,nan
-97.8,,,,0.0,,,1.9660073037441883e-05,0,,2.0439324271259718e-05,,nan,0.0,nan
-97.7,,,,0.0,,,1.9671462455461697e-05,0,,2.0478727103423466e-05,,nan,0.0,nan
-97.6,,,,0.0,,,1.968131532675832e-05,0,,2.0517900721883642e-05,,nan,0.0,nan
-97.5,,,,0.0,,,1.968952806968849e-05,0,,2.0556820772177353e-05,,nan,0.0,nan
-97.4,,,,0.0,,,1.9695993492996333e-05,0,,2.05954493092686e-05,,nan,0.0,nan
-97.3,,,,0.0,,,1.9700585563553474e-05,0,,2.0633766598054937e-05,,nan,0.0,nan
