t,tau,S,m1,m2,L1,L2,L,Sdot_labels,Sdot_data,Ldot_labels,strong_mass,strong_theta_mean_deg,strong_theta_std_deg,strong_theta_q05_deg,strong_theta_q25_deg,strong_theta_q50_deg,strong_theta_q75_deg,strong_theta_q95_deg,strong_psi_mean_deg,strong_inactive_frac@-85.0,weak_mass,weak_theta_mean_deg,weak_theta_std_deg,weak_theta_q05_deg,weak_theta_q25_deg,weak_theta_q50_deg,weak_theta_q75_deg,weak_theta_q95_deg,weak_psi_mean_deg,weak_inactive_frac@-85.0,strip0.01@-85.0,strip0.03@-85.0,strip0.1@-85.0,E@-85.0,D1@-85.0,D2@-85.0,D1_strong_radial@-85.0,D1_strong_inrot@-85.0,D1_strong_outrot@-85.0,D1_strong@-85.0,D1_weak_radial@-85.0,D1_weak_inrot@-85.0,D1_weak_outrot@-85.0,D1_weak@-85.0,D1_other_radial@-85.0,D1_other_inrot@-85.0,D1_other_outrot@-85.0,D1_other@-85.0,D2_strong_radial@-85.0,D2_strong_inrot@-85.0,D2_strong_outrot@-85.0,D2_strong@-85.0,D2_weak_radial@-85.0,D2_weak_inrot@-85.0,D2_weak_outrot@-85.0,D2_weak@-85.0,D2_other_radial@-85.0,D2_other_inrot@-85.0,D2_other_outrot@-85.0,D2_other@-85.0
0.0,0.0,0.00019999999999999977,5.000000000000004e-05,4.999999999999952e-05,0.5024497512562488,0.22469975056180433,0.3635747509090266,0.0006544672749999929,0.0006544672749999984,-0.0002718854667694222,4.999999999999994e-05,-6.5052130349130345e-15,25.98076133924611,-40.51098632812532,-22.51098632812702,-0.010986328126784677,22.4890136718741,40.489013671874815,-6.5052130349130345e-15,0.44433593749999994,4.999999999999994e-05,0.0,25.980761339246104,-40.5109863281253,-22.510986328126993,-0.010986328126783362,22.489013671874105,40.48901367187481,0.0,1.0,0.0064697265625,0.019165039062500003,0.0638427734375,0.49995000125000005,-1.4895001830732931e-05,4.5703418422583834e-08,-3.8619416082638413e-05,1.538608259773643e-05,1.5386082597736432e-05,-7.847250887165551e-06,-0.0,-0.0,-0.0,0.0,-3.160284065653237e-05,1.2277544856482465e-05,1.2277544856482465e-05,-7.047750943567441e-06,-3.561888776111239e-10,2.2758230776205096e-08,2.2758230776205096e-08,4.5160272674799064e-08,-0.0,-0.0,-0.0,0.0,-1.4723028347883656e-12,2.723090249762905e-10,2.723090249762905e-10,5.431457471177926e-10
0.01,0.09,0.0002067961930406273,5.472699828869914e-05,5.205811036399303e-05,0.5024450098927138,0.22469882467870794,0.36357191728571087,0.0007054698331629589,0.0007054698331629631,-0.0002951742157790942,5.5240209683310584e-05,0.030130296495142886,25.73054747782258,-40.292361642234084,-22.024270171232498,-0.0819277136075626,22.14033387969722,40.35724934440639,0.030130080348515394,0.4424502151118718,5.200887655336065e-05,-0.03721162660099538,25.99307276281615,-40.59811813346805,-22.660353757997033,0.21496373064060711,22.386481433186976,40.413155364920215,-0.0372114053160075,1.0,0.006557479443486586,0.019543116764163038,0.06543420944371979,0.4999498490664254,-1.5645986005035242e-05,5.1729169789814075e-08,-4.209993480542732e-05,1.6745363785264448e-05,1.674538433025681e-05,-8.609186689906061e-06,-0.0,-0.0,-0.0,0.0,-3.179109920880229e-05,1.2377137936041212e-05,1.2377161957631842e-05,-7.03679931512923e-06,-4.043018737454869e-10,2.5794970986696852e-08,2.5795779443663695e-08,5.118644855661506e-08,-0.0,-0.0,-0.0,0.0,-1.471556241506489e-12,2.721041104001781e-10,2.7208867961250445e-10,5.427212337711761e-10
0.02,0.18,0.000214123985884175,5.990086302358278e-05,5.420094271823194e-05,0.5024398204832793,0.22469786035667014,0.3635688404199747,0.0007608502725567199,0.0007608502725567267,-0.0003205649398897453,6.0954481399759736e-05,0.0746353961207712,25.458891834454143,-40.03339005760375,-21.50131345471517,-0.13172277211413147,21.784766589670756,40.20092547116647,0.07463450429826396,0.4404681635943747,5.409674477354387e-05,-0.08267938170848227,26.0069701321655,-40.70041922807076,-22.816124894773665,0.4327799211701515,22.274184466051732,40.33328734218517,-0.08267847944219046,1.0,0.006718685392238143,0.020155736981623377,0.06725334201315981,0.4999496892237687,-1.6440110179104913e-05,5.856076643628536e-08,-4.5760061241959206e-05,1.8168495408104262e-05,1.816854043253298e-05,-9.423025401321964e-06,-0.0,-0.0,-0.0,0.0,-3.193208507455694e-05,1.2457475870744988e-05,1.2457524426028993e-05,-7.017084777782958e-06,-4.5893847435306566e-10,2.92377529919147e-08,2.9239657972413542e-08,5.8018472489975184e-08,-0.0,-0.0,-0.0,0.0,-1.4708136230981544e-12,2.718982877046711e-10,2.71866473091263e-10,5.422939471728359e-10
0.03,0.27,0.0002220291057324658,6.556383440815022e-05,5.643198456011123e-05,0.5024341406868501,0.22469685598100783,0.363565498333929,0.00082100410338243,0.0008210041033824327,-0.0003482521655158639,6.722748817683653e-05,0.1418537315770364,25.185361044532065,-39.75302100258123,-20.95168151722001,-0.1538433624723237,21.447868474067615,40.060263731060616,0.14185166217435774,0.4387692487268619,5.6237952455663144e-05,-0.11321583150606725,26.009238659286055,-40.77539172899755,-22.94280969880067,0.6643336497383437,22.163744039160324,40.25188403736039,-0.11321376035854137,1.0,0.00696452770973513,0.020766088870784013,0.06931452610918895,0.49994952128534637,-1.7280181389017403e-05,6.630629603062919e-08,-4.963855205916265e-05,1.9670476848352945e-05,1.9670550653970023e-05,-1.0297524556839681e-05,-0.0,-0.0,-0.0,0.0,-3.198865058437435e-05,1.250296014464902e-05,1.2503033607547565e-05,-6.982656832177764e-06,-5.20984120035078e-10,3.314102485617954e-08,3.314439138025519e-08,6.576443211639965e-08,-0.0,-0.0,-0.0,0.0,-1.4700751809497918e-12,2.7169159914488763e-10,2.7164239084078877e-10,5.418639148047266e-10
0.04,0.36,0.00023056141521428868,7.176214453072981e-05,5.875486688915314e-05,0.5024279241621953,0.2246958098673717,0.3635618670147835,0.0008863634462134846,0.0008863634462134946,-0.0003784486186284236,7.408012020504006e-05,0.21022278670311306,24.898585390223296,-39.45356513315511,-20.38848145317121,-0.16954657547319593,21.099369258283826,39.89434353801445,0.21021899160928811,0.4373243019542812,5.846249980236052e-05,-0.15179544543014728,26.013163340819403,-40.865389192904324,-23.07560904868009,0.8854497185000548,22.044061260959626,40.16666218860988,-0.1517916877219906,1.0,0.007102048695407395,0.02141123685029185,0.07163230701197033,0.4999493447865333,-1.816921470304044e-05,7.508837819239801e-08,-5.374154217855097e-05,2.1252584955172136e-05,2.125269223687088e-05,-1.1236264986507953e-05,-0.0,-0.0,-0.0,0.0,-3.195628513072677e-05,1.2511618411232141e-05,1.2511717002962102e-05,-6.932949716532525e-06,-5.914438266886593e-10,3.7566557687889964e-08,3.757183316505419e-08,7.454694702625549e-08,-0.0,-0.0,-0.0,0.0,-1.4693411287419336e-12,2.714840902653598e-10,2.7141641803122743e-10,5.414311671678454e-10
0.05,0.45,0.00023977529535295456,7.854639443062044e-05,6.117337010211725e-05,0.5024211201903139,0.22469472025855597,0.36355792022443495,0.0009574004559170188,0.0009574004559170258,-0.0004113869336385327,8.159710282095058e-05,0.2978405648183782,24.611268540513503,-39.132583785344565,-19.805507210722382,-0.16325756952300854,20.768074967083933,39.743823251821404,0.2978344484592265,0.4356553307928502,6.074099539264201e-05,-0.17409603932529066,26.004912570270864,-40.92714568975089,-23.17648218871349,1.1188501253514953,21.92709322516348,40.08027576209814,-0.17409004186381077,1.0,0.007358326412536382,0.022131708536945474,0.07406085002188414,0.49994915923275357,-1.9110448950250082e-05,8.504543005967326e-08,-5.807490665902225e-05,2.2915877530093658e-05,2.2916023253372967e-05,-1.2243005875555623e-05,-0.0,-0.0,-0.0,0.0,-3.18307828113425e-05,1.2481607980956256e-05,1.2481731755691788e-05,-6.867443074694457e-06,-6.714580978153514e-10,4.258404190318891e-08,4.259183138703554e-08,8.45044151924091e-08,-0.0,-0.0,-0.0,0.0,-1.4686115806365703e-12,2.712850802945327e-10,2.7119839891817164e-10,5.410148676320678e-10
0.06,0.54,0.00024973006435473637,8.597196674288971e-05,6.369143012934831e-05,0.5024136732612077,0.22469358532114472,0.3635536292911762,0.001034631066696746,0.0010346310666967558,-0.0004473215225667599,8.978937501487623e-05,0.39252070365887054,24.307147760376772,-38.77272394990938,-19.20402999780385,-0.1470802463074829,20.429735568687583,39.56926676743585,0.3925116177537557,0.4342974320935381,6.31072350972817e-05,-0.20422693689953544,25.998358633455297,-41.003733678734484,-23.283098376393827,1.3397000022262322,21.801358658157145,39.99023841064292,-0.20421811229152986,1.0,0.0076584666828733074,0.022960136787369887,0.07680536928577877,0.49994896409731304,-2.0107367425519798e-05,9.633472069205567e-08,-6.260325463731958e-05,2.464406634890224e-05,2.4644255763609286e-05,-1.331493252480806e-05,-0.0,-0.0,-0.0,0.0,-3.164928125471496e-05,1.2428348694221213e-05,1.2428497659781925e-05,-6.792434900711822e-06,-7.623208663133895e-10,4.8272714531125544e-08,4.828373012867107e-08,9.579412379348322e-08,-0.0,-0.0,-0.0,0.0,-1.4678866443721899e-12,2.7108606377075004e-10,2.7097872190301106e-10,5.405968990293889e-10
0.07,0.6300000000000001,0.0002604904355773903,9.409947727165337e-05,6.631314482178183e-05,0.5024055226217186,0.22469240314198272,0.3635489628818506,0.0011186190882974808,0.0011186190882974858,-0.000486530619437989,9.873543694931521e-05,0.5012607088937557,23.99330803285335,-38.37305739294869,-18.584966765829606,-0.1160044211161894,20.097629321610352,39.39079460664853,0.50124795113764,0.43310875031029367,6.554666300194554e-05,-0.2296880079972654,25.98642825501705,-41.073256916693616,-23.375663173654946,1.5591477386310681,21.673024457137018,39.89795800264387,-0.22967572723555288,1.0,0.007932634049778356,0.023796303885078342,0.07969194518677565,0.49994875881906026,-2.116371583523446e-05,1.0913374718691956e-07,-6.732784095658214e-05,2.6436035924078293e-05,2.6436274465161226e-05,-1.4455530567342613e-05,-0.0,-0.0,-0.0,0.0,-3.1412385971243265e-05,1.2352013322144143e-05,1.235218738120721e-05,-6.708185267891908e-06,-8.654997138311602e-10,5.472196132314242e-08,5.4737109108763174e-08,1.0859357071807443e-07,-0.0,-0.0,-0.0,0.0,-1.467166560452378e-12,2.7088645256154554e-10,2.707571837969532e-10,5.401764697980463e-10
0.08,0.72,0.0002721270183520737,0.00010299526915447987,6.904278060066427e-05,0.502396601780777,0.22469117172446168,0.3635438867526194,0.0012099806861958972,0.0012099806861959048,-0.0005293185162128521,0.00010852036300641572,0.6148000612388982,23.675709266779762,-37.95232282125635,-17.962597203839742,-0.07858514172208389,19.76762110265483,39.20742340674353,0.6147828682865216,0.4317694005799928,6.806045621747605e-05,-0.25008312690875834,25.968961748201085,-41.13538313132829,-23.453264586448434,1.7764992198444034,21.54238866096059,39.803555364173434,-0.2500667164053813,1.0,0.008184585603712793,0.024780840617590134,0.08285951215758562,0.4999485427998622,-2.228352780261076e-05,1.2364453859617595e-07,-7.229348483317032e-05,2.8308721537186713e-05,2.830901489841807e-05,-1.5675748397565537e-05,-0.0,-0.0,-0.0,0.0,-3.107729083587801e-05,1.2234656338022624e-05,1.2234855092810104e-05,-6.607779405045285e-06,-9.826586456028336e-10,6.203349609640174e-08,6.205394752168129e-08,1.231047849724802e-07,-0.0,-0.0,-0.0,0.0,-1.4664515849018364e-12,2.706863083555639e-10,2.705337696816668e-10,5.397536264523288e-10
0.09,0.8099999999999999,0.00028471686567518634,0.0001127319536244588,7.188477937711939e-05,0.5023868379680672,0.2246898889846089,0.36353836347633806,0.0013093892816380755,0.0013093892816380855,-0.0005760180080589933,0.00011918681971144955,0.7452313791713813,23.345486830380487,-37.47290082999382,-17.32274387495584,-0.026233186774151065,19.44572675908423,39.02070908235354,0.7452089288240007,0.4306261243538603,7.063532935111422e-05,-0.27424811434476265,25.940374439492643,-41.190558437420734,-23.519953932421622,1.982906746321266,21.39707990071476,39.687301344018934,-0.2742268557184123,1.0,0.008545228724160485,0.02572974284314284,0.08622567772464516,0.4999483154018765,-2.3471145059172708e-05,1.4009492213047465e-07,-7.741529689432372e-05,3.0224767390035418e-05,3.0225121025055977e-05,-1.6965408479232336e-05,-0.0,-0.0,-0.0,0.0,-3.073109332750787e-05,1.2112566720706986e-05,1.211279002686057e-05,-6.505736579940323e-06,-1.1156837608759955e-09,7.032204142296454e-08,7.034922353463088e-08,1.3955558119671946e-07,-0.0,-0.0,-0.0,0.0,-1.4657419411495191e-12,2.70491354138803e-10,2.7031532394392544e-10,5.393409361415789e-10
