psi_deg,D1<0<D2_on_window,D1_at_cross,D2_at_cross,S,dD1,dD2,final_excess,n_sign_changes,opposite_signs_at_cross,rise,strong_share_of_swing,t_cross,t_min,t_rev
-100.0,,,,0.0,,,1.916410067653862e-05,0,,1.9528545016189724e-05,,nan,0.0,nan
-99.9,,,,0.0,,,1.919322724303063e-05,0,,1.9571164032394783e-05,,nan,0.0,nan
-99.8,,,,0.0,,,1.9221940736946497e-05,0,,1.9613711124022437e-05,,nan,0.0,nan
-99.7,,,,0.0,,,1.925021940674121e-05,0,,1.965616632282341e-05,,nan,0.0,nan
-99.6,,,,0.0,,,1.9278035742920085e-05,0,,1.9698533765100112e-05,,nan,0.0,nan
-99.5,,,,0.0,,,1.930536469069155e-05,0,,1.9740830741243887e-05,,nan,0.0,nan
-99.4,,,,0.0,,,1.9332187129350586e-05,0,,1.97830196958515e-05,,nan,0.0,nan
-99.3,,,,0.0,,,1.9358459291241026e-05,0,,1.9825094355274686e-05,,nan,0.0,nan
-99.2,,,,0.0,,,1.9384164150204608e-05,0,,1.9867076185731136e-05,,nan,0.0,nan
-99.1,,,,0.0,,,1.9409264478797983e-05,0,,1.9908947958835466e-05,,nan,0.0,nan
-99.0,,,,0.0,,,1.943371872237254e-05,0,,1.995068670246347e-05,,nan,0.0,nan
-98.9,,,,0.0,,,1.9457495314734174e-05,0,,1.999228534133035e-05,,nan,0.0,nan
-98.8,,,,0.0,,,1.9480552666761852e-05,0,,2.0033776021999294e-05,,nan,0.0,nan
-98.7,,,,0.0,,,1.9502842039720303e-05,0,,2.0075119920748286e-05,,nan,0.0,nan
-98.6,,,,0.0,,,1.9524323917996522e-05,0,,2.0116300431027856e-05,,nan,0.0,nan
-98.5,,,,0.0,,,1.954494495209902e-05,0,,2.015731047644298e-05,,nan,0.0,nan
-98.4,,,,0.0,,,1.9564653259362963e-05,0,,2.0198186228781445e-05,,nan,0.0,nan
-98.3,,,,0.0,,,1.9583383621901707e-05,0,,2.0238878615297384e-05,,nan,0.0,nan
-98.2,,,,0.0,,,1.9601080012920935e-05,0,,2.0279373687648317e-05,,nan,0.0,nan
-98.1,,,,0.0,,,1.961767415692428e-05,0,,2.031966082888248e-05,,nan,0.0,nan
-98.0,,,,0.0,,,1.9633086433934466e-05,0,,2.035977403941347e-05,,nan,0.0,nan
-97.9,,,,0.0,,,1.964725060898953e-05,0,,2.039966955202921e-05,,nan,0.0,nan
-97.8,,,,0.0,,,1.966006802678333e-05,0,,2.0439324760479494e-05,,nan,0.0,nan
-97.7,,,,0.0,,,1.9671456056580272e-05,0,,2.0478726525829938e-05,,nan,0.0,nan
-97.6,,,,0.0,,,1.9681314768649205e-05,0,,2.051790134477427e-05,,nan,0.0,nan
-97.5,,,,0.0,,,1.968953234149362e-05,0,,2.0556821398509673e-05,,nan,0.0,nan
-97.4,,,,0.0,,,1.969599779977349e-05,0,,2.0595448222693324e-05,,nan,0.0,nan
-97.3,,,,0.0,,,1.970058055911217e-05,0,,2.0633767179423224e-05,,nan,0.0,nan
-97.2,,,,0.0,,,1.9703149806760134e-05,0,,2.067179125359031e-05,,nan,0.0,nan
-97.1,,,,0.0,,,1.9703555076744372e-05,0,,2.0709515709149695e-05,,nan,0.0,nan
-97.0,,,,0.0,,,1.970163787606838e-05,0,,2.0746882474442785e-05,,nan,0.0,nan
-96.9,,,,0.0,,,1.9697225400794327e-05,0,,2.0783872291429972e-05,,nan,0.0,nan
-96.8,,,,0.0,,,1.9690134043126584e-05,0,,2.0820483867756145e-05,,nan,0.0,nan
-96.7,True,-1.0562363716809373e-07,1.0562363716809374e-07,1.0782938431042055e-09,2.5927448611935434e-08,-1.3248327580742076e-08,1.9680156468138144e-05,4,True,2.0856738981445133e-05,2.0448932183980535,4.094521621933182,0.0,4.1
-96.6,True,-1.2888045572985368e-07,1.2888045572985368e-07,1.250289605181365e-08,4.4562545605625425e-08,3.6363709128214263e-10,1.9667081098351247e-05,4,True,2.0892554752682813e-05,0.9919058983102258,3.8385128133152926,0.0,3.84
-96.5,True,-1.5145994877239762e-07,1.5145994877239762e-07,3.3316219782975054e-08,6.50695431535347e-08,2.0645634665538835e-08,1.9650663331316487e-05,2,True,2.092790619623308e-05,0.7591367691131976,3.7055589491588705,0.0,3.71
-96.4,True,-1.7568880655875602e-07,1.7568880655875607e-07,6.419778419974875e-08,8.755072627494369e-08,4.989866112098876e-08,1.9630648521562488e-05,2,True,2.096278018104414e-05,0.636967016977295,3.6165762657071645,0.0,3.62
-96.3,True,-2.0278699606073058e-07,2.027869960607306e-07,1.0693000263017893e-07,1.1277457407198826e-07,8.885301542973905e-08,1.9606767162505534e-05,2,True,2.0997218449725352e-05,0.559321144247584,3.549841755178228,0.0,3.5500000000000003
-96.2,True,-2.342626644985466e-07,2.3426266449854664e-07,1.6404062946895337e-07,1.4190644711110196e-07,1.420347441882147e-07,1.9578712007306542e-05,2,True,2.1031112640845784e-05,0.49977407808193375,3.4952860707923437,0.0,3.5
-96.1,True,-2.7068340238768814e-07,2.7068340238768814e-07,2.388233636962944e-07,1.7505203008114528e-07,2.140214874104441e-07,1.9546158988748008e-05,2,True,2.1064429835904175e-05,0.4499201878599444,3.4507363776787288,0.0,3.45
-96.0,True,-3.1322922777031665e-07,3.132292277703166e-07,3.3547470679184954e-07,2.135230802390283e-07,3.0598892018228435e-07,1.950876648237898e-05,2,True,2.109715489684305e-05,0.4110070221012524,3.4138343711520474,0.0,3.42
-95.9,True,-3.6403365640007085e-07,3.6403365640007075e-07,4.5930641012770224e-07,2.589833437869665e-07,4.281956585312407e-07,1.9466148378000092e-05,2,True,2.1129329373537065e-05,0.3768790124745996,3.381803189324753,0.0,3.38
-95.8,False,-4.249337803621327e-07,4.2493378036213256e-07,6.169733084426809e-07,3.130171573334237e-07,5.878281192646243e-07,1.9417897068885193e-05,2,True,2.1160821695787035e-05,0.34747049850280803,3.354211558292547,0.0,3.36
-95.7,False,-4.989930024908025e-07,4.989930024908029e-07,8.169066089136479e-07,3.784543451844481e-07,7.963336880552682e-07,1.936358034548835e-05,2,True,2.1191589993585502e-05,0.32214691882822766,3.3297580615649633,0.0,3.33
-95.6,False,-5.893251346070625e-07,5.893251346070626e-07,1.069654811891585e-06,4.581447189145796e-07,1.065424473240928e-06,1.930271610095513e-05,2,True,2.1221637431456664e-05,0.3007048982569724,3.3084468921294183,0.0,3.31
-95.5,False,-6.999932864461772e-07,6.999932864461772e-07,1.3885632044741136e-06,5.554894172194322e-07,1.4161285618537203e-06,1.9234795581968278e-05,2,True,2.1250959437224548e-05,0.2817429254122368,3.2900027561155745,0.0,3.29
-95.4,False,-8.377450701248187e-07,8.377450701248198e-07,1.7904603401563968e-06,6.769586882134584e-07,1.869464860863119e-06,1.91592691748399e-05,2,True,2.1279417367403575e-05,0.2658468535051631,3.273345363877137,0.0,3.2800000000000002
-95.3,False,-1.0096456324977383e-06,1.009645632497737e-06,2.2968907093523505e-06,8.28607040939321e-07,2.4625259806391206e-06,1.9075543952584706e-05,2,True,2.130695371588276e-05,0.25176953818229975,3.2585064772323804,0.0,3.2600000000000002
-95.2,False,-1.2251794472903868e-06,1.2251794472903885e-06,2.934190531933556e-06,1.0193043316218315e-06,3.232932924172363e-06,1.8982984708038053e-05,1,True,2.1333629854403124e-05,0.23971012676512918,3.2454154860759914,0.0,3.25
-95.1,False,-1.4974848997120136e-06,1.4974848997120142e-06,3.734356286366758e-06,1.2613045033602988e-06,4.234903087712739e-06,1.8880902000084632e-05,1,True,2.135931224062082e-05,0.2294863289750763,3.233634150124077,0.0,3.24
-95.0,False,-1.8445695754177346e-06,1.844569575417732e-06,4.740640915490424e-06,1.5703209351749304e-06,5.5510187296223926e-06,1.876855427962454e-05,1,True,2.138388353578602e-05,0.22050920319633743,3.222702050245362,0.0,3.22
-94.9,False,-2.2871812460756636e-06,2.2871812460756674e-06,6.008391941592084e-06,1.9661655641488033e-06,7.2702890596728956e-06,1.8645164630237687e-05,1,True,2.140731987876343e-05,0.21287015897613726,3.2129087921441357,0.0,3.21
-94.8,False,-2.8545672173080715e-06,2.8545672173080715e-06,7.608823748006532e-06,2.4758891668724615e-06,9.520656408556833e-06,1.8509873445038405e-05,1,True,2.1429638745573687e-05,0.20638350859462826,3.204029210596451,0.0,3.21
-94.7,False,-3.58536768214882e-06,3.5853676821488257e-06,9.633336749081955e-06,3.1352463571467387e-06,1.247209444193791e-05,1.8361767074148716e-05,1,True,2.1450604743289414e-05,0.20088280236250222,3.1958712789780046,0.0,3.2
-94.6,False,-4.530934035736715e-06,4.530934035736708e-06,1.2198724314016474e-05,3.990972326766979e-06,1.636147733262742e-05,1.819988356949187e-05,1,True,2.1470116204236334e-05,0.19609297129128647,3.188249470311794,0.0,3.19
-94.5,False,-5.755194189655087e-06,5.755194189655078e-06,1.5454260521463592e-05,5.104948074616156e-06,2.1451282022697434e-05,1.802316773108492e-05,1,True,2.1488317510254262e-05,0.1922316554687696,3.181308278884427,0.0,3.18
-94.4,False,-7.344947487354523e-06,7.344947487354523e-06,1.9590806374480962e-05,6.557097404008233e-06,2.812927220722785e-05,1.9632644095157747e-05,1,True,2.1504855310661153e-05,0.18903959905576767,3.174892886975717,3.17,3.18
-94.3,False,-9.409642109081139e-06,9.409642109081144e-06,2.4850282239252675e-05,8.454877672634572e-06,3.6875856339317255e-05,2.4905424584609204e-05,1,True,2.4905424584609204e-05,0.18651534895520053,3.1689907308617933,3.17,3.17
-94.2,False,-1.208805068366744e-05,1.2088050683667424e-05,3.153219287554965e-05,1.0933112429597614e-05,4.821822339573323e-05,3.160479922675874e-05,1,True,3.160479922675874e-05,0.18483289138020856,3.163677873631974,3.16,3.17
-94.1,False,-1.555624473471242e-05,1.555624473471245e-05,4.001522959451442e-05,1.4169664341009941e-05,6.290070074648085e-05,4.010871353432588e-05,1,True,4.010871353432588e-05,0.18385360345606827,3.1588656016598207,3.16,3.16
-94.0,False,-2.0024256458881018e-05,2.002425645888098e-05,5.074665527748934e-05,1.8380742126948345e-05,8.167092334493379e-05,5.086716228519528e-05,1,True,5.086716228519528e-05,0.18371250533669473,3.154686266286098,3.15,3.16
-93.9,False,-2.574918450087778e-05,2.5749184500877812e-05,6.426927270491989e-05,2.3842803450813824e-05,0.0001054349148855602,6.44261462011686e-05,1,True,6.44261462011686e-05,0.1844308807243648,3.1510315572501657,3.15,3.15
-93.8,False,-3.300459627816227e-05,3.3004596278162186e-05,8.119674133538757e-05,3.087480122543976e-05,0.00013492491393921505,8.139570931364748e-05,1,True,8.139570931364748e-05,0.18621745637366238,3.148139989424562,3.15,3.15
-93.7,False,-4.209421583443566e-05,4.209421583443564e-05,0.00010220538282046387,3.984689804962697e-05,0.00017087775275658433,0.00010245573902167848,1,True,0.00010245573902167848,0.18909462133251495,3.1460032676128695,3.15,3.15
-93.6,False,-5.332059535975731e-05,5.332059535975724e-05,0.00012800674606566753,5.116060077585307e-05,0.0002137535104775877,0.00012832088047937118,1,True,0.00012832088047937118,0.19312146315568754,3.14463037737498,3.14,3.15
-93.5,False,-6.692948011640988e-05,6.69294801164098e-05,0.00015930025955152027,6.522253432161201e-05,0.00026324819343422756,0.00015969038701385552,1,True,0.00015969038701385552,0.19856422143678368,3.144177970571642,3.14,3.15
-93.4,False,-8.311415049451243e-05,8.311415049451243e-05,0.0001967182440332227,8.23850563353317e-05,0.0003189033249617005,0.00019718765555887252,1,True,0.00019718765555887252,0.20530137470975163,3.144638583710443,3.14,3.15
-93.3,False,-0.00010194144527334542,0.00010194144527334545,0.00024076942173162363,0.00010291755239273244,0.0003792443944472094,0.0002413268151195136,1,True,0.0002413268151195136,0.21345017595695265,3.1460862417767474,3.15,3.15
-93.2,False,-0.0001233456542281145,0.0001233456542281147,0.00029179181296967727,0.00012695379349248408,0.00044237630450308753,0.00029244806124928413,1,True,0.00029244806124928413,0.222988023888861,3.148548447632776,3.15,3.15
-93.1,False,-0.00014714139213536971,0.00014714139213536971,0.00034992424570845504,0.00015440781967274858,0.0005060815608216587,0.00035068465309112673,1,True,0.00035068465309112673,0.23377789898327675,3.1519977004224744,3.15,3.15
-93.0,False,-0.0001729729292646566,0.0001729729292646564,0.0004151421087421614,0.00018502162092725612,0.0005679007041518176,0.0004159914676800103,1,True,0.0004159914676800103,0.24573799283720893,3.156466700053519,3.16,3.16
-92.9,False,-0.00020043376388933793,0.000200433763889338,0.0004872092004445938,0.0002183641008017125,0.000625985546245186,0.00048816469969537035,1,True,0.00048816469969537035,0.2586180992263548,3.1618414565608384,3.16,3.16
-92.8,False,-0.00022900361169581165,0.00022900361169581206,0.0005657769621078002,0.0002537917981793468,0.0006784159627321151,0.0005668162186032721,1,True,0.0005668162186032721,0.2722481069361652,3.1681252637687654,3.17,3.17
-92.7,False,-0.00025821128999032743,0.0002582112899903273,0.0006503702308732762,0.0002906177018311428,0.0007242747986906546,0.000651487740324419,1,True,0.000651487740324419,0.28635318684661126,3.175192015219554,3.18,3.18
-92.6,False,-0.0002877020224191583,0.00028770202241915863,0.0007405745357377258,0.00032827608142295455,0.0007632798487792571,0.0007417874074799324,1,True,0.0007417874074799324,0.3007414208836199,3.182812264710519,3.18,3.18
