t,tau,S,m1,m2,L1,L2,L,Sdot_labels,Sdot_data,Ldot_labels,strong_mass,strong_theta_mean_deg,strong_theta_std_deg,strong_theta_q05_deg,strong_theta_q25_deg,strong_theta_q50_deg,strong_theta_q75_deg,strong_theta_q95_deg,strong_psi_mean_deg,strong_inactive_frac@-85.0,weak_mass,weak_theta_mean_deg,weak_theta_std_deg,weak_theta_q05_deg,weak_theta_q25_deg,weak_theta_q50_deg,weak_theta_q75_deg,weak_theta_q95_deg,weak_psi_mean_deg,weak_inactive_frac@-85.0,strip0.01@-85.0,strip0.03@-85.0,strip0.1@-85.0,E@-85.0,D1@-85.0,D2@-85.0,D1_strong_radial@-85.0,D1_strong_inrot@-85.0,D1_strong_outrot@-85.0,D1_strong@-85.0,D1_weak_radial@-85.0,D1_weak_inrot@-85.0,D1_weak_outrot@-85.0,D1_weak@-85.0,D1_other_radial@-85.0,D1_other_inrot@-85.0,D1_other_outrot@-85.0,D1_other@-85.0,D2_strong_radial@-85.0,D2_strong_inrot@-85.0,D2_strong_outrot@-85.0,D2_strong@-85.0,D2_weak_radial@-85.0,D2_weak_inrot@-85.0,D2_weak_outrot@-85.0,D2_weak@-85.0,D2_other_radial@-85.0,D2_other_inrot@-85.0,D2_other_outrot@-85.0,D2_other@-85.0
0.0,0.0,0.00019999999999999977,5.000000000000008e-05,4.9999999999999664e-05,0.5024497512562489,0.22469975056180438,0.36357475090902663,0.0006544672749999892,0.0006544672749999993,-0.00027188546678148275,4.999999999999994e-05,-6.5052130349130345e-15,25.980761919961406,-40.50549316406295,-22.50549316406387,-0.0054931640634043495,22.49450683593705,40.49450683593741,-6.5052130349130345e-15,0.44445800781249994,4.999999999999994e-05,0.0,25.980761919961402,-40.50549316406292,-22.505493164063846,-0.005493164063403038,22.494506835937045,40.49450683593741,0.0,1.0,0.006347656250000001,0.019104003906250007,0.06378173828125001,0.49995000125000005,-1.489500208632949e-05,4.570354382193713e-08,-3.861941596171821e-05,1.5386082420001513e-05,1.5386082420001513e-05,-7.847251121715187e-06,-0.0,-0.0,-0.0,0.0,-3.1602840777594566e-05,1.2277544906490113e-05,1.2277544906490113e-05,-7.047750964614341e-06,-3.5618887843884266e-10,2.275829050998691e-08,2.2758290509986918e-08,4.516039214153499e-08,-0.0,-0.0,-0.0,0.0,-1.4723028099561634e-12,2.7231199120837303e-10,2.723119912083731e-10,5.431516796067899e-10
0.01,0.09,0.0002067961930406763,5.4726998289524726e-05,5.20581103639932e-05,0.5024450098927132,0.22469882467870794,0.3635719172857106,0.0007054698331707902,0.0007054698331707915,-0.00029517421579522337,5.5227315999459284e-05,0.030027274226282485,25.724362938344857,-40.277162525037305,-22.013854635334827,-0.07673151860030307,22.140375556868616,40.35289949854783,0.030027058079458956,0.4424355580735921,5.201539083080836e-05,-0.04284223168422511,25.99631438903786,-40.60312255047286,-22.663296911969876,0.21482585099369875,22.38910479729946,40.4180609156398,-0.04284201042728391,1.0,0.006525181247362681,0.01960770477003447,0.0654369939512319,0.49994984906642603,-1.5645985897542052e-05,5.172911816552335e-08,-4.208300629865191e-05,1.6738296833848325e-05,1.6738317370157604e-05,-8.60639209464598e-06,-0.0,-0.0,-0.0,0.0,-3.180802771536559e-05,1.2384204941098385e-05,1.2384228971371164e-05,-7.039593802896037e-06,-4.0430187340173617e-10,2.5794946331401048e-08,2.579575478841437e-08,5.118639924641369e-08,-0.0,-0.0,-0.0,0.0,-1.4715562080187673e-12,2.72102953513191e-10,2.720875227166448e-10,5.42718920021817e-10
0.02,0.18,0.0002141239858843894,5.99008630253679e-05,5.420094271827326e-05,0.5024398204832778,0.22469786035667014,0.363568840419974,0.0007608502725735971,0.0007608502725736113,-0.0003205649399105935,6.0954481355033496e-05,0.07463541267434842,25.458892356553942,-40.02795991791011,-21.496159947738878,-0.12660419726353342,21.790067489548985,40.206379556531516,0.07463452085229409,0.4405880523750793,5.409674477801631e-05,-0.08267942290572247,26.00697071897786,-40.69487824232941,-22.810432755962104,0.43826750569724554,22.279525332703177,40.338749187231606,-0.08267852063923233,1.0,0.006718685388961889,0.020127230791272523,0.06728748764748747,0.49994968922376987,-1.6440110171400454e-05,5.856076240612015e-08,-4.576006102999452e-05,1.8168495320667863e-05,1.8168540350637566e-05,-9.423025358689086e-06,-0.0,-0.0,-0.0,0.0,-3.193208528625245e-05,1.2457475959126417e-05,1.2457524514414603e-05,-7.017084812711431e-06,-4.5893847603765527e-10,2.9237753439243004e-08,2.9239655830858974e-08,5.8018470794064326e-08,-0.0,-0.0,-0.0,0.0,-1.470813619653139e-12,2.7189712092845105e-10,2.7186530629564844e-10,5.422916136044464e-10
0.03,0.27,0.00022202910573297776,6.556383441102561e-05,5.64319845601855e-05,0.5024341406868472,0.22469685598100783,0.36356549833392754,0.0008210041034097266,0.0008210041034097321,-0.0003482521655421684,6.722700867197926e-05,0.13226028078544597,25.185215680136704,-39.75820063746399,-20.95582980196934,-0.15775106331121955,21.443392220198977,40.0549999399763,0.13225821096210097,0.4387811430264807,5.624535920548773e-05,-0.11912668511007372,26.012626097862658,-40.78052057571712,-22.946160730639825,0.6639229360323111,22.16612714342,40.25671541306832,-0.11912461424767871,1.0,0.006901033730807109,0.020730051992221544,0.06935056714386574,0.4999495212853482,-1.728018182300772e-05,6.630650025737163e-08,-4.9656934590217364e-05,1.9678150669926605e-05,1.967822451393195e-05,-1.0300559406358809e-05,-0.0,-0.0,-0.0,0.0,-3.1970268052000105e-05,1.2495286100720983e-05,1.2495359534630195e-05,-6.979622416648927e-06,-5.209841198779171e-10,3.314113017033209e-08,3.314449232592709e-08,6.576463837638125e-08,-0.0,-0.0,-0.0,0.0,-1.4700752094532927e-12,2.7169050032386915e-10,2.7164145825971843e-10,5.418618833741343e-10
0.04,0.36,0.00023056141521524793,7.176214453489323e-05,5.875486688926738e-05,0.5024279241621912,0.22469580986737162,0.3635618670147814,0.0008863634462527493,0.0008863634462527628,-0.0003784486186610191,7.408731711455616e-05,0.20583134636845304,24.9013626060487,-39.4580658839989,-20.389919093721126,-0.16869628407333445,21.102322370693386,39.89928047343451,0.20582755092815005,0.4371637300893727,5.846249981492778e-05,-0.15179552877634642,26.01316393713458,-40.85978973508608,-23.06970726282172,0.8908655087212173,22.049255879073883,40.172099067093214,-0.15179177106778807,1.0,0.007154967964067176,0.021422657426970863,0.07155659964831641,0.49994934478653597,-1.8169215048807587e-05,7.508855261328511e-08,-5.376064008987116e-05,2.1260557470298852e-05,2.1260664778686126e-05,-1.1239417840886181e-05,-0.0,-0.0,-0.0,0.0,-3.193718721701718e-05,1.2503645729032608e-05,1.2503744280063191e-05,-6.9297972079213845e-06,-5.914438257075852e-10,3.7566637652013506e-08,3.7571919683197086e-08,7.454711350950301e-08,-0.0,-0.0,-0.0,0.0,-1.469341125344102e-12,2.714879452503841e-10,2.7142050157695194e-10,5.41439105701992e-10
0.05,0.45,0.00023977529535453018,7.854639443625922e-05,6.117337010230428e-05,0.5024211201903083,0.22469472025855589,0.36355792022443206,0.0009574004559699872,0.0009574004559700059,-0.00041138693367834804,8.158870225812235e-05,0.2932375541257018,24.608354626601475,-39.127782649031325,-19.80301585265729,-0.1626880869190987,20.766265369967368,39.739186896745544,0.2932314371855874,0.4357145512773625,6.0749395844525504e-05,-0.18029403434370905,26.008455457967397,-40.93240496335112,-23.180262022737153,1.118179649293904,21.929244365080223,40.085035501303246,-0.18028803777499824,1.0,0.007412713182447424,0.022157277968855624,0.07408632309548177,0.49994915923275696,-1.9110449259651533e-05,8.504557995697984e-08,-5.807490628014364e-05,2.2915877206128272e-05,2.2916022949158496e-05,-1.2243006124856865e-05,-0.0,-0.0,-0.0,0.0,-3.1830783186758046e-05,1.2481608138605625e-05,1.248173191335771e-05,-6.867443134794716e-06,-6.714580987737562e-10,4.258412203905163e-08,4.259190230055387e-08,8.450456624083173e-08,-0.0,-0.0,-0.0,0.0,-1.4686115376951801e-12,2.712846522752603e-10,2.7119767643583447e-10,5.410137171733996e-10
0.06,0.54,0.000249730064357119,8.597196675021839e-05,6.369143012956644e-05,0.5024136732612003,0.2246935853211446,0.36355362929117246,0.0010346310667653607,0.001034631066765371,-0.0004473215226148389,8.978937485252237e-05,0.39252074241850005,24.307148185794354,-38.76735283239707,-19.199511452689915,-0.14264099994875265,20.434664870420562,39.574665578527025,0.39251165651481296,0.4342974323023325,6.310723512238696e-05,-0.20422706357539908,25.998359242855727,-40.99806396967674,-23.27697515429705,1.344984935857761,21.80641279148271,39.9956560882627,-0.20421823896678193,1.0,0.007651494723157741,0.022918134973272074,0.0767393612611892,0.4999489640973171,-2.010736727141606e-05,9.633465455700742e-08,-6.260325419468433e-05,2.4644066239486708e-05,2.464425565418516e-05,-1.3314932301012468e-05,-0.0,-0.0,-0.0,0.0,-3.164928169215432e-05,1.2428348878095714e-05,1.2428497843655027e-05,-6.7924349704035815e-06,-7.623208670946556e-10,4.827268264317293e-08,4.828369824094295e-08,9.579406001702123e-08,-0.0,-0.0,-0.0,0.0,-1.4678866297496089e-12,2.7108488512283483e-10,2.709775431952197e-10,5.405945416883049e-10
0.07,0.6300000000000001,0.0002604904355807943,9.409947728085803e-05,6.631314482222873e-05,0.5024055226217093,0.22469240314198252,0.3635489628818459,0.0011186190883839165,0.001118619088383934,-0.00048653061949549347,9.87354367510707e-05,0.5012607513811275,23.993308437742154,-38.36769222243183,-18.580600177600257,-0.11171950547881447,20.10246861353849,39.39618383188942,0.5012479936267003,0.4329926959881097,6.554666303527912e-05,-0.22968815684664592,25.986428872268423,-41.06754800433048,-23.3694238436421,1.5643500800757406,21.678010146226477,39.903368010154836,-0.2296758760842135,1.0,0.007912111689631775,0.023775671308678407,0.07966791235335899,0.4999487588190652,-2.116371579961005e-05,1.0913373890220013e-07,-6.732784044579923e-05,2.643603574391491e-05,2.6436274249981576e-05,-1.4455530451902751e-05,-0.0,-0.0,-0.0,0.0,-3.141238647400126e-05,1.2352013533612576e-05,1.2352187592681346e-05,-6.7081853477073435e-06,-8.654997113300771e-10,5.4721950180227425e-08,5.4737114342743576e-08,1.0859356481164093e-07,-0.0,-0.0,-0.0,0.0,-1.4671665778671146e-12,2.7088526384548766e-10,2.707559950075091e-10,5.401740922751297e-10
0.08,0.72,0.0002721270183567398,0.00010299526916585489,6.904278060102145e-05,0.5023966017807657,0.22469117172446146,0.3635438867526136,0.0012099806863025986,0.0012099806863026105,-0.0005293185162810967,0.00010851213813010475,0.6182578838207969,23.673275154228747,-37.937635062828285,-17.95382384246445,-0.07174166819572259,19.774011562897858,39.21322535766907,0.6182406920389798,0.43180212662257306,6.805337177733e-05,-0.2547940050978654,25.966209305024258,-41.13004568551265,-23.449437234096944,1.7773106081108156,21.540783605822856,39.79898464723051,-0.25477759626061164,1.0,0.008230689528583487,0.024689816014956754,0.08286022340675861,0.49994854279986806,-2.2283527624629544e-05,1.2364447319408652e-07,-7.227166089123476e-05,2.829961098386859e-05,2.8299904247281004e-05,-1.5672145660085178e-05,-0.0,-0.0,-0.0,0.0,-3.1099114767595955e-05,1.2243766975251968e-05,1.2243965827799554e-05,-6.61138196454443e-06,-9.82658645770561e-10,6.203346102751863e-08,6.205391245253658e-08,1.2310471483428466e-07,-0.0,-0.0,-0.0,0.0,-1.4664516045831335e-12,2.706884170371766e-10,2.70536395997492e-10,5.397583614300855e-10
0.09,0.8099999999999999,0.00028471686568138407,0.00011273195363828233,7.188477937759147e-05,0.5023868379680532,0.2246898889846086,0.3635383634763309,0.0013093892817677539,0.0013093892817677678,-0.0005760180081394291,0.00011918681943290016,0.7452314273579611,23.345487197760445,-37.46754387063723,-17.31867461380091,-0.0222378995551205,19.45038957531938,39.026083215099824,0.7452089770128222,0.4307411970846001,7.064253451880917e-05,-0.2696309802007724,25.94308067482438,-41.18435939515844,-23.510966856289468,1.9920370373835736,21.40826159298768,39.702623863293766,-0.26960971945115964,1.0,0.00854532099166415,0.025729471073442933,0.08622567750260675,0.4999483154018833,-2.347114501633971e-05,1.4009492027016427e-07,-7.741529623563772e-05,3.0224767104487574e-05,3.0225120796682122e-05,-1.6965408334468032e-05,-0.0,-0.0,-0.0,0.0,-3.073109397284455e-05,1.2112566992412162e-05,1.2112790298560662e-05,-6.505736681871721e-06,-1.1156837625140374e-09,7.032205275598355e-08,7.034920812253174e-08,1.3955557711600128e-07,-0.0,-0.0,-0.0,0.0,-1.4657418953429363e-12,2.7049276537712537e-10,2.703161339833556e-10,5.393431574651379e-10
