psi_deg,D1<0<D2_on_window,D1_at_cross,D2_at_cross,S,dD1,dD2,final_excess,n_sign_changes,opposite_signs_at_cross,rise,strong_share_of_swing,t_cross,t_min,t_rev
-100.0,,,,0.0,,,1.9214363403408097e-05,0,,1.952852830577889e-05,,nan,0.0,nan
-99.9,,,,0.0,,,1.924630710575803e-05,0,,1.9571163189513463e-05,,nan,0.0,nan
-99.8,,,,0.0,,,1.9277858757160704e-05,0,,1.9613713939825583e-05,,nan,0.0,nan
-99.7,,,,0.0,,,1.9309253940891224e-05,0,,1.9656150030022967e-05,,nan,0.0,nan
-99.6,,,,0.0,,,1.9339867423695534e-05,0,,1.9698539491852518e-05,,nan,0.0,nan
-99.5,,,,0.0,,,1.9370404333529656e-05,0,,1.9740826182557125e-05,,nan,0.0,nan
-99.4,,,,0.0,,,1.9400135160330123e-05,0,,1.978300471705552e-05,,nan,0.0,nan
-99.3,,,,0.0,,,1.9429640510160162e-05,0,,1.982510886794353e-05,,nan,0.0,nan
-99.2,,,,0.0,,,1.9458382852943767e-05,0,,1.986706325934895e-05,,nan,0.0,nan
-99.1,,,,0.0,,,1.948679221241978e-05,0,,1.990894254022546e-05,,nan,0.0,nan
-99.0,,,,0.0,,,1.951434131758356e-05,0,,1.995069074939293e-05,,nan,0.0,nan
-98.9,,,,0.0,,,1.95415748055483e-05,0,,1.999227042809304e-05,,nan,0.0,nan
-98.8,,,,0.0,,,1.956770410188602e-05,0,,2.0033794560336826e-05,,nan,0.0,nan
-98.7,,,,0.0,,,1.9593365107373195e-05,0,,2.0075105898575973e-05,,nan,0.0,nan
-98.6,,,,0.0,,,1.9618130497223163e-05,0,,2.0116303112938105e-05,,nan,0.0,nan
-98.5,,,,0.0,,,1.964195778947353e-05,0,,2.015730188720255e-05,,nan,0.0,nan
-98.4,,,,0.0,,,1.9665024734105696e-05,0,,2.0198184230657557e-05,,nan,0.0,nan
-98.3,,,,0.0,,,1.9687023109449253e-05,0,,2.0238871847211293e-05,,nan,0.0,nan
-98.2,,,,0.0,,,1.970778861043465e-05,0,,2.0279366788833464e-05,,nan,0.0,nan
-98.1,,,,0.0,,,1.9727459366125633e-05,0,,2.031965807419711e-05,,nan,0.0,nan
-98.0,,,,0.0,,,1.97458974179332e-05,0,,2.0359770847078185e-05,,nan,0.0,nan
-97.9,,,,0.0,,,1.976295631700431e-05,0,,2.0399661737890984e-05,,nan,0.0,nan
-97.8,,,,0.0,,,1.977848408868388e-05,0,,2.0439324059817743e-05,,nan,0.0,nan
-97.7,,,,0.0,,,1.9792314180755444e-05,0,,2.0478716351912674e-05,,nan,0.0,nan
-97.6,,,,0.0,,,1.980429042341969e-05,0,,2.0517918032092464e-05,,nan,0.0,nan
-97.5,,,,0.0,,,1.981424394248421e-05,0,,2.0556808510818758e-05,,nan,0.0,nan
-97.4,,,,0.0,,,1.982199780359295e-05,0,,2.0595452047356133e-05,,nan,0.0,nan
-97.3,,,,0.0,,,1.982736191724621e-05,0,,2.0633760328681028e-05,,nan,0.0,nan
-97.2,,,,0.0,,,1.983014750794876e-05,0,,2.067177895825889e-05,,nan,0.0,nan
-97.1,,,,0.0,,,1.9829943147586793e-05,0,,2.0709524477413588e-05,,nan,0.0,nan
-97.0,,,,0.0,,,1.9826374957787607e-05,0,,2.0746875997790237e-05,,nan,0.0,nan
-96.9,,,,0.0,,,1.9819362790662876e-05,0,,2.0783862172968348e-05,,nan,0.0,nan
-96.8,,,,0.0,,,1.9808125476639127e-05,0,,2.0820482815264718e-05,,nan,0.0,nan
-96.7,True,-1.0563201586862538e-07,1.056320158686254e-07,1.1158492463358982e-09,2.5575340647134328e-08,-1.0718044677612625e-08,1.9792455955292e-05,8,True,2.0856745641562036e-05,1.7213994188175055,4.094382596351236,0.0,4.1
-96.6,True,-1.2878065484766733e-07,1.2878065484766733e-07,1.2596312992663172e-08,4.4483244541059646e-08,-2.3150519022952074e-10,1.977183964696483e-05,2,True,2.089254539616725e-05,1.0052315500729618,3.8396032036415195,0.0,3.84
-96.5,True,-1.5144785309880927e-07,1.514478530988093e-07,3.2284206807897675e-08,6.555046429875682e-08,1.6316562164617914e-08,1.974558971068463e-05,1,True,2.0927895557021348e-05,0.8006943348318931,3.7056922417876135,0.0,3.71
-96.4,True,-1.750846641303286e-07,1.7508466413032857e-07,5.8981067307950497e-08,8.71014235096966e-08,4.6750258851804814e-08,1.9712988510667273e-05,1,True,2.0962772546928576e-05,0.6507308834150958,3.619723932808274,0.0,3.62
