t,tau,S,m1,m2,L1,L2,L,Sdot_labels,Sdot_data,Ldot_labels,strong_mass,strong_theta_mean_deg,strong_theta_std_deg,strong_theta_q05_deg,strong_theta_q25_deg,strong_theta_q50_deg,strong_theta_q75_deg,strong_theta_q95_deg,strong_psi_mean_deg,strong_inactive_frac@-85.0,weak_mass,weak_theta_mean_deg,weak_theta_std_deg,weak_theta_q05_deg,weak_theta_q25_deg,weak_theta_q50_deg,weak_theta_q75_deg,weak_theta_q95_deg,weak_psi_mean_deg,weak_inactive_frac@-85.0,strip0.01@-85.0,strip0.03@-85.0,strip0.1@-85.0,E@-85.0,D1@-85.0,D2@-85.0,D1_strong_radial@-85.0,D1_strong_inrot@-85.0,D1_strong_outrot@-85.0,D1_strong@-85.0,D1_weak_radial@-85.0,D1_weak_inrot@-85.0,D1_weak_outrot@-85.0,D1_weak@-85.0,D1_other_radial@-85.0,D1_other_inrot@-85.0,D1_other_outrot@-85.0,D1_other@-85.0,D2_strong_radial@-85.0,D2_strong_inrot@-85.0,D2_strong_outrot@-85.0,D2_strong@-85.0,D2_weak_radial@-85.0,D2_weak_inrot@-85.0,D2_weak_outrot@-85.0,D2_weak@-85.0,D2_other_radial@-85.0,D2_other_inrot@-85.0,D2_other_outrot@-85.0,D2_other@-85.0
0.0,0.0,0.00019999999999999977,4.999999999999989e-05,4.9999999999999684e-05,0.5024497512562495,0.22469975056180447,0.36357475090902697,0.0006544672749999962,0.0006544672749999978,-0.0002718854665281386,4.999999999999994e-05,-6.5052130349130345e-15,25.980749724937446,-40.54394531249994,-22.54394531249951,-0.043945312499543566,22.45605468750023,40.45605468750004,-6.5052130349130345e-15,0.44433593749999994,4.999999999999994e-05,0.0,25.98074972493744,-40.543945312499915,-22.5439453124995,-0.04394531249955498,22.456054687500227,40.45605468750005,0.0,1.0,0.006347656250000002,0.019042968750000014,0.06347656250000001,0.49995000125000005,-1.4895003830953247e-05,4.570440317609218e-08,-3.861941849495928e-05,1.538608259331721e-05,1.538608259331721e-05,-7.847253308324855e-06,-0.0,-0.0,-0.0,0.0,-3.1602838235280497e-05,1.2277543856326049e-05,1.2277543856326049e-05,-7.047750522628401e-06,-3.561888267892336e-10,2.2758700191512134e-08,2.2758700191512134e-08,4.5161211556235036e-08,-0.0,-0.0,-0.0,0.0,-1.4723040477245893e-12,2.723319621546638e-10,2.723319621546639e-10,5.431916202616032e-10
0.01,0.09,0.00020679619304051543,5.472699828776978e-05,5.2058110364864615e-05,0.5024450098927165,0.22469882467870866,0.3635719172857126,0.0007054698331402064,0.0007054698331402048,-0.0002951742155243626,5.523993994460432e-05,0.00911955248960315,25.73043134017309,-40.34680908925839,-22.076902667335908,-0.13421401540923228,22.086866330996983,40.302634781499165,0.00911933624344298,0.4424583270912805,5.204681263331713e-05,-0.026904275437840245,26.012003670480517,-40.65013576399656,-22.700093658396725,0.1922451260476075,22.380434937535078,40.42064414987799,-0.026904054109361426,1.0,0.00642828783261403,0.019543152410116026,0.06531067805282259,0.4999498490664244,-1.564598600597501e-05,5.172919082427041e-08,-4.213379088306386e-05,1.67594972330346e-05,1.675951780021403e-05,-8.614775849815231e-06,-0.0,-0.0,-0.0,0.0,-3.175724315258965e-05,1.2363004496149685e-05,1.2363028500280154e-05,-7.0312101561598086e-06,-4.0430197190857846e-10,2.5794959568987458e-08,2.579576572224412e-08,5.1186423319323e-08,-0.0,-0.0,-0.0,0.0,-1.4715568452218167e-12,2.721272462995668e-10,2.721118157139014e-10,5.427675051682464e-10
0.02,0.18,0.0002141239858837133,5.990086302105072e-05,5.420094271701068e-05,0.502439820483284,0.22469786035667152,0.3635688404199777,0.0007608502725091768,0.000760850272509176,-0.00032056493961967933,6.092727593918103e-05,0.07423426697394063,25.446816702803723,-40.04677644393006,-21.522817298317108,-0.16284169256464828,21.74252887919009,40.148687555806255,0.07423337514367558,0.44019687079245007,5.4110641794173574e-05,-0.0942182932673055,26.01358384638801,-40.754875929505005,-22.867947921820747,0.3883132688258943,22.236463353660124,40.299329774457846,-0.09421739123994438,1.0,0.006558863060398006,0.019859478307462604,0.0670825083882607,0.49994968922377314,-1.6440109162620697e-05,5.856030368575425e-08,-4.5724744862854737e-05,1.815375249930775e-05,1.8153797475805163e-05,-9.417194887741826e-06,-0.0,-0.0,-0.0,0.0,-3.196740144771804e-05,1.2472219290502474e-05,1.2472267882336666e-05,-7.0229142748788975e-06,-4.5893837790283234e-10,2.923749564485662e-08,2.9239405801401666e-08,5.8017963068355455e-08,-0.0,-0.0,-0.0,0.0,-1.470813610702651e-12,2.7192162269914044e-10,2.718898084873531e-10,5.423406175757909e-10
0.03,0.27,0.00022202910573139372,6.556383440396584e-05,5.6431984557233595e-05,0.5024341406868571,0.22469685598101,0.36356549833393353,0.0008210041033075056,0.0008210041033075038,-0.00034825216522825617,6.72117156175287e-05,0.1127804412100721,25.179029899930477,-39.80778164753751,-21.004709013683776,-0.21030791868252066,21.382505549181406,39.985846135288384,0.11277837052962289,0.4386693364274352,5.629347410705731e-05,-0.11608800038665142,26.0347980811709,-40.84962020734599,-23.003507675386288,0.6285938162688846,22.150855219282423,40.25772545659636,-0.1160859294709543,1.0,0.00689251931253403,0.020677034110198434,0.0692602805304819,0.4999495212853491,-1.7280183883818722e-05,6.63074396093075e-08,-4.9675320814519056e-05,1.968582516713437e-05,1.9685899049519902e-05,-1.0303596597864782e-05,-0.0,-0.0,-0.0,0.0,-3.195188185937722e-05,1.2487610584265737e-05,1.248768398915754e-05,-6.976587285953946e-06,-5.209841887878622e-10,3.3141577514080516e-08,3.314493529840203e-08,6.576552862369469e-08,-0.0,-0.0,-0.0,0.0,-1.4700745460988153e-12,2.717151340494482e-10,2.7166592629987855e-10,5.419109858032279e-10
0.04,0.36,0.00023056141521231983,7.17621445240233e-05,5.8754866884434564e-05,0.5024279241622048,0.2246958098673747,0.36356186701478976,0.0008863634461084974,0.000886363446108492,-0.0003784486183208981,7.409728661011823e-05,0.23808669504910485,24.90488168731026,-39.46385264637057,-20.39576961837844,-0.17313427676283163,21.101427302420245,39.90326963969755,0.23808290216752154,0.43717662964833726,5.843093963692348e-05,-0.12758030305140813,25.999297576663746,-40.855811364442445,-23.073159109496068,0.8767828925813272,22.02461014956698,40.136608693844316,-0.1275765431880774,1.0,0.007306775356467294,0.02131242537323059,0.07160880995269604,0.49994934478654024,-1.8169212224236328e-05,7.508717776443024e-08,-5.3703344507163517e-05,2.12366399070264e-05,2.123674705094408e-05,-1.1229957549193039e-05,-0.0,-0.0,-0.0,0.0,-3.199448281768986e-05,1.2527564734861448e-05,1.2527663407785135e-05,-6.9392546750432756e-06,-5.914437417328576e-10,3.7565920586317485e-08,3.757122227872878e-08,7.45456991233134e-08,-0.0,-0.0,-0.0,0.0,-1.469339862129132e-12,2.715078262135786e-10,2.714401547944613e-10,5.414786411459107e-10
0.05,0.45,0.00023977529534977297,7.854639442200392e-05,6.117337009623514e-05,0.502421120190326,0.22469472025856,0.363557920224443,0.0009574004557789305,0.0009574004557789208,-0.00041138693330844054,8.162882833246926e-05,0.2987604551473775,24.622463319774397,-39.18324093490644,-19.840814370731827,-0.18994954147849058,20.747568129657942,39.73051560248271,0.2987543389125805,0.43592636318682537,6.075107108151062e-05,-0.14171114692985032,26.009422213309072,-40.93732022287877,-23.182525316158628,1.1180377973716538,21.930834043727064,40.089592517890836,-0.1417051451239428,1.0,0.007438052451300165,0.021994173091026584,0.07392998777771494,0.49994915923275796,-1.911045146833789e-05,8.504650315166406e-08,-5.811451088329441e-05,2.2932409387178264e-05,2.2932555256878935e-05,-1.224954623923721e-05,-0.0,-0.0,-0.0,0.0,-3.1791178645168273e-05,1.2465074874057592e-05,1.2465198542009996e-05,-6.860905229100686e-06,-6.714581850951706e-10,4.258457334132762e-08,4.259234437722208e-08,8.450545953345453e-08,-0.0,-0.0,-0.0,0.0,-1.4686097817419134e-12,2.712997489960122e-10,2.71212479407583e-10,5.410436186218532e-10
0.06,0.54,0.00024973006434999336,8.597196673246102e-05,6.36914301212204e-05,0.5024136732612228,0.2246935853211498,0.3635536292911863,0.0010346310665219679,0.001034631066521953,-0.0004473215222110568,8.980725331439655e-05,0.4014014879031918,24.31287014460496,-38.803797579382476,-19.226996576499474,-0.16614539344980886,20.41328701167547,39.55681615958081,0.4013924036446798,0.434176786224389,6.308935960738463e-05,-0.1915367496806798,25.99109846238705,-41.01575110619131,-23.299585846802692,1.3201276602055025,21.77707078295937,39.959120454747584,-0.19152792234168683,1.0,0.007574638411981156,0.02305731015274755,0.07663922093699549,0.4999489640973212,-2.0107367025064545e-05,9.633438444350448e-08,-6.260326328669213e-05,2.464407021083524e-05,2.4644259572207617e-05,-1.331493350364927e-05,-0.0,-0.0,-0.0,0.0,-3.1649272647430506e-05,1.2428345080249496e-05,1.242849404576574e-05,-6.792433521415269e-06,-7.623207593807882e-10,4.827252936397016e-08,4.828356988310821e-08,9.579377848769757e-08,-0.0,-0.0,-0.0,0.0,-1.4678845375063008e-12,2.710909554223314e-10,2.709828851630766e-10,5.406059560479017e-10
0.07,0.6300000000000001,0.0002604904355707,9.409947725837546e-05,6.631314481802811e-05,0.5024055226217369,0.22469240314198907,0.363548962881863,0.001118619088082072,0.0011186190880820542,-0.00048653061905326773,9.875444842516706e-05,0.5098268211738043,23.99893495528734,-38.404080438321266,-18.607236489891736,-0.13461421981681398,20.08119456212608,39.37825441041221,0.5098140656198915,0.43344992430318946,6.549979859996332e-05,-0.23592331077996134,25.967794359134988,-41.08700454713403,-23.402379143042957,1.522202931758789,21.62234255218212,39.82684130104834,-0.2359110311510012,1.0,0.008067661522876534,0.023848403282805835,0.0796851744283294,0.49994875881906337,-2.1163714609932078e-05,1.0913294540029774e-07,-6.732785094937455e-05,2.6436040708495743e-05,2.6436279319557374e-05,-1.4455530921321433e-05,-0.0,-0.0,-0.0,0.0,-3.141237608300251e-05,1.2352009167692033e-05,1.2352183226699834e-05,-6.708183688610645e-06,-8.654998457899522e-10,5.472158226007568e-08,5.473669729127185e-08,1.0859277970555758e-07,-0.0,-0.0,-0.0,0.0,-1.4671643749479558e-12,2.70881502698454e-10,2.7075135661837655e-10,5.401656949418827e-10
0.08,0.72,0.00027212701834300896,0.00010299526913748523,6.904278058757516e-05,0.502396601780799,0.22469117172446948,0.36354388675263427,0.0012099806859355309,0.0012099806859354996,-0.0005293185157953752,0.00010854056690138514,0.6230611442325084,23.681242723015636,-37.98329594574174,-17.984180198383836,-0.0967495573176336,19.75120258002666,39.19478278901033,0.623043954106945,0.4318751414106588,6.804025630856239e-05,-0.23679805407065796,25.961358662116307,-41.14744359564167,-23.46976176605294,1.7580810728171488,21.519076656274652,39.772633651328626,-0.23678163809965785,1.0,0.008229446842512225,0.024685927105677703,0.08277004956482907,0.49994854279986667,-2.2283531357559057e-05,1.236459114010237e-07,-7.229349620711558e-05,2.8308724549857446e-05,2.830901791166217e-05,-1.5675753745595962e-05,-0.0,-0.0,-0.0,0.0,-3.107727956870129e-05,1.2234651600882733e-05,1.2234850355855489e-05,-6.607777611963073e-06,-9.826586509276584e-10,6.203419787229291e-08,6.205464929859457e-08,1.2310618851995984e-07,-0.0,-0.0,-0.0,0.0,-1.4664495529363371e-12,2.70671452444096e-10,2.705178781442384e-10,5.397228810353981e-10
0.09,0.8099999999999999,0.0002847168656632719,0.00011273195360428193,7.188477935973714e-05,0.502386837968093,0.22468988898461828,0.36353836347635565,0.0013093892813276933,0.001309389281327651,-0.0005760180076045253,0.00011924213021396137,0.7402015188960596,23.36034668840751,-37.54051030358228,-17.36034210683324,-0.05379144253457578,19.423247184975775,39.006337647804585,0.740179066405172,0.43037626254966643,7.059946462620355e-05,-0.26989619576633045,25.927180264090246,-41.20345549273538,-23.541468565500868,1.9568548491220925,21.361588252076473,39.63663202347322,-0.26987493404227175,1.0,0.008780967485924778,0.02556924032202425,0.08623648531570238,0.4999483154018811,-2.3471143725372962e-05,1.4009392625778842e-07,-7.750512702567357e-05,3.0262268313031857e-05,3.026262229220608e-05,-1.6980236420435638e-05,-0.0,-0.0,-0.0,0.0,-3.064126331518921e-05,1.2075066581224211e-05,1.20752894290277e-05,-6.490907304937303e-06,-1.1156836556406554e-09,7.032154837257185e-08,7.034878397665735e-08,1.3955464869358854e-07,-0.0,-0.0,-0.0,0.0,-1.4657403425794921e-12,2.704608708956107e-10,2.7028243400767005e-10,5.392775645607013e-10
