cell_id,mu2,sigma,seed,t_W,eta1_blk,eta2_blk,p1_pred_probe_psi_deg,p1_actual_peak_psi_deg,p1_peak_angle_error_deg,p2_pred_probe_psi_deg,p2_actual_peak_psi_deg,p2_peak_angle_error_deg,Smax1_over_eta1_sq,Smax2_over_eta2_sq,global_corr_Sactual_Sred,global_MAE,tG,tred_probe,tfull_probe,tG_minus_tfull_probe,tred_minus_tfull_probe
mu2_1p800__sigma_0p120,1.8,0.12,0,3.52,0.08171595851443217,0.05234036894398997,-85.31279408698072,-86.0,0.6872059130192838,176.99974682385545,177.0,0.0002531761445538905,0.7932578541450974,1.266791320809278,0.9362758168038712,9.38003505314379e-05,4.429418622191092,4.42,4.5200000000000005,-0.09058137780890885,-0.10000000000000053
mu2_1p800__sigma_0p120,1.8,0.12,1,3.52,0.08535351205244304,0.06927420657520467,-85.10364650452532,-86.5,1.3963534954746706,176.02769888049147,176.5,0.47230111950852915,0.7923095105810164,0.7955784299147814,0.9412902529244017,8.400820437433268e-05,4.470054544886109,4.48,4.54,-0.06994545511389116,-0.05999999999999961
mu2_1p800__sigma_0p120,1.8,0.12,2,3.54,0.10242649319743792,0.07275135073593904,-84.12108404054122,-86.5,2.378915959458766,175.8279688556628,177.0,1.1720311443372111,0.6347849757115493,0.7589504220936082,0.9351965502194279,0.00010547008275823278,4.593843082607058,4.61,4.640000000000001,-0.04615691739294281,-0.03000000000000025
mu2_1p800__sigma_0p120,1.8,0.12,3,3.5300000000000002,0.09871395710826869,0.0666848834945678,-84.33488077443872,-86.0,1.665119225561284,176.17640019553392,176.5,0.3235998044660846,0.6628450365851404,0.9210070610075005,0.9249552523481943,0.00011307440577868257,4.593784438520974,4.59,4.62,-0.026215561479026483,-0.03000000000000025
mu2_1p800__sigma_0p120,1.8,0.12,4,3.5100000000000002,0.09947973853268173,0.07090287993823802,-84.29078769442226,-86.5,2.2092123055777506,175.93415270890347,176.5,0.5658472910965315,0.6508749979014904,0.8499267612434088,0.9319402619154429,0.00012583328494686436,4.556565455079555,4.54,4.62,-0.06343454492044476,-0.08000000000000007
mu2_2p000__sigma_0p150,2.0,0.15,0,2.91,0.10084254190868779,0.07944983066352031,-84.21231016081494,-85.0,0.7876898391850773,175.44305730482915,176.0,0.5569426951708465,0.8941271922521918,0.9010814562696812,0.9436851253181291,0.00015738847664117464,3.6479136538596375,3.66,3.73,-0.08208634614036248,-0.06999999999999984
mu2_2p000__sigma_0p150,2.0,0.15,1,2.9000000000000004,0.10944408662331509,0.08501269356072359,-83.71672939892427,-85.0,1.283270601075742,175.12324520088487,176.0,0.8767547991151332,0.8142880669267984,0.8996851266589514,0.9331979370205348,0.00018387955688096015,3.6841973641147563,3.7,3.73,-0.04580263588524369,-0.029999999999999805
mu2_2p000__sigma_0p150,2.0,0.15,2,2.92,0.11908707456407969,0.08175775601499612,-83.16058200032283,-85.0,1.8394179996771527,175.31039122650083,176.0,0.6896087734991738,0.8048057271279707,0.9680284654726259,0.9268035195690928,0.0002441599194630242,3.678681598211126,3.6900000000000004,3.75,-0.07131840178887394,-0.05999999999999961
mu2_2p000__sigma_0p150,2.0,0.15,3,2.91,0.12016728619891656,0.08792462680178642,-83.09824276423468,-84.5,1.4017572357653307,174.95577641280795,176.0,1.0442235871920502,0.7532798931665289,0.8710240860455608,0.9280858104144927,0.00022064004953529587,3.736110092110729,3.75,3.77,-0.033889907889271154,-0.020000000000000018
mu2_2p000__sigma_0p150,2.0,0.15,4,2.9000000000000004,0.1249107901535985,0.0836718101913517,-82.82439594359805,-85.5,2.675604056401937,175.2003468900187,176.0,0.7996531099813069,0.7102224529329945,1.0248994072661106,0.9255092052109838,0.0002585876510805109,3.719372469116858,3.72,3.77,-0.05062753088314187,-0.04999999999999982
mu2_2p200__sigma_0p180,2.2,0.18,0,2.4,0.12400643506451109,0.09876998508180046,-82.87661770993945,-84.0,1.1233822900605333,174.33165484312144,175.0,0.6683451568785586,0.8871199941747547,0.8866207376264243,0.9338227629946866,0.0002896910015859118,3.0793009735128614,3.08,3.12,-0.040699026487138745,-0.040000000000000036
mu2_2p200__sigma_0p180,2.2,0.18,1,2.4,0.13186510457303294,0.09849606295370708,-82.42261710754644,-84.0,1.5773828924535565,174.34742632876305,175.0,0.6525736712369508,0.8366380993410292,1.012003702339346,0.9190646097462224,0.00034444611888141067,3.088791646665979,3.0900000000000003,3.1100000000000003,-0.021208353334021268,-0.020000000000000018
mu2_2p200__sigma_0p180,2.2,0.18,2,2.4,0.14340968936361856,0.09727493958842139,-81.75480134797455,-84.0,2.245198652025465,174.41772916486627,175.5,1.082270835133727,0.8257758304424979,1.0359734874028586,0.9354499817715698,0.0003987014296303841,3.0662851306258583,3.06,3.1,-0.03371486937414181,-0.040000000000000036
mu2_2p200__sigma_0p180,2.2,0.18,3,2.4,0.13565099017676377,0.10822172712778462,-82.20373482950923,-83.5,1.2962651704907557,173.78718393954074,175.0,1.2128160604592608,0.8589279641986791,0.846213082116545,0.9249984811110358,0.0003698381005380323,3.0802109421698023,3.0900000000000003,3.12,-0.039789057830197816,-0.029999999999999805
mu2_2p200__sigma_0p180,2.2,0.18,4,2.39,0.1563186848055111,0.10982188952819277,-81.00671634660664,-84.5,3.4932836533933482,173.69495161333072,175.0,1.3050483866692844,0.6783768291106762,0.9007591738117006,0.933363697562333,0.0003737129097504992,3.130894961374741,3.14,3.1500000000000004,-0.01910503862525914,-0.010000000000000231
