cell_id,scope,n,accuracy
mu2_1p800__sigma_0p120,all,720,0.9513888888888888
mu2_1p800__sigma_0p120,boundary_ge_6deg,610,1.0
mu2_1p800__sigma_0p150,all,720,0.9430555555555555
mu2_1p800__sigma_0p150,boundary_ge_6deg,608,0.9983552631578947
mu2_1p800__sigma_0p180,all,720,0.9361111111111111
mu2_1p800__sigma_0p180,boundary_ge_6deg,604,0.9966887417218543
mu2_2p000__sigma_0p120,all,720,0.9388888888888889
mu2_2p000__sigma_0p120,boundary_ge_6deg,608,0.993421052631579
mu2_2p000__sigma_0p150,all,720,0.9361111111111111
mu2_2p000__sigma_0p150,boundary_ge_6deg,606,0.9966996699669967
mu2_2p000__sigma_0p180,all,720,0.9347222222222222
mu2_2p000__sigma_0p180,boundary_ge_6deg,602,0.9966777408637874
mu2_2p200__sigma_0p120,all,720,0.9277777777777778
mu2_2p200__sigma_0p120,boundary_ge_6deg,608,0.9851973684210527
mu2_2p200__sigma_0p150,all,720,0.9333333333333333
mu2_2p200__sigma_0p150,boundary_ge_6deg,604,0.9933774834437086
mu2_2p200__sigma_0p180,all,720,0.9277777777777778
mu2_2p200__sigma_0p180,boundary_ge_6deg,598,0.9899665551839465
