scope,actual_label,pred_label,count
all,swing,swing,832
all,swing,negligible,63
all,swing,no_swing_improving,1
all,swing,no_swing_worsening,22
all,negligible,swing,4
all,negligible,negligible,1563
all,negligible,no_swing_improving,105
all,negligible,no_swing_worsening,11
all,no_swing_improving,swing,180
all,no_swing_improving,negligible,0
all,no_swing_improving,no_swing_improving,3674
all,no_swing_improving,no_swing_worsening,22
all,no_swing_worsening,swing,0
all,no_swing_worsening,negligible,3
all,no_swing_worsening,no_swing_improving,0
all,no_swing_worsening,no_swing_worsening,0
boundary_ge_6deg,swing,swing,546
boundary_ge_6deg,swing,negligible,0
boundary_ge_6deg,swing,no_swing_improving,0
boundary_ge_6deg,swing,no_swing_worsening,0
boundary_ge_6deg,negligible,swing,0
boundary_ge_6deg,negligible,negligible,1422
boundary_ge_6deg,negligible,no_swing_improving,10
boundary_ge_6deg,negligible,no_swing_worsening,0
boundary_ge_6deg,no_swing_improving,swing,20
boundary_ge_6deg,no_swing_improving,negligible,0
boundary_ge_6deg,no_swing_improving,no_swing_improving,3450
boundary_ge_6deg,no_swing_improving,no_swing_worsening,0
boundary_ge_6deg,no_swing_worsening,swing,0
boundary_ge_6deg,no_swing_worsening,negligible,0
boundary_ge_6deg,no_swing_worsening,no_swing_improving,0
boundary_ge_6deg,no_swing_worsening,no_swing_worsening,0
