p,time_label,variant,n,eta_MAE,eta_mean_relative_abs_error,eta_correlation,mean_matrix_relative_frob_error
1,t_W,ideal,9,0.02636352780952738,0.29950798182865085,-0.5290413729130907,0.12519472658359787
1,t_W,measured_root,9,0.026338014770032978,0.29922635248299606,-0.5312084066188415,0.12427477570431263
1,t_W,measured_cohort,9,0.024030985736893013,0.2724615396371227,-0.5039397505993234,0.122766190918258
1,t_rev_p1,ideal,9,0.039679191424932286,0.38494718815271417,-0.49882191250277186,0.12466210491615909
1,t_rev_p1,measured_root,9,0.01737368212750884,0.17359913207278183,-0.14103075911869967,0.11174474266870045
1,t_rev_p1,measured_cohort,9,0.035550646235772934,0.3438720108138933,-0.41130927700911546,0.1168779473792996
1,t_rev_p2,ideal,9,0.03579011119593682,0.3560301338240974,-0.5712496042534211,0.1262573242572733
1,t_rev_p2,measured_root,9,0.01821578322813182,0.18576028014459867,-0.14703740997715448,0.11654470464320907
1,t_rev_p2,measured_cohort,9,0.03374995069984273,0.33488149803894657,-0.5054602097071452,0.12046351391279966
1,t_block,ideal,9,0.042319207855656064,0.3867736453553022,-0.5106206697928599,0.12237162422054272
1,t_block,measured_root,9,0.016775907744184457,0.16557447319389318,0.5559659356238398,0.10486969624246315
1,t_block,measured_cohort,9,0.03576154830829312,0.33058865848131336,0.040901871490015805,0.11302238822828431
1,t_10,ideal,9,0.07222938572837784,0.5408617051535461,-0.1429095522163114,0.11073739860200073
1,t_10,measured_root,9,0.01860034075093695,0.13796983969991594,0.30401141808307885,0.05026252701686217
1,t_10,measured_cohort,9,0.034242842325843945,0.2538707575393112,0.3212978895795969,0.06950227722153596
2,t_W,ideal,9,0.011893402467652279,0.18943566210759555,-0.21235996414406536,0.3258933256557953
2,t_W,measured_root,9,0.011881716343544797,0.18922932439124943,-0.21139229820949176,0.3282334530025612
2,t_W,measured_cohort,9,0.010678213445934913,0.1729077460932859,-0.08710998021709183,0.3324860417680162
2,t_rev_p1,ideal,9,0.018942039693231993,0.234058745710493,-0.31149706769815966,0.07919184018151088
2,t_rev_p1,measured_root,9,0.024516474136707125,0.33708452467169736,0.07080462511542379,0.11284507789861535
2,t_rev_p1,measured_cohort,9,0.015917303162681338,0.19614279802477494,-0.2471185814133925,0.08931181124107598
2,t_rev_p2,ideal,9,0.016615324130981254,0.219632079523121,-0.3377935417428214,0.09975693874277843
2,t_rev_p2,measured_root,9,0.01847894133707355,0.27541523329725187,0.11740263824624239,0.12310347218207464
2,t_rev_p2,measured_cohort,9,0.015305978005660997,0.20148193850182894,-0.28942561112718984,0.10813231366497628
2,t_block,ideal,9,0.025247038990796812,0.29492059601947135,-0.3500608456361129,0.09055568213005086
2,t_block,measured_root,9,0.02175479393940149,0.2907275284704433,0.698065308777942,0.12115020261283409
2,t_block,measured_cohort,9,0.01910118305932068,0.22891523389883942,0.15932904389452188,0.09961231683690373
2,t_10,ideal,9,0.06212011217525651,0.5012968672328943,0.060461624091294394,0.08699685395041604
2,t_10,measured_root,9,0.016457196021420935,0.1375332320826622,0.5770411082741607,0.10462839593774395
2,t_10,measured_cohort,9,0.025340579473569675,0.20159482601478762,0.5049913274802925,0.08889793816913862
