cell_id,mu2,sigma,p,eta_blk,eta_gm,eta_param_strong,center_deg_frozen,Smax_actual,Smax_over_eta2,psi_peak_actual,t_reversal_actual,global_corr_Sactual_Sred
mu2_1p800__sigma_0p120,1.8,0.12,1,0.08171595851443217,0.0381068147718355,0.024,-90.0,0.005296977636120581,0.7932578541450974,-86.0,4.48,0.9362758168038712
mu2_1p800__sigma_0p120,1.8,0.12,2,0.05234036894398997,0.04017512372372046,0.024,177.67955373763436,0.0034703928386408678,1.266791320809278,177.0,4.12,0.9362758168038712
mu2_1p800__sigma_0p150,1.8,0.15,1,0.07914306451123788,0.034840032181766754,0.030000000000000002,-90.0,0.006593512768107712,1.0526672854413404,-85.0,4.470000000000001,0.9312221078142695
mu2_1p800__sigma_0p150,1.8,0.15,2,0.05561029960280352,0.043961602272232725,0.030000000000000002,176.95599412917477,0.0045212239159095335,1.4619938525805098,176.0,4.13,0.9312221078142695
mu2_1p800__sigma_0p180,1.8,0.18,1,0.0792488121501566,0.030117415433966486,0.036000000000000004,-90.0,0.008037163608049902,1.2797268629674168,-84.0,4.470000000000001,0.9098614738229508
mu2_1p800__sigma_0p180,1.8,0.18,2,0.06022931224708817,0.04835676551508675,0.036000000000000004,176.2402401924071,0.005980356376323215,1.6485846689932504,175.5,4.08,0.9098614738229508
mu2_2p000__sigma_0p120,2.0,0.12,1,0.10321441721056628,0.04373296315009439,0.026666666666666665,-90.0,0.007445292107025159,0.6988774247000809,-86.0,3.68,0.9546682704753265
mu2_2p000__sigma_0p120,2.0,0.12,2,0.0775957794395044,0.04947385148725042,0.026666666666666665,175.9952790260262,0.004377772140744862,0.7270712187089575,177.0,3.43,0.9546682704753265
mu2_2p000__sigma_0p150,2.0,0.15,1,0.10084254190868779,0.033117357070520805,0.03333333333333333,-90.0,0.009092574568966616,0.8941271922521918,-85.0,3.6700000000000004,0.9436851253181291
mu2_2p000__sigma_0p150,2.0,0.15,2,0.07944983066352031,0.05408585000205517,0.03333333333333333,175.00096567153327,0.00568787448323127,0.9010814562696812,176.0,3.44,0.9436851253181291
mu2_2p000__sigma_0p180,2.0,0.18,1,0.09972448577694011,0.015218072167161485,0.04,-90.0,0.010823157695885988,1.0883043751657973,-84.0,3.6700000000000004,0.9244315068319525
mu2_2p000__sigma_0p180,2.0,0.18,2,0.08282794956121393,0.059166142870334976,0.04,173.96186098098156,0.007152240862258075,1.0425293990869238,175.5,3.4000000000000004,0.9244315068319525
mu2_2p200__sigma_0p120,2.2,0.12,1,0.12781175507838333,0.04464856685648629,0.029333333333333336,-90.0,0.009563295375806746,0.5854178666748022,-86.0,3.0900000000000003,0.9635442342117958
mu2_2p200__sigma_0p120,2.2,0.12,2,0.09852876495510252,0.05605380622416054,0.029333333333333336,175.79587270736295,0.005521598800219962,0.5687727349155502,177.0,2.91,0.9635442342117958
mu2_2p200__sigma_0p150,2.2,0.15,1,0.12029662653017001,0.018222699078162385,0.03666666666666667,-90.0,0.01160150202292054,0.8016915809847234,-85.0,3.08,0.9526657094023648
mu2_2p200__sigma_0p150,2.2,0.15,2,0.1012283729632856,0.06196441307978461,0.03666666666666667,174.73594987868933,0.007082978570741139,0.6912122317046414,176.0,2.92,0.9526657094023648
mu2_2p200__sigma_0p180,2.2,0.18,1,0.12400643506451109,0.021444956807967937,0.044000000000000004,-90.0,0.013641772818415832,0.8871199941747547,-84.0,3.08,0.9338227629946866
mu2_2p200__sigma_0p180,2.2,0.18,2,0.09876998508180046,0.0692963074381504,0.044000000000000004,173.73468336104804,0.00864943743050317,0.8866207376264243,175.0,2.92,0.9338227629946866
