time,A1_persist_count_fraction,A2_persist_count_fraction,A1_persist_mass_fraction,A2_persist_mass_fraction,fixed_R_mass_fraction,dynamic_R_count_fraction,dynamic_R_mass_fraction,reduction_error_all,reduction_error_off_boundary,fixed_R_output_rms_ratio,m_eff_total,m_eff_A1_actual,m_eff_A1_gate_approx
0.0,0.0,0.0,0.0,0.0,0.88,0.995,0.9949999999999999,0.8652525016492513,0.8650223337908932,0.8937885960590038,5.3475681314703614e-05,1.9107308972104364e-06,1.9107308972104364e-06
0.01,0.0,0.0,0.0,0.0,0.8799460524470498,0.995,0.9947183295892802,0.8725737418250882,0.8723519344419723,0.899263895966377,5.8521887027633776e-05,2.090860657174072e-06,2.090860657174072e-06
0.02,0.0,0.0,0.0,0.0,0.8799989803410349,0.995,0.9944287074955973,0.8795115600826137,0.8792990659892215,0.9044175387396771,6.40435204565792e-05,2.287973593676377e-06,2.287973593676377e-06
0.030000000000000002,0.0,0.0,0.0,0.0,0.8801608334588171,0.995,0.994131672611661,0.8860605972308049,0.8858580751808086,0.9092520012702479,7.008535388058795e-05,2.5036708406744952e-06,2.5036708406744952e-06
0.04,0.0,0.0,0.0,0.0,0.8804329587480867,0.995,0.9938278267643952,0.8922205187197358,0.8920283831628835,0.9137727012230067,7.669637785744782e-05,2.739704484223373e-06,2.739704484223373e-06
0.05,0.0,0.0,0.0,0.0,0.8808159649084197,0.995,0.9935178302847458,0.8979952196699035,0.8978136778297379,0.9179875043333413,8.39301992064929e-05,2.9979917481203283e-06,2.9979917481203283e-06
0.060000000000000005,0.0,0.0,0.0,0.0,0.8813096981409765,0.995,0.9932023964663577,0.9033921767274872,0.9032212639847123,0.9219062589974693,9.184546558996693e-05,3.280630487062708e-06,3.280630487062708e-06
0.07,0.0,0.0,0.0,0.0,0.881913229945347,0.995,0.9928822850003788,0.9084218284911357,0.9082614459267951,0.9255404369879164,0.00010050634880064069,3.5899161874999257e-06,3.5899161874999257e-06
0.08,0.0,0.0,0.0,0.0,0.8826248575968747,0.995,0.992558294509629,0.9130969272069768,0.9129468629791176,0.9289026926860903,0.00010998306199041735,3.928360630388895e-06,3.928360630388895e-06
0.09000000000000001,0.0,0.0,0.0,0.0,0.8834421175350305,0.995,0.9922312543370173,0.9174320628332869,0.9172920217342233,0.9320065733599314,0.0001203524292318584,4.298712288849916e-06,4.298712288849916e-06
0.1,0.0,0.0,0.0,0.0,0.884361811469693,0.995,0.9919020157673645,0.9214430759847986,0.921312691839274,0.9348661109651896,0.0001316984989992288,4.703978664949412e-06,4.703978664949412e-06
0.11,0.0,0.0,0.0,0.0,0.8853800446391002,0.995,0.9915714428789089,0.9251467100881482,0.92502556749301,0.9374956358527224,0.00014411323260490733,5.147450569235737e-06,5.147450569235737e-06
0.12000000000000001,0.0,0.0,0.0,0.0,0.8864922753830792,0.995,0.9912404032370326,0.928560207683656,0.9284478592966998,0.9399095157040481,0.000157697246233734,5.632728696889785e-06,5.632728696889785e-06
0.13,0.0,0.0,0.0,0.0,0.8876933747145997,0.995,0.9909097586434706,0.9317010090572384,0.9315969903414143,0.9421219871693494,0.00017256063205064944,6.1637528068995925e-06,6.1637528068995925e-06
0.14,0.0,0.0,0.0,0.0,0.8889776943566478,0.995,0.9905803561503606,0.9345864679838998,0.9344903068634638,0.9441469704571814,0.00018882383766016925,6.744833708204273e-06,6.744833708204273e-06
0.15,0.0,0.0,0.0,0.0,0.890339141433377,0.995,0.9902530195312644,0.9372336150954244,0.9371448369217731,0.9459979290242941,0.00020661863932427285,7.380688141776258e-06,7.380688141776258e-06
0.16,0.0,0.0,0.0,0.0,0.8917712579187788,0.995,0.9899285413822564,0.9396590263082568,0.939577161152632,0.9476878041406605,0.00022608921147070055,8.076477004395235e-06,8.076477004395235e-06
0.17,0.0,0.0,0.0,0.0,0.8932673029417731,1.0,1.0,0.9418787194807902,0.9418033109537967,0.9492289494469407,0.00024739329427823773,8.837846847452826e-06,8.837846847452826e-06
0.18000000000000002,0.0,0.0,0.0,0.0,0.8948203360310765,1.0,1.0,0.9439080180058466,0.9438386259013732,0.9506330785228767,0.00027070347125899327,9.670975384522342e-06,9.670975384522342e-06
0.19,0.0,0.0,0.0,0.0,0.8964232993962533,1.0,1.0,0.9457614725871342,0.9456976728362135,0.9519112321519693,0.0002962085465612284,1.0582621638996856e-05,1.0582621638996856e-05
0.2,0.0,0.0,0.0,0.0,0.8980690974151967,1.0,1.0,0.9474528441554549,0.9473942311840919,0.9530737552316283,0.00032411506689749,1.1580180638772897e-05,1.1580180638772897e-05
0.21000000000000002,0.0,0.0,0.0,0.0,0.899750671935157,1.0,1.0,0.9489950998024249,0.9489412896868568,0.9541303394919318,0.00035464901642508537,1.2671742868937969e-05,1.2671742868937969e-05
0.22,0.0,0.0,0.0,0.0,0.9014610721429701,1.0,1.0,0.9504003649898087,0.9503509931955063,0.9550899754291475,0.0003880575894806481,1.3866159555114962e-05,1.3866159555114962e-05
0.23,0.0,0.0,0.0,0.0,0.9031935179418022,1.0,1.0,0.9516799772514276,0.9516347009712561,0.9559610238643411,0.00042461122526485113,1.5173113782206318e-05,1.5173113782206318e-05
0.24000000000000002,0.0,0.0,0.0,0.0,0.9049414561032828,1.0,1.0,0.9528444867563663,0.9528029848625907,0.9567512209890185,0.00046460576664755776,1.6603198491158585e-05,1.6603198491158585e-05
0.25,0.0,0.0,0.0,0.0,0.9066986087107083,1.0,1.0,0.9539036809024942,0.9538656534474015,0.9574677138424956,0.0005083648400307516,1.8168001928750216e-05,1.8168001928750216e-05
0.26,0.0,0.0,0.0,0.0,0.9084590136217077,1.0,1.0,0.9548666056172371,0.9548317720873467,0.9581170622889839,0.0005562424213957811,1.988020060557267e-05,1.988020060557267e-05
0.27,0.0,0.0,0.0,0.0,0.9102170569664125,0.995,0.9867743724533349,0.9557416111108731,0.9557097094253686,0.9587052969875316,0.0006086257025638846,2.1753661097174484e-05,2.1753661097174484e-05
0.28,0.0,0.0,0.0,0.0,0.911967497928618,0.995,0.9865293262388655,0.9565363992252993,0.9565071855768988,0.9592379616256945,0.0006659382112856487,2.3803551148876154e-05,2.3803551148876154e-05
0.29000000000000004,0.0,0.0,0.0,0.0,0.9137054862058006,0.99,0.9725915650689145,0.9572580686565713,0.9572313188880279,0.9597201368454544,0.0007286432422724032,2.60464612523548e-05,2.60464612523548e-05
0.3,0.0,0.0,0.0,0.0,0.9154265726973112,0.985,0.9582121238049824,0.9579131237439829,0.957888630615315,0.960156459106241,0.0007972474783349995,2.8500536614734776e-05,2.8500536614734776e-05
0.31,0.0,0.0,0.0,0.0,0.9171267138447594,0.985,0.9575530264468627,0.9585075229022116,0.9584850946464784,0.9605511692701414,0.000872305027075078,3.1185622954361687e-05,3.1185622954361687e-05
0.32,0.0,0.0,0.0,0.0,0.9188022702960472,0.98,0.9539811985788379,0.9590467283929099,0.9590261889536691,0.960908129986305,0.0009544219127128397,3.4123424692491676e-05,3.4123424692491676e-05
0.33,0.0,0.0,0.0,0.0,0.9204500007847929,0.98,0.9534746661479248,0.9595357340898364,0.9595169215455807,0.9612308571042683,0.0010442608311208854,3.7337676842777726e-05,3.7337676842777726e-05
0.34,0.0,0.0,0.0,0.0,0.922067051841761,0.98,0.9529911583720018,0.9599791148915234,0.959961881565229,0.9615225711717488,0.0011425465324800695,4.085433394084514e-05,4.085433394084514e-05
0.35000000000000003,0.0,0.0,0.0,0.0,0.9236509440504463,0.98,0.952530094471471,0.9603810244903306,0.9603652336284219,0.9617861699896545,0.001250071345558088,4.4701775401572165e-05,4.4701775401572165e-05
0.36000000000000004,0.0,0.0,0.0,0.0,0.9251995554713724,0.98,0.9520908462188886,0.9607452620215937,0.9607307886466929,0.9620243113246115,0.001367701622988652,4.891102987650669e-05,4.891102987650669e-05
0.37,0.0,0.0,0.0,0.0,0.9267111028737655,0.975,0.9364370627265795,0.9610752968750711,0.9610620272945207,0.9622394132615543,0.0014963845978371582,5.351602124525396e-05,5.351602124525396e-05
0.38,0.0,0.0,0.0,0.0,0.9281841214421136,0.97,0.9335295081971328,0.9613742796295485,0.9613621095558773,0.9624336553627901,0.0016371556455969508,5.855383420113642e-05,5.855383420113642e-05
0.39,0.0,0.0,0.0,0.0,0.9296174434395262,0.97,0.9330870638328729,0.9616450782005083,0.961633912517,0.9626090211368303,0.0017911465500758486,6.406500512666708e-05,6.406500512666708e-05
0.4,0.0,0.0,0.0,0.0,0.931010176273771,0.97,0.932668349577373,0.9618902970969065,0.961880048179132,0.9627673005050835,0.0019595941965753266,7.009383897000657e-05,7.009383897000657e-05
0.41000000000000003,0.0,0.0,0.0,0.0,0.9323616803595901,0.97,0.9322723393543368,0.9621123185669412,0.962102906992141,0.9629101314397531,0.0021438504712490386,7.668875372867169e-05,7.668875372867169e-05
0.42000000000000004,0.0,0.0,0.0,0.0,0.9336715471635715,0.97,0.9318980150835477,0.9623133038043739,0.9623046574914167,0.9630389978159553,0.002345392558379234,8.390265682025415e-05,8.390265682025415e-05
0.43,0.0,0.0,0.0,0.0,0.9349395776745822,0.97,0.9315443724131542,0.9624952090380144,0.9624872614306541,0.9631552320279025,0.002565834240238713,9.179335263473582e-05,9.179335263473582e-05
0.44,0.0,0.0,0.0,0.0,0.9361657615097587,0.97,0.9312104255272963,0.9626598177949874,0.962652508147237,0.9632600517647447,0.0028069385163055926,0.00010042398728051855,0.00010042398728051855
0.45,0.0,0.0,0.0,0.0,0.9373502568774166,0.965,0.9146669085513226,0.9628087469853487,0.9628020195302518,0.963354551242986,0.003070630876381795,0.0001098635305362058,0.0001098635305362058
0.46,0.0,0.0,0.0,0.0,0.9384933715194851,0.96,0.912573197347327,0.962943467001924,0.962937271051386,0.9634397260808942,0.0033590140764435416,0.00012018729909103223,0.00012018729909103223
0.47000000000000003,0.0,0.0,0.0,0.0,0.9395955447310673,0.965,0.9138790741500296,0.9630653120441048,0.9630596019640069,0.9635164794619081,0.003674383969536427,0.00013147752584229848,0.00013147752584229848
0.48000000000000004,0.0,0.0,0.0,0.0,0.9406573305054531,0.96,0.8970554898652002,0.9631754883190272,0.9631702220021315,0.963585618160584,0.004019246478064728,0.000143823974824282,0.000143823974824282
0.49000000000000005,0.0,0.0,0.0,0.0,0.9416793818307161,0.96,0.8966185302094073,0.9632750976690073,0.9632702371304098,0.9636478857023729,0.004396336639437532,0.00015732460889073829,0.00015732460889073829
0.5,0.0,0.0,0.0,0.0,0.9426624361787171,0.96,0.8962053435133799,0.9633651319083566,0.9633606423333383,0.9637039446570739,0.004808638300083947,0.00017208631169644042,0.00017208631169644042
0.51,0.0,0.0,0.0,0.0,0.9436073021524799,0.96,0.8958147271761069,0.9634464946889147,0.9634423444306297,0.9637543965697899,0.005259406175135208,0.00018822566683984805,0.00018822566683984805
0.52,0.0,0.0,0.0,0.0,0.9445148472781276,0.96,0.8954455243148669,0.963520005570013,0.9635161656435542,0.9637997874319703,0.005752189263910787,0.00020586979934171732,0.00020586979934171732
