rank,count,mass_fraction,cumulative_mass_fraction
1,20,0.093249717578398,0.093249717578398
2,1,0.01771232767373242,0.11096204525213042
3,1,0.01770044789217721,0.12866249314430764
4,1,0.01766272794099467,0.1463252210853023
5,1,0.017634119177280482,0.16395934026258277
6,1,0.017595362894435126,0.18155470315701788
7,1,0.017535466007738854,0.19909016916475675
8,1,0.017385915493392107,0.21647608465814885
9,1,0.017385385454985004,0.23386147011313385
10,1,0.01732312369787892,0.25118459381101277
11,1,0.01730023332396334,0.2684848271349761
12,1,0.017178375845815635,0.28566320298079173
13,1,0.016737768399793608,0.30240097138058536
14,1,0.016602070268126413,0.3190030416487118
15,1,0.016552543472660983,0.3355555851213728
