rank,angle_bin,representative_angle_deg,count,mass_fraction,cumulative_mass_fraction,boundary_tau,max_pairwise_gate_disagreement_off_boundary,mean_pairwise_gate_disagreement_off_boundary
1,53,88.47233995952635,57,0.42067974368705846,0.42067974368705846,0.019164812143760607,0.1581578947368421,0.030692520775623327
2,35,-2.1982710328359225,48,0.32889275916445676,0.7495725028515152,0.020892109093573467,0.12789473684210526,0.03295306084359838
3,36,1.6379329930246032,13,0.10948728865158135,0.8590597915030965,0.020234792267873385,0.11289473684210527,0.04119433198380568
4,52,82.93272821878905,4,0.037422943138675044,0.8964827346417715,0.1810132949778618,0.0,0.0
5,46,52.26882061350304,4,0.020636225094782475,0.917118959736554,1.3884851669426113,0.0,0.0
6,37,8.20342769160322,3,0.01837521841539433,0.9354941781519484,0.10424132060244798,0.0,0.0
7,38,12.86468622258387,2,0.011163478866123747,0.9466576570180721,0.2576215328998717,0.0,0.0
8,39,16.804010267932153,2,0.01057762409925256,0.9572352811173247,0.39272487251193827,0.0,0.0
9,42,33.50959710843755,2,0.009518416837666369,0.9667536979549911,0.9159941705884239,0.0,0.0
10,51,75.65620507568212,1,0.0076651530291643516,0.9744188509841555,0.5505819185237302,0.0,0.0
11,49,66.54794921125328,1,0.006304293624339186,0.9807231446084946,0.9999080443710414,0.0,0.0
12,48,64.46442035070123,1,0.006074215374598312,0.9867973599830929,1.099408713014376,0.0,0.0
13,40,23.583297621937536,1,0.004955422779362772,0.9917527827624557,0.6156823353448753,0.0,0.0
14,43,36.841458300625234,1,0.004753895976059443,0.9965066787385152,1.0107962978626526,0.0,0.0
15,54,90.99932018145148,8,0.002668205637590142,0.9991748843761054,0.022075699792042363,0.07763157894736843,0.03653195488721805
16,34,-6.03543315649122,5,0.0007443217699917147,0.9999192061460971,0.049259247607272835,0.006842105263157895,0.002736842105263158
17,55,98.84575066543444,2,4.4215921060602784e-05,0.9999634220671577,0.2641754871575843,0.0,0.0
18,56,101.78368351505107,1,1.2532284913275592e-05,0.999975954352071,0.4148546258036908,0.0,0.0
19,60,120.23391649349905,1,2.0517077833522147e-06,0.9999780060598543,1.3062012638456695,0.0,0.0
20,10,-127.28123570286807,4,1.984532167983703e-06,0.9999799905920222,1.396053878590654,0.0,0.0
21,4,-157.4275763085656,4,1.9845321679837027e-06,0.9999819751241902,0.5811352217400435,0.0,0.0
22,16,-97.7823360504357,3,1.4885090375602167e-06,0.9999834636332278,0.21824466713250376,0.0,0.0
23,2,-166.2196005860038,3,1.4884252556893068e-06,0.9999849520584835,0.2893091357436326,0.0,0.0
24,6,-148.35548931342157,3,1.4883991259877773e-06,0.9999864404576094,0.8602481450247995,0.0,0.0
25,8,-136.34737657016385,3,1.4883991259877773e-06,0.9999879288567354,1.1889917346261778,0.0,0.0
26,20,-78.24767364840638,2,1.072575080950611e-06,0.9999890014318163,0.41312859621541076,0.0,0.0
27,0,-178.76550867936837,2,1.0016229921139217e-06,0.9999900030548085,0.019331830764565572,0.0,0.0
28,1,-170.20022128427004,2,9.92640944028558e-07,0.9999909956957524,0.15341980923659398,0.0,0.0
29,3,-162.88412586612952,2,9.922660839918516e-07,0.9999919879618364,0.4040527646477061,0.0,0.0
30,9,-132.8555506889414,2,9.922660839918516e-07,0.9999929802279204,1.2756954373080782,0.0,0.0
31,12,-118.31246111073041,2,9.922660839918516e-07,0.9999939724940043,1.2299538363340463,0.0,0.0
32,13,-112.16841267287592,2,9.922660839918516e-07,0.9999949647600883,0.9375536970319838,0.0,0.0
33,14,-108.35487207405565,2,9.922660839918516e-07,0.9999959570261723,0.7492556035700986,0.0,0.0
34,25,-52.90074813654359,1,8.30859128699434e-07,0.999996787885301,1.402944923432032,0.0,0.0
35,65,149.76112661414427,1,6.944932900061293e-07,0.999997482378591,0.8145033187368278,0.0,0.0
36,70,171.47232866455937,1,5.254431323876209e-07,0.9999980078217233,0.10494999004753096,0.0,0.0
37,71,179.3408796610934,1,5.033789340366359e-07,0.9999985112006574,0.020604898686106123,0.0,0.0
38,17,-94.82710592353486,1,4.965332584146102e-07,0.9999990077339158,0.0713777987690798,0.0,0.0
39,7,-142.02169935471736,1,4.961330419959258e-07,0.9999995038669578,1.040296105094805,0.0,0.0
40,5,-151.69318662036963,1,4.961330419959257e-07,0.9999999999999998,0.761290462429991,0.0,0.0
