psi_deg,x1,x2,slope_x2_over_x1,selector_switch_count,first_switch_time,first_switch_transition,actual_persistent_swing,actual_S_normalized,t_reversal_actual,t_rebound_actual,predicted_persistent_swing,predicted_S_normalized,t_reversal_predicted,t_rebound_predicted,selector_model_relative_rms_over_time
-180.0,-1.0,-1.2246467991473532e-16,1.2246467991473532e-16,0,nan,none,2.586241898072661e-05,2.586241898072661e-05,2.8000000000000003,7.760000000000001,0.0,0.0,nan,nan,1.0
-179.977554,-0.9999999232633826,-0.0003917565938821012,0.00039175662394417936,0,nan,none,2.462031742256343e-05,2.462031742256343e-05,1.77,7.61,0.0,0.0,nan,nan,1.0
-179.927554,-0.9999992006195831,-0.0012644208929820293,0.0012644219037361377,0,nan,none,2.3959168962917055e-05,2.3959168962917058e-05,1.74,7.28,0.0,0.0,nan,nan,1.0
-179.877554,-0.9999977164328914,-0.002137084229170444,0.002137089109356842,0,nan,none,2.3385881674609088e-05,2.3385881674609088e-05,1.7000000000000002,6.98,0.0,0.0,nan,nan,1.0
-179.827554,-0.9999954707044375,-0.0030097459378762522,0.003009759569966917,0,nan,none,2.2887117719472272e-05,2.2887117719472272e-05,1.6700000000000002,6.71,0.0,0.0,nan,nan,1.0
-179.777554,-0.9999924634359316,-0.0038824053545296012,0.0038824346147468165,0,nan,none,2.2449436888893892e-05,2.2449436888893896e-05,1.6400000000000001,6.45,0.0,0.0,nan,nan,1.0
-179.727554,-0.9999886946296641,-0.004755061814562384,0.004755115572904926,0,nan,none,2.2064275073174766e-05,2.2064275073174766e-05,1.61,6.21,0.0,0.0,nan,nan,1.0
-179.677554,-0.999984164288505,-0.0056277146534091885,0.005627803773686099,0,nan,none,2.1722897613818404e-05,2.1722897613818404e-05,1.58,5.99,0.0,0.0,nan,nan,1.0
-179.627554,-0.9999788724159043,-0.006500363206506029,0.0065005005463779865,0,nan,none,2.142525250459215e-05,2.142525250459215e-05,1.54,6.0200000000000005,0.0,0.0,nan,nan,1.0
-179.577554,-0.9999728190158921,-0.007373006809293513,0.007373207220321793,0,nan,none,2.1178726872961295e-05,2.1178726872961295e-05,1.51,6.11,0.0,0.0,nan,nan,1.0
-179.527554,-0.9999660040930782,-0.008245644797215578,0.00824592512491861,0,nan,none,2.0980558418814965e-05,2.0980558418814965e-05,1.47,6.21,0.0,0.0,nan,nan,1.0
-179.5,-0.9999619230641713,-0.008726535498373959,0.008726867790758814,0,nan,none,2.0889675588164902e-05,2.0889675588164902e-05,1.46,6.260000000000001,0.0,0.0,nan,nan,1.0
-179.477554,-0.9999584276526525,-0.009118276505720436,0.00911865558963795,0,nan,none,2.0825420232128966e-05,2.082542023212897e-05,1.4400000000000002,6.32,0.0,0.0,nan,nan,1.0
-179.427554,-0.9999500897003849,-0.009990901270261523,0.009991399944026303,0,nan,none,2.071123512253914e-05,2.071123512253914e-05,1.4100000000000001,6.45,0.0,0.0,nan,nan,1.0
-179.377554,-0.9999409902426251,-0.01086351842629579,0.010864159517713013,0,nan,none,2.0637381328458826e-05,2.0637381328458826e-05,1.37,6.61,0.0,0.0,nan,nan,1.0
-179.327554,-0.9999311292863025,-0.011736127309289086,0.011736935640423265,0,nan,none,2.0604539840596292e-05,2.0604539840596295e-05,1.33,6.79,0.0,0.0,nan,nan,1.0
-179.277554,-0.9999205068389269,-0.012608727254710014,0.012609729641979532,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-179.227554,-0.9999091229085876,-0.01348131759803753,0.013482542852316792,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-179.0,-0.9998476951563913,-0.01745240643728344,0.017455064928217513,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-178.854237,-0.9998000599235307,-0.01999600402341271,0.020000002825507027,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-178.5,-0.9996573249755573,-0.026176948307873423,0.026185921569187202,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-178.0,-0.9993908270190958,-0.03489949670250114,0.034920769491747904,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-177.5,-0.9990482215818578,-0.04361938736533607,0.04366094290851213,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-177.0,-0.9986295347545738,-0.05233595624294381,0.05240777928304118,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-176.5,-0.998134798421867,-0.06104853953485675,0.06116262015048418,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-176.0,-0.9975640502598242,-0.06975647374412552,0.06992681194351064,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-175.5,-0.996917333733128,-0.07845909572784507,0.07870170682461858,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-175.0,-0.9961946980917455,-0.0871557427476582,0.08748866352592402,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-174.5,-0.9953961983671789,-0.09584575252022391,0.09628904819753853,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-174.0,-0.9945218953682733,-0.10452846326765373,0.10510423526567673,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-173.5,-0.9935718556765875,-0.11320321376790689,0.11393560830164566,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-173.0,-0.992546151641322,-0.12186934340514755,0.12278456090290467,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-172.5,-0.9914448613738104,-0.13052619222005157,0.13165249758739583,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-172.0,-0.9902680687415704,-0.13917310096006533,0.14054083470239132,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-171.5,-0.9890158633619168,-0.14780941112961082,0.149451001349128,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
-171.0,-0.9876883405951377,-0.15643446504023098,0.1583844403245364,0,nan,none,0.0,0.0,nan,nan,0.0,0.0,nan,nan,1.0
