requested_time,time,root_rank,phi_deg,dV_dphi,kind
1.06,1.06,1,0.737173843383789,-1.6162979040475942,stable
1.07,1.07,1,0.7073795318603515,-1.5577818086686859,stable
1.08,1.08,1,0.6759716033935547,-1.5189756858237975,stable
1.08,1.08,2,83.33871726989744,0.3978005606806253,repeller
1.08,1.08,3,86.43101844787594,-0.39743255204130074,stable
1.12,1.12,1,0.4932361602783203,-1.2409000281781801,stable
1.12,1.12,2,58.634021377563464,0.14552268313640726,repeller
1.12,1.12,3,87.89064598083493,-1.059495102535801,stable
2.0,2.0,1,2.7521732330322264,1.007418478127925,repeller
2.0,2.0,2,89.39312553405759,-3.166818736260844,stable
3.0,3.0,1,1.385162734985351,-0.2401932250139407,stable
3.0,3.0,2,12.984683609008785,0.2864006809049407,repeller
3.0,3.0,3,88.71550559997559,-0.6529356536910167,stable
3.5,3.5,1,5.329412460327147,-0.2501938010373777,stable
3.5,3.5,2,27.496511077880854,0.05730437144809405,repeller
3.5,3.5,3,86.24663352966309,-0.4356389404793777,stable
4.0,4.0,1,6.773908615112303,-0.3627059280055773,stable
4.0,4.0,2,43.23416900634766,0.023253578376462948,repeller
4.0,4.0,3,85.0009654998779,-0.40022324384049224,stable
6.0,6.0,1,7.5492641448974585,-0.14601381737884087,stable
6.0,6.0,2,52.813559722900365,0.013483887274499071,repeller
6.0,6.0,3,84.46796302795408,-0.2510367490922809,stable
10.0,10.0,1,7.924061965942382,-0.1794548809590064,stable
10.0,10.0,2,56.654898071289054,0.007584555813709198,repeller
10.0,10.0,3,84.05798606872557,-0.3833784324987612,stable
