step,time,radius,rate,gate_rate,gate_forcing,eta,eta_smooth,eta_gate,attempts
17001,3.4002000000000003,4.301724132102705e-09,0.08965236354669132,0.0,5.6246036075161865e-06,1.5883819223729022e-05,4.275654257246821e-06,1.1608164966482201e-05,2
17002,3.4004000000000003,8.157141302740923e-09,0.08959524714625612,0.0,5.959482614084435e-06,1.3317040112062575e-05,2.13324422048943e-06,1.1183795891573146e-05,2
17003,3.4006000000000003,1.2216309479572134e-08,0.08953817353556846,0.0,6.401013194497391e-06,1.3893910589398894e-05,2.4628843567144174e-06,1.1431026232684478e-05,2
17004,3.4008000000000003,1.695780896367636e-08,0.0894811471851047,0.0,7.560752570397728e-06,1.6145434583922873e-05,4.017172077144721e-06,1.212826250677815e-05,2
17005,3.4010000000000002,2.2345503021938022e-08,0.08942416729165663,0.0,9.208198089185731e-06,1.7728509869800552e-05,4.499311883132905e-06,1.3229197986667649e-05,2
17006,3.4012000000000002,2.7257801134238772e-08,0.08936722370061664,0.0,8.350939762799229e-06,1.620832934447735e-05,3.533683087571866e-06,1.2674646256905486e-05,2
17007,3.4014,3.167161159388968e-08,0.0893103157288202,0.0,7.439665978113458e-06,1.4626749818385889e-05,2.676348933630423e-06,1.1950400884755466e-05,2
17008,3.4016,3.644629580658961e-08,0.08925345214949272,0.0,7.455570300660394e-06,1.6414805884141275e-05,4.42719247185023e-06,1.1987613412291045e-05,2
17009,3.4018,4.128398407992395e-08,0.08920510787764582,0.0,7.98448993688125e-06,1.6200479461268916e-05,4.127997126807261e-06,1.2072482334461655e-05,2
17010,3.402,4.634975352464911e-08,0.08913984906459968,0.0,8.67888282383879e-06,1.664605357119918e-05,4.448613485965706e-06,1.2197440085233474e-05,2
17011,3.4022,5.08231750584766e-08,0.08912123448052288,0.0,8.482015370316588e-06,1.388075721352675e-05,1.5889701040760078e-06,1.2291787109450742e-05,2
17012,3.4024,5.679035338641738e-08,0.08906451529454587,0.0,8.277615891389796e-06,2.1553478475488534e-05,7.454355881487113e-06,1.4099122594001421e-05,1
17013,3.4026,6.043687568152628e-08,0.08900784784378982,0.0,5.24249890457325e-06,1.2984890499510966e-05,2.4322836077601815e-06,1.0552606891750786e-05,1
17014,3.4028,6.478920966243936e-08,0.08895121978621977,0.0,6.713075938592081e-06,1.5043019459747563e-05,3.891123249703265e-06,1.1151896210044298e-05,1
17015,3.403,6.862725586026824e-08,0.08889463192536459,0.0,5.318605543923269e-06,1.3865690441630154e-05,3.596537722846889e-06,1.0269152718783265e-05,1
17016,3.4032,7.252029425923279e-08,0.08883808179308017,0.0,5.606543428120068e-06,1.3852373928095306e-05,2.9006031061173368e-06,1.0951770821977969e-05,1
17017,3.4034,7.724211689169171e-08,0.08878157584844781,0.0,7.838931037083826e-06,1.5763529054056777e-05,3.7437458339832803e-06,1.2019783220073496e-05,1
17018,3.4036,8.226494490797315e-08,0.08872511571979527,0.0,8.458730418439947e-06,1.6648328522001134e-05,4.17169433351885e-06,1.2476634188482283e-05,1
17019,3.4038000000000004,8.72342097074315e-08,0.08866869644917581,0.0,8.460954911138581e-06,1.637784945186795e-05,3.6666201064073196e-06,1.2711229345460628e-05,1
17020,3.4040000000000004,9.272116192525295e-08,0.0886123199050378,0.0,9.9369278871652e-06,1.7489855070760902e-05,4.720807119674474e-06,1.276904795108643e-05,1
17021,3.4042000000000003,9.806906096197281e-08,0.08855598538269764,0.0,9.56506846661166e-06,1.716597390914582e-05,4.312449335999022e-06,1.2853524573146798e-05,1
17022,3.4044000000000003,1.0304387576199946e-07,0.08849968917404426,0.0,8.249574925436462e-06,1.6615594858680654e-05,4.08458826263296e-06,1.2531006596047694e-05,1
17023,3.4046000000000003,1.0857019060614005e-07,0.08844343349937575,0.0,9.640524390560527e-06,1.798168689306099e-05,3.036225963726012e-06,1.494546092933498e-05,1
17024,3.4048000000000003,1.1574540044726741e-07,0.08843201331312331,0.0,8.529269439244429e-06,2.733685642712587e-05,2.6475866930552665e-06,2.4689269734070603e-05,1
17025,3.4050000000000002,1.2362381224186692e-07,0.08837586088469929,0.0,8.283824096507393e-06,3.109765264682129e-05,6.203781284590849e-06,2.489387136223044e-05,1
17026,3.4052000000000002,1.3411781998214316e-07,0.08831977627656053,0.0,7.704470232903124e-06,4.475418162756832e-05,2.1882557243225008e-05,2.287162438434331e-05,1
17027,3.4054,1.4351806518473916e-07,0.08826371501050706,0.0,7.947544072523795e-06,3.904142435368077e-05,1.4112226839214428e-05,2.492919751446634e-05,1
17028,3.4056,1.4786316249540155e-07,0.0881642764703923,1.0,8.203235372292395e-06,1.3363710945177116e-05,4.486058872266432e-06,8.877652072910684e-06,1
17029,3.4058,1.5213602961756201e-07,0.08810818602867838,0.0,8.316791103530222e-06,1.3034323314794687e-05,2.902921921116406e-06,1.0131401393678282e-05,1
17030,3.406,1.5611336206275215e-07,0.0880842494844537,0.0,7.69970123006453e-06,1.2173380037503832e-05,5.347398065132105e-06,6.825981972371727e-06,1
17031,3.4062,1.5950714518904147e-07,0.08806542249504938,3.0,6.9108113870470864e-06,9.570771397002378e-06,4.063231955307441e-06,5.507539441694936e-06,1
17032,3.4064,1.6321834092593538e-07,0.08800939719566686,0.0,7.2952926323820845e-06,1.1246479614048016e-05,3.2051974430966274e-06,8.041282170951389e-06,1
17033,3.4066,1.6765049823224138e-07,0.08795341694167173,0.0,8.276801104915657e-06,1.3869429903909779e-05,5.050234586457389e-06,8.81919531745239e-06,1
17034,3.4068,1.7167137692125933e-07,0.08791876353973847,0.0,7.929990643704943e-06,1.2159481421235569e-05,3.508368216340821e-06,8.651113204894747e-06,1
17035,3.407,1.758855644130719e-07,0.08786292122579352,0.0,6.777394411537978e-06,1.427826936315238e-05,6.490912021039208e-06,7.787357342113172e-06,1
17036,3.4072,1.7953916325351364e-07,0.08780710883377778,0.0,7.50278136551134e-06,1.0749603427440905e-05,2.1833804188888705e-06,8.566223008552035e-06,1
17037,3.4074,1.8342613814985025e-07,0.08775134004574583,0.0,7.577433970299454e-06,1.1841510165215056e-05,2.726266874209448e-06,9.115243291005609e-06,1
17038,3.4076,1.8757705648079086e-07,0.08769561396306909,3.0,6.989216123005502e-06,1.3192598723461412e-05,4.9282003659149e-06,8.264398357546513e-06,1
17039,3.4078000000000004,1.9090986453962388e-07,0.08763991794017172,0.0,8.27518184855384e-06,8.372268163777173e-06,1.7429701457371257e-06,6.629298018040047e-06,1
17040,3.4080000000000004,1.9542729722490425e-07,0.08758427370693435,0.0,8.855628606367782e-06,1.3714611289818541e-05,5.714460474143028e-06,8.000150815675513e-06,1
17041,3.4082000000000003,1.986585577376307e-07,0.08752865872611021,0.0,7.928986121338877e-06,8.210064538602345e-06,2.2310740529127826e-06,5.978990485689562e-06,1
17042,3.4084000000000003,2.021454689773356e-07,0.08747308580582107,0.3,7.369763686453238e-06,9.987137133462158e-06,3.937388486930903e-06,6.049748646531254e-06,1
17043,3.4086000000000003,2.0532938379852042e-07,0.08741754998862025,0.0,6.654777582640016e-06,9.246981296050701e-06,3.427670381413025e-06,5.819310914637677e-06,1
17044,3.4088000000000003,2.0944133024073572e-07,0.08736396586699119,0.0,8.417993336089167e-06,1.2123615867254786e-05,5.232426230227621e-06,6.891189637027164e-06,1
17045,3.4090000000000003,2.140720139742009e-07,0.0873085053448443,0.3,8.435899704734604e-06,1.4635498813121059e-05,6.4155813714032685e-06,8.21991744171779e-06,1
17046,3.4092000000000002,2.1837640138542632e-07,0.0872530816367052,0.0,8.102348975647948e-06,1.34007168515325e-05,5.105499791279604e-06,8.295217060252896e-06,1
17047,3.4094,2.2314065149320598e-07,0.08724894616903785,0.0,1.0226813699972987e-05,1.3575170889667823e-05,4.61982691410822e-06,8.955343975559604e-06,1
17048,3.4096,2.2758707483508093e-07,0.08719498047302746,0.0,9.662214247342735e-06,1.2550246863852968e-05,3.3715057473270805e-06,9.178741116525888e-06,1
17049,3.4098,2.3688466454652013e-07,0.08713970111241684,0.0,1.0131277684314485e-05,3.633642890864479e-05,1.7296829795058842e-05,1.903959911358595e-05,1
17050,3.41,2.4018019142246793e-07,0.08708440551987028,0.0,7.915378549870073e-06,8.541478374439841e-06,2.0332373693356836e-06,6.508241005104158e-06,1
17051,3.4102,2.4310998282618535e-07,0.08702914700503227,1.0,6.413681674442537e-06,7.97259514823634e-06,2.363449990127536e-06,5.609145158108804e-06,1
17052,3.4104,2.4460523547021794e-07,0.08697261464781973,0.3,3.7019978920371033e-06,3.6798941142141504e-06,1.002978694951741e-06,2.6769154192624094e-06,1
17053,3.4106,2.466850946258657e-07,0.08691744066548601,0.0,5.2361525722579176e-06,5.141787355994895e-06,2.0168708685106367e-06,3.124916487484258e-06,1
17054,3.4108,2.497913032559661e-07,0.08686231822279267,0.0,5.12503953674733e-06,1.0384436067508157e-05,3.2512274875319763e-06,7.13320857997618e-06,1
17055,3.411,2.5273082543012935e-07,0.08680723214365962,3.0,4.710468213183072e-06,9.211543654157605e-06,3.028777506728827e-06,6.182766147428779e-06,1
17056,3.4112,2.569032119569897e-07,0.08676812784224254,0.0,5.14416852111372e-06,1.5695649116815987e-05,7.3023318392746466e-06,8.393317277541343e-06,1
17057,3.4114,2.607903166594376e-07,0.08671319140506956,0.0,6.1985572765045105e-06,1.3214515805943504e-05,4.417191120350445e-06,8.797324685593059e-06,1
17058,3.4116,2.6485682680619286e-07,0.08665829621611325,0.0,7.151780705051183e-06,1.3157989185021437e-05,4.831115927081439e-06,8.326873257939997e-06,1
17059,3.4118,2.6867608607369275e-07,0.08660343718868886,3.0,7.71016423889124e-06,1.056272544387606e-05,3.7681297417426973e-06,6.794595702133363e-06,1
17060,3.4120000000000004,2.734610145601653e-07,0.08654862794858283,0.0,9.11815438097234e-06,1.4783022439553766e-05,5.51691284594934e-06,9.266109593604425e-06,1
17061,3.4122000000000003,2.7693736684685646e-07,0.08649384744299068,3.0,7.529840314890585e-06,9.002516061750627e-06,3.5634055136709022e-06,5.439110548079726e-06,1
17062,3.4124000000000003,2.7933258271987154e-07,0.08643909930796607,0.0,5.833709012212204e-06,6.1183236151017305e-06,1.8604749531200797e-06,4.2578486619816506e-06,1
17063,3.4126000000000003,2.815185492002843e-07,0.0863843853788941,0.1,4.653197342517334e-06,6.224363112741669e-06,2.0058680891733097e-09,6.222357244652496e-06,1
17064,3.4128000000000003,2.8449409931628106e-07,0.08635403287846306,1.0,5.005922492800974e-06,9.56437808314257e-06,2.7917790488389505e-06,6.772599034303619e-06,1
17065,3.4130000000000003,2.8998524241525363e-07,0.08629932338642338,3.0,5.684863475561138e-06,2.088434028929355e-05,1.0149857560930886e-05,1.0734482728362665e-05,1
17066,3.4132000000000002,2.9436945267869794e-07,0.08624464096931045,0.0,7.333173904633428e-06,1.456267368126418e-05,5.583087589745579e-06,8.9795860915186e-06,1
17067,3.4134,2.984309016872708e-07,0.08618999584155658,0.0,7.731969679926398e-06,1.2549723631952799e-05,4.422715129481379e-06,8.12700850247142e-06,1
17068,3.4136,3.0202174249259404e-07,0.08616087570641473,3.0,7.45978940774728e-06,9.56786345982005e-06,3.8835554654998495e-06,5.684307994320201e-06,1
17069,3.4138,3.057203847733272e-07,0.08610631824652089,3.0,8.08032453978852e-06,9.47510404158316e-06,4.0384817686481914e-06,5.436622272934968e-06,1
17070,3.414,3.0859525705723253e-07,0.08605179436956815,3.0,7.1759341043396215e-06,6.250517827121235e-06,1.7968353769399481e-06,4.453682450181287e-06,1
17071,3.4142,3.1220129139125725e-07,0.08599731550088896,3.0,6.950922990298798e-06,1.0121356011175394e-05,4.213117971312952e-06,5.908238039862442e-06,1
17072,3.4144,3.1600299069123227e-07,0.08596808252148457,0.0,9.047759376271449e-06,9.933729363753319e-06,3.0993054047503147e-06,6.834423959003004e-06,1
17073,3.4146,3.212448722041313e-07,0.08591365986002206,0.03,9.851809501431293e-06,1.6320660196676183e-05,4.613738626070374e-06,1.170692157060581e-05,1
17074,3.4148,3.260213762758389e-07,0.08585927279199085,3.0,8.842834632831868e-06,1.4040995206273486e-05,3.0693616250096395e-06,1.0971633581263846e-05,1
17075,3.415,3.3079279692829135e-07,0.0858049243177448,0.3,9.808463049958979e-06,1.3921934151487088e-05,2.751571432575192e-06,1.1170362718911897e-05,1
17076,3.4152,3.364389234091922e-07,0.08578938412390986,3.0,9.693923269887194e-06,1.7507236750843224e-05,5.945242412678886e-06,1.1561994338164337e-05,1
17077,3.4154,3.4227707899291463e-07,0.0857351082946894,3.0,9.060837969133183e-06,1.9082766977215975e-05,6.847292551892989e-06,1.2235474425322985e-05,1
17078,3.4156,3.467396049390853e-07,0.08568085943140034,3.0,7.547950515700041e-06,1.3701632126404174e-05,3.527449100595991e-06,1.0174183025808183e-05,1
17079,3.4158,3.507716008965776e-07,0.08562664365087891,3.0,6.9737514385610495e-06,1.2110094408020499e-05,2.581424042793511e-06,9.528670365226987e-06,1
17080,3.4160000000000004,3.557731648057111e-07,0.08557247335509378,1.0,8.488571027484126e-06,1.6135740840763628e-05,5.284026797187795e-06,1.0851714043575833e-05,1
17081,3.4162000000000003,3.6049847801838106e-07,0.08551833824579808,3.0,8.725102385150448e-06,1.379642478317333e-05,3.450651704156659e-06,1.0345773079016671e-05,1
17082,3.4164000000000003,3.6676009615475156e-07,0.08547551790079759,1.0,9.432121717900321e-06,2.1481253396900027e-05,1.006190869251996e-05,1.1419344704380066e-05,1
17083,3.4166000000000003,3.716918006194988e-07,0.08542159056438765,3.0,8.464836944118131e-06,1.5054463448835149e-05,4.372965876749258e-06,1.0681497572085891e-05,1
17084,3.4168000000000003,3.758590158023622e-07,0.08541511713014585,1.0,7.219591499322096e-06,1.3210778016999977e-05,3.1952660154689443e-06,1.0015512001531033e-05,1
17085,3.4170000000000003,3.799740964533169e-07,0.08536110962390896,1.0,6.277354308667004e-06,1.3887868092838513e-05,2.918585883391263e-06,1.0969282209447249e-05,1
17086,3.4172000000000002,3.839460435962162e-07,0.08530713577482808,3.0,6.283333329146209e-06,1.239793388550231e-05,1.2027581420266597e-06,1.119517574347565e-05,1
17087,3.4174,3.88742524646692e-07,0.0852532100871628,3.0,6.199159277370135e-06,1.6591271792767946e-05,5.546335969732166e-06,1.1044935823035781e-05,1
17088,3.4176,3.9383129855173124e-07,0.08519932321325047,0.0,8.102783262067716e-06,1.7307743881766778e-05,5.086223815890626e-06,1.2221520065876152e-05,1
17089,3.4178,3.985847076154636e-07,0.08514546977931599,0.0,9.713692699173786e-06,1.401961230155896e-05,2.1296571176608825e-06,1.1889955183898078e-05,1
