step,time,rate_upper,gate_rate,gate_forcing_upper,eta_upper,eta_smooth_upper,eta_gate_upper,tube_radius_upper,radius_upper
17001,3.4002,0.09205124692705224,1.0,1.2921360518046193e-05,1.5881842698791457e-05,4.273658674846465e-06,1.160818402394499e-05,2.006452586198154e-06,1.0059797038832906e-06
17002,3.4004,0.09199311065001804,1.0,1.3580693889180014e-05,1.3315061776795541e-05,2.1312481373587274e-06,1.1183813639436812e-05,2.0122357119541115e-06,1.0115791710334029e-06
17003,3.4006,0.09193501885174737,1.0,1.3344834526066962e-05,1.38919345613527e-05,2.460888347445103e-06,1.1431046213907595e-05,2.0183244642193583e-06,1.0172480595783868e-06
17004,3.4008,0.0918769778866355,1.0,1.3142647411393493e-05,1.614346179536652e-05,4.0151764235472034e-06,1.2128285371819313e-05,2.0254367134455146e-06,1.023328087207207e-06
17005,3.401,0.09181898680768233,1.0,1.3380169160650759e-05,1.772653969650398e-05,4.497316223607648e-06,1.3229223472896331e-05,2.033518254532907e-06,1.0297735904923824e-06
17006,3.4012,0.09181519788339063,1.0,1.3558593752454929e-05,1.6206355371783226e-05,3.5316873392622125e-06,1.2674668032521012e-05,2.0408867017013583e-06,1.0359521193651476e-06
17007,3.4014,0.09175725269578253,1.0,1.3680425022720323e-05,1.4624772451906082e-05,2.674352977170858e-06,1.1950419474735221e-05,2.0475074173908346e-06,1.041840003298631e-06
17008,3.4016,0.09169935421697249,1.0,1.4022815327525357e-05,1.6412830073479185e-05,4.425196938060411e-06,1.1987633135418771e-05,2.054669443709884e-06,1.0481552970057093e-06
17009,3.4018,0.09164149764363823,1.0,1.3834034766860896e-05,1.619850379849518e-05,4.126001515089423e-06,1.2072502283405754e-05,2.061925976119886e-06,1.0543913274086036e-06
17010,3.402,0.09158368538950204,1.0,1.3935607811227628e-05,1.664407845381796e-05,4.446617827855419e-06,1.2197460625962539e-05,2.0695246302869735e-06,1.0607381487192669e-06
17011,3.4022,0.09152590612223684,1.0,1.325402162452672e-05,1.3878781765113365e-05,1.5869738937237698e-06,1.2291807871389594e-05,2.076234762587715e-06,1.0663968916749628e-06
17012,3.4024,0.09146818932581194,1.0,1.3808480514818387e-05,2.1551505429153565e-05,7.4523610391465e-06,1.4099144390007061e-05,2.085185530079626e-06,1.0737024738726959e-06
17013,3.4026,0.09141048076439601,1.0,1.392167729674374e-05,1.2982911125239916e-05,2.4302875845889434e-06,1.055262354065097e-05,2.090655313522289e-06,1.0793183744867146e-06
17014,3.4028,0.09135282380495084,1.0,1.3951407347845424e-05,1.5041036144725703e-05,3.889127596289251e-06,1.1151908548436452e-05,2.097183814493659e-06,1.0853531051944661e-06
17015,3.403,0.09129520043771386,1.0,1.347132733119158e-05,1.3863715351359655e-05,3.5945419813931865e-06,1.0269173369966466e-05,2.1029408837904024e-06,1.091057624366666e-06
17016,3.4032,0.09123761902373993,1.0,1.4019891167877439e-05,1.3850393750417292e-05,2.898607208479955e-06,1.0951786541937335e-05,2.1087804413888492e-06,1.0968704362680003e-06
