step,radius
17000,2.006452586198154e-06
17001,2.0122357119541115e-06
17002,2.0183244642193583e-06
17003,2.0254367134455146e-06
17004,2.033518254532907e-06
17005,2.0408867017013583e-06
17006,2.0475074173908346e-06
17007,2.054669443709884e-06
17008,2.061925976119886e-06
17009,2.0695246302869735e-06
17010,2.076234762587715e-06
17011,2.085185530079626e-06
17012,2.090655313522289e-06
17013,2.097183814493659e-06
17014,2.1029408837904024e-06
17015,2.1087804413888492e-06
17016,2.1158631753375374e-06
17017,2.1233974173619598e-06
17018,2.130851314561147e-06
17019,2.1390817428878795e-06
17020,2.147103591442959e-06
17021,2.1545658136429993e-06
17022,2.16285528590921e-06
17023,2.173618100670901e-06
17024,2.1854357183628003e-06
17025,2.2011767299732146e-06
17026,2.2152770977771087e-06
17027,2.221794743743102e-06
17028,2.228204044426343e-06
17029,2.2341700430941282e-06
17030,2.2392607177835622e-06
17031,2.244827511388903e-06
17032,2.251475747348362e-06
17033,2.2575070653818887e-06
17034,2.2638283466196075e-06
17035,2.2693087448802705e-06
17036,2.2751392072247755e-06
17037,2.2813655847211863e-06
17038,2.2863647968094357e-06
17039,2.2931409458373563e-06
17040,2.297987836606446e-06
17041,2.303218203466003e-06
17042,2.3079940756977806e-06
17043,2.3141619953611034e-06
17044,2.3211080209613015e-06
17045,2.3275646020781393e-06
17046,2.3347109772398088e-06
17047,2.3413806122526213e-06
17048,2.35532699681978e-06
17049,2.360270287133702e-06
17050,2.364664974239278e-06
17051,2.366907853205327e-06
17052,2.3700276419387983e-06
17053,2.374686954883949e-06
17054,2.379096238145194e-06
17055,2.3853548179354843e-06
17056,2.3911854749891563e-06
17057,2.3972852402092893e-06
17058,2.403014129110539e-06
17059,2.4101915218402477e-06
17060,2.4154060502702847e-06
17061,2.4189988740798074e-06
17062,2.4222778238004264e-06
17063,2.4267411489744214e-06
17064,2.4349778636228803e-06
17065,2.441554179018047e-06
17066,2.4476463525309064e-06
17067,2.453032613738891e-06
17068,2.4585805771599908e-06
17069,2.4628928855858487e-06
17070,2.4683019370868855e-06
17071,2.4740044860368484e-06
17072,2.481867308306197e-06
17073,2.4890320644137583e-06
17074,2.496189195392437e-06
17075,2.5046583851137883e-06
17076,2.5134156184893716e-06
17077,2.520109407408628e-06
17078,2.5261574013448665e-06
17079,2.5336597472085664e-06
17080,2.5407477170275716e-06
17081,2.550140144232127e-06
17082,2.557537700929248e-06
17083,2.563788523703543e-06
17084,2.5699611446799752e-06
17085,2.575919065394324e-06
17086,2.583113786970038e-06
17087,2.5907469478275967e-06
17088,2.5978770614231953e-06
17089,2.607025490303385e-06
17090,2.6166161237414763e-06
17091,2.6260730811564315e-06
17092,2.6345977720821725e-06
17093,2.64174102102398e-06
17094,2.649660551895783e-06
17095,2.656920603993648e-06
17096,2.6640905552795846e-06
17097,2.67045218418401e-06
17098,2.6770371999374985e-06
17099,2.6839417332763944e-06
17100,2.689888185277555e-06
17101,2.6951515251726718e-06
17102,2.7031369911045633e-06
17103,2.7088511097316654e-06
