step,time,radius,rate,gate_rate,gate_forcing,eta,eta_smooth,eta_gate,attempts
1,0.0002,5.363624343116561e-12,4.576159167494957,0.0,1.0788522094948045e-08,1.6012331380999212e-08,2.085662751545037e-09,1.3926668629454174e-08,2
2,0.0004,1.0826547847061787e-11,4.578447222294059,0.0,1.1048411409299075e-08,1.6224147383380543e-08,2.1136805771299225e-09,1.4110466806250622e-08,2
3,0.0006000000000000001,1.687974004610146e-11,4.581280326699852,0.0,1.2334088495272082e-08,1.7863411771726528e-08,2.1283983451562356e-09,1.573501342657029e-08,2
4,0.0008,2.2865959775067964e-11,4.581279906273177,0.0,1.2343336762187056e-08,1.7491723178837752e-08,2.070517507859843e-09,1.542120567097791e-08,2
5,0.001,2.9070950057507327e-11,4.581279485085173,0.0,1.2861312588161732e-08,1.8039674534930532e-08,2.084761705446619e-09,1.5954912829483915e-08,2
6,0.0012000000000000001,3.521879365073355e-11,4.578937268331707,0.0,1.2656111154705234e-08,1.7930921896980215e-08,2.0829988578555535e-09,1.5847923039124663e-08,2
7,0.0014,4.0858730738764264e-11,4.578916722522024,0.0,1.1539133902332285e-08,1.6481379473235354e-08,2.0743379398850405e-09,1.4407041533350312e-08,2
8,0.0016,4.633773116670637e-11,4.578916299244455,0.0,1.1142359571822513e-08,1.604801412102611e-08,2.092479759138064e-09,1.3955534361888047e-08,1
9,0.0018000000000000002,5.187271534966037e-11,4.576889477826625,0.0,1.121222339596834e-08,1.623295255944115e-08,2.19513878008153e-09,1.4037813779359619e-08,1
10,0.002,5.7147616070208756e-11,4.576889053194693,0.0,1.070860284764501e-08,1.541141790381711e-08,2.054816786764322e-09,1.3356601117052789e-08,1
11,0.0022,6.232775792370005e-11,4.579335804696168,0.0,1.0569060038457699e-08,1.5053094399537632e-08,2.054318964366605e-09,1.2998775435171025e-08,1
12,0.0024000000000000002,6.768863909461102e-11,4.574673549821848,0.0,1.0668595385898114e-08,1.583342333890804e-08,2.123590690380864e-09,1.3709832648527177e-08,1
13,0.0026000000000000003,7.28599024876752e-11,4.576810279492666,0.0,1.0211477770882403e-08,1.531821128258041e-08,2.0971290241673446e-09,1.3221082258413067e-08,1
