step,t_left,t_right,flow_tube_radius,prescribed_guard_radius,reference_motion_upper,midpoint_rounding_upper,static_radius,probe_central_margin_lower,probe_sector_margin_lower,status,training_ambiguous_pairs,training_gate_assignment_status,speed_upper,parameter_norm_upper,field_lipschitz_upper,training_gate_correction_upper,G_center_lower,G_center_upper,G_budget_upper,G_lower,G_upper,E_center_lower,E_center_upper,E_budget_upper,E_lower,E_upper,Xi_center_lower,Xi_center_upper,Xi_budget_upper,Xi_lower,Xi_upper,sector_rate_cost_upper,E_sector_lower,E_sector_upper,Xi_sector_lower,Xi_sector_upper
17001,3.4,3.4002,1.2010770530176763e-05,1.651377149688585e-05,9.410966630392122e-06,6.636534637665315e-16,2.1421737161232545e-05,2.556470450211837e-05,2.5563689649434022e-05,ENCLOSED,2437,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.3845962392820787,1.9925733267919612,18.11175959924406,0.0001470424211859362,-0.001048976255297424,-0.0010489762552797284,9.53786667348332e-05,-0.0011443549220322574,-0.0009535975885448951,-0.0012967579989034079,-0.001296757998888193,8.67803334934842e-05,-0.0013835383323968923,-0.0012099776653947086,-0.0002477817436086474,-0.00024778174360580224,4.1830978990750064e-05,-0.00028961272259939755,-0.00020595076461505215,4.575294201168771e-06,-0.0013881136265980613,-0.0012054023711935396,-0.0002941880168005664,-0.00020137547041388336
17002,3.4002,3.4004,1.2020943681597324e-05,1.6526774442506137e-05,9.404773472437376e-06,6.636575950392532e-16,2.1425717154698368e-05,2.5562080302286688e-05,2.5561065438988993e-05,ENCLOSED,2439,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.38451617226085194,1.9925857352756957,18.111941388669816,0.00014750407358416756,-0.0010476523143774059,-0.0010476523143597104,9.5466612201026e-05,-0.001143118926578432,-0.0009521857021586843,-0.001295464176677468,-0.0012954641766622533,8.686026975083211e-05,-0.0013823244464283005,-0.001208603906911421,-0.00024781186230272495,-0.0002478118622998798,4.18556551019109e-05,-0.0002896675174046359,-0.00020595620719796886,4.574408068897914e-06,-0.0013868988544971986,-0.0012040294988425228,-0.0002942419254735339,-0.00020138179912907093
17003,3.4004,3.4006,1.2031163423889076e-05,1.6539841622704537e-05,9.398629491309175e-06,6.636617233031566e-16,2.142979291586192e-05,2.5559409108076023e-05,2.555839423411835e-05,ENCLOSED,2442,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.38443619446162663,1.9925981348206987,18.11212306487315,0.00014906090576412086,-0.001046336584848677,-0.001046336584830982,9.573814119990567e-05,-0.0011420747260485829,-0.0009505984436310762,-0.0012941808546964892,-0.0012941808546812748,8.710679790230333e-05,-0.0013812876525987926,-0.0012070740567789713,-0.00024784426985047497,-0.0002478442698476299,4.19427936001705e-05,-0.0002897870634506455,-0.0002059014762474594,4.573522923336091e-06,-0.001385861175522129,-0.001202500533855635,-0.00029436058637398167,-0.00020132795332412326
17004,3.4006,3.4008,1.2041788039332667e-05,1.6553474943370194e-05,9.392518867854557e-06,6.636658485603117e-16,2.1434306907850898e-05,2.5556333935321216e-05,2.5555319050298657e-05,ENCLOSED,2444,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.3843563119098308,1.9926105257758253,18.112304637114217,0.00015153354116101013,-0.0010450016748739007,-0.0010450016748562061,9.616437635137045e-05,-0.0011411660512252713,-0.0009488372985048356,-0.0012928800435458322,-0.0012928800435306179,8.749371879189224e-05,-0.0013803737623377247,-0.0012053863247387254,-0.00024787836867459415,-0.0002478783686717492,4.2082726850823915e-05,-0.0002899610955254181,-0.00020579564182092525,4.572638838106422e-06,-0.0013849464011758312,-0.0012008136859006189,-0.0002945337343635246,-0.0002012230029828188
17005,3.4008,3.401,1.2052743038904743e-05,1.6567541979654294e-05,9.386381801164277e-06,6.636699708128965e-16,2.14391248407327e-05,2.555293446491765e-05,2.5551919568499776e-05,ENCLOSED,2445,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.3842765219943053,1.992622908013181,18.112486101790342,0.00015191560508826427,-0.0010436518815306745,-0.0010436518815129798,9.624178656622596e-05,-0.0011398936680969006,-0.0009474100949467538,-0.0012915647187088566,-0.0012915647186936422,8.756410710645649e-05,-0.0013791288258153133,-0.0012040006115871854,-0.000247912837180845,-0.00024791283717800014,4.210419153951893e-05,-0.000290017028720364,-0.0002058086456384812,4.5717557815361e-06,-0.0013837005815968498,-0.001199428855805649,-0.0002945887845019001,-0.00020123688985694506
17006,3.401,3.4012,1.2063421832339849e-05,1.658127445984213e-05,9.380254601904312e-06,6.636740900627503e-16,2.1443676434907844e-05,2.5549810796523493e-05,2.5548795888986477e-05,ENCLOSED,2447,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.38419681417680596,1.992635280968879,18.112667443521012,0.00015186096012930673,-0.0010423109185001287,-0.0010423109184824345,9.624524904978833e-05,-0.0011385561675499173,-0.0009460656694326461,-0.001290258145471658,-0.001290258145456444,8.756738998690778e-05,-0.001377825535458566,-0.001202690755469536,-0.00024794722697419166,-0.0002479472269713469,4.210041522891374e-05,-0.00029004764220310546,-0.00020584681174243315,4.570873625310409e-06,-0.0013823964090838767,-0.0011981198818442253,-0.0002946185158284159,-0.00020127593811712272
17007,3.4012,3.4014,1.2073771688117796e-05,1.6594575865062542e-05,9.37410800805104e-06,6.636782063123496e-16,2.1447879696832523e-05,2.5547015661721446e-05,2.5546000743394183e-05,ENCLOSED,2448,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.384117187013215,1.9926476445673205,18.112848660224607,0.00015172568510178787,-0.001040989645453718,-0.0010409896454360238,9.623405690802782e-05,-0.001137223702361746,-0.0009447555885279959,-0.001288969001573408,-0.001288969001558194,8.75573704482926e-05,-0.0013765263720217006,-0.0012014116311099012,-0.0002479793561223522,-0.0002479793561195076,4.2091487346111336e-05,-0.0002900708434684636,-0.00020588786877339622,4.569992351915384e-06,-0.0013810963643736162,-0.0011968416387579857,-0.00029464083582037904,-0.0002013178764214808
17008,3.4014,3.4016,1.208446916936866e-05,1.6608370576828075e-05,9.368023699440441e-06,6.636823195637088e-16,2.145249286947279e-05,2.5543872497443908e-05,2.554285756797873e-05,ENCLOSED,2450,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.38403765420619307,1.9926599995731298,18.11302977245202,0.00015168757221018338,-0.0010396606050185762,-0.0010396606050008825,9.62404854663121e-05,-0.0011359010904848886,-0.0009434201195345702,-0.0012876736107912603,-0.0012876736107760463,8.756334546517753e-05,-0.001375236956256438,-0.0012001102653108687,-0.0002480130057753461,-0.00024801300577250145,4.208874184405785e-05,-0.00029010174761940396,-0.00020592426392844357,4.569112128535183e-06,-0.0013798060683849734,-0.0011955411531823332,-0.0002946708597479392,-0.00020135515179990835
17009,3.4016,3.4018,1.2095141378079594e-05,1.6622143384253307e-05,9.361904016491776e-06,6.636864298189519e-16,2.1457045395235065e-05,2.554075420176624e-05,2.553973926118838e-05,ENCLOSED,2447,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.38395820699631056,1.9926723455221276,18.113210767499076,0.00015083299411267135,-0.0010382518442470636,-0.0010382518442293698,9.611008217630989e-05,-0.0011343619264233737,-0.0009421417620530598,-0.0012863023700194853,-0.0012863023700042714,8.744515155772998e-05,-0.0013737475215772155,-0.0011988572184465412,-0.00024805052577508437,-0.00024805052577223986,4.2039454933515e-05,-0.00029008998070859945,-0.00020601107083872484,4.568232848548211e-06,-0.001378315754425764,-0.0011942889855979927,-0.0002946582135571477,-0.0002014428379901766
17010,3.4018,3.402,1.21059034829403e-05,1.6636044821801494e-05,9.355788103625977e-06,6.636905370802094e-16,2.1461691587229975e-05,2.55375456060613e-05,2.553653065428083e-05,ENCLOSED,2443,UNRESOLVED_BUT_ALL_SELECTORS_ENCLOSED,0.38387884819000656,1.9926846825749975,18.113391649644342,0.0001504884178485689,-0.0010369150989089633,-0.0010369150988912695,9.606533155283566e-05,-0.0011329804304617992,-0.0009408497673384338,-0.0012849994497588636,-0.00128499944974365,8.740468383985751e-05,-0.0013724041335987213,-0.0011975947659037924,-0.00024808435085256237,-0.00024808435084971796,4.201932608531238e-05,-0.0002901036769378748,-0.00020606502476440555,4.567354546275541e-06,-0.0013769714881449971,-0.0011930274113575166,-0.0002946710314841504,-0.00020149767021813
