step,time,rate_upper,gate_rate,gate_forcing_upper,eta_upper,eta_smooth_upper,eta_gate_upper,tube_radius_upper,radius_upper
17001,3.4002,0.10485746470698308,1.0,2.4706568877317625e-05,1.5881842698791457e-05,4.273658674846465e-06,1.160818402394499e-05,1.651377149688585e-05,1.2010770530176763e-05
17002,3.4004,0.10479509719976518,1.0,2.42756355137195e-05,1.3315061776795541e-05,2.1312481373587274e-06,1.1183813639436812e-05,1.6526774442506137e-05,1.2020943681597324e-05
17003,3.4006,0.10473277566087631,1.0,2.392120158371176e-05,1.38919345613527e-05,2.460888347445103e-06,1.1431046213907595e-05,1.6539841622704537e-05,1.2031163423889076e-05
17004,3.4008,0.1046976297109815,1.0,2.368294942789921e-05,1.614346179536652e-05,4.0151764235472034e-06,1.2128285371819313e-05,1.6553474943370194e-05,1.2041788039332667e-05
17005,3.401,0.10467729090835252,1.0,2.3740117728078347e-05,1.772653969650398e-05,4.497316223607648e-06,1.3229223472896331e-05,1.6567541979654294e-05,1.2052743038904743e-05
17006,3.4012,0.10461507718833145,1.0,2.3868072360540603e-05,1.6206355371783226e-05,3.5316873392622125e-06,1.2674668032521012e-05,1.658127445984213e-05,1.2063421832339849e-05
17007,3.4014,0.10455290450103841,1.0,2.3794103043514035e-05,1.4624772451906082e-05,2.674352977170858e-06,1.1950419474735221e-05,1.6594575865062542e-05,1.2073771688117796e-05
17008,3.4016,0.10449078174367335,1.0,2.3733299233219578e-05,1.6412830073479185e-05,4.425196938060411e-06,1.1987633135418771e-05,1.6608370576828075e-05,1.208446916936866e-05
17009,3.4018,0.10447257136849025,1.0,2.3809681655134622e-05,1.619850379849518e-05,4.126001515089423e-06,1.2072502283405754e-05,1.6622143384253307e-05,1.2095141378079594e-05
17010,3.402,0.10446305243729234,1.0,2.3801866128823798e-05,1.664407845381796e-05,4.446617827855419e-06,1.2197460625962539e-05,1.6636044821801494e-05,1.21059034829403e-05
17011,3.4022,0.10444627137567454,1.0,2.3100220620879942e-05,1.3878781765113365e-05,1.5869738937237698e-06,1.2291807871389594e-05,1.6649010525765182e-05,1.2115974459654493e-05
17012,3.4024,0.1043842699187857,1.0,2.2644695003493072e-05,2.1551505429153565e-05,7.4523610391465e-06,1.4099144390007061e-05,1.6663935248498505e-05,1.2127491109896535e-05
17013,3.4026,0.10432228969962927,1.0,2.212972677956977e-05,1.2982911125239916e-05,2.4302875845889434e-06,1.055262354065097e-05,1.6676414539107306e-05,1.2137193240616138e-05
17014,3.4028,0.10426035935082277,1.0,2.1832646158385092e-05,1.5041036144725703e-05,3.889127596289251e-06,1.1151908548436452e-05,1.6689349596780292e-05,1.214724961179497e-05
17015,3.403,0.10419846905020623,1.0,2.1474028239849635e-05,1.3863715351359655e-05,3.5945419813931865e-06,1.0269173369966466e-05,1.670182124199846e-05,1.2157000832086736e-05
17016,3.4032,0.10413662358524974,1.0,2.1459158892706334e-05,1.3850393750417292e-05,2.898607208479955e-06,1.0951786541937335e-05,1.6714286239664312e-05,1.2166748416812612e-05
17017,3.4034,0.10407482754410488,1.0,2.1312538594746786e-05,1.5761545948926052e-05,3.74175011699705e-06,1.2019795831928997e-05,1.672727969642246e-05,1.2176850949207483e-05
17018,3.4036,0.10401307784535137,1.0,2.114112030741721e-05,1.664635378105799e-05,4.169698580203386e-06,1.24766552008546e-05,1.6740467417455797e-05,1.2187098255838579e-05
17019,3.4038,0.10399576598010059,1.0,2.1243986649300994e-05,1.637587784293312e-05,3.6646242240487046e-06,1.271125361888441e-05,1.6753565657034542e-05,1.2197314257512588e-05
17020,3.404,0.10403067588458287,1.0,2.1181666406363017e-05,1.7487878954992798e-05,4.718811653910853e-06,1.2769067301081941e-05,1.6767014226579184e-05,1.2207742559679778e-05
17021,3.4042,0.10396899358335095,1.0,2.124467831676353e-05,1.7163996937407195e-05,4.310453780102246e-06,1.2853543157304944e-05,1.678040326007083e-05,1.2218120834271294e-05
17022,3.4044,0.10399473862906085,1.0,2.1597738432897037e-05,1.661362485299893e-05,4.082592477230754e-06,1.2531032375768173e-05,1.6793743579895086e-05,1.2228461996768753e-05
17023,3.4046,0.10397656502716696,1.0,2.1873259251691098e-05,1.7979713171542287e-05,3.0342300799452376e-06,1.4945483091597046e-05,1.6807530366653214e-05,1.2239133756441457e-05
17024,3.4048,0.10391500889399422,1.0,2.134412528213783e-05,2.7334881572165663e-05,2.6455907283348698e-06,2.468929084383079e-05,1.6823703701436977e-05,1.2251573123652125e-05
17025,3.405,0.10385350593586902,1.0,2.0822784219676876e-05,3.109568210655673e-05,6.2017860796586745e-06,2.4893896026898048e-05,1.6840757857808452e-05,1.226466305018949e-05
17026,3.4052,0.10383611884100907,1.0,2.1030894046967976e-05,4.4752211540006894e-05,2.1880565747683443e-05,2.2871645792323444e-05,1.6861536380235146e-05,1.228052905820176e-05
17027,3.4054,0.10377470176940486,1.0,2.1399832121361846e-05,3.903944397869697e-05,1.4110228412005678e-05,2.4929215566691286e-05,1.688085544251537e-05,1.2295329534460551e-05
17028,3.4056,0.1037132692078649,1.0,2.135492710038245e-05,1.336173111416819e-05,4.484063355892294e-06,8.877667758275895e-06,1.6893237363837765e-05,1.230498803575714e-05
17029,3.4058,0.10365187858543792,1.0,2.0788692084257692e-05,1.3032340072543691e-05,2.9009253887068573e-06,1.0131414683836831e-05,1.6905354968827144e-05,1.231446937319192e-05
17030,3.406,0.1036409090908242,1.0,2.0499034208760273e-05,1.2171399547267895e-05,5.3454027436031484e-06,6.8259968036647446e-06,1.6917102049920754e-05,1.2323722631567805e-05
17031,3.4062,0.10362353086598632,1.0,2.070377235259065e-05,9.568791990391953e-06,4.061236338312016e-06,5.507555652079935e-06,1.6928077435002032e-05,1.2332498262956917e-05
17032,3.4064,0.1035622218379423,1.0,2.0859574000587192e-05,1.1244499531986445e-05,3.2032016067104936e-06,8.04129792527595e-06,1.6939535442173142e-05,1.2341642022533853e-05
17033,3.4066,0.10352904683622392,1.0,2.0669272253287082e-05,1.386745129627406e-05,5.048239188122785e-06,8.819212108151272e-06,1.6951693516081647e-05,1.2351274302246216e-05
17034,3.4068,0.10346781524422788,1.0,2.078955173428193e-05,1.2157504490640429e-05,3.5063724683512714e-06,8.651132022289155e-06,1.6963421108741922e-05,1.2360590588209517e-05
17035,3.407,0.10345220488304252,1.0,2.1082605028850746e-05,1.4276295758552108e-05,6.4889169686091695e-06,7.787378789942938e-06,1.6975759216779786e-05,1.237039131397811e-05
17036,3.4072,0.10339103587494138,1.0,2.1332514488128754e-05,1.0747623335451652e-05,2.1813843625960726e-06,8.566238972855578e-06,1.698714367210723e-05,1.2379538226545062e-05
17037,3.4074,0.10332991230014857,1.0,2.0761827663243964e-05,1.1839533756896235e-05,2.724270926763676e-06,9.115262830132558e-06,1.6998594752737845e-05,1.238879126267186e-05
17038,3.4076,0.10326883510846585,1.0,2.0266124108819232e-05,1.3190627253319288e-05,4.926204929853118e-06,8.264422323466169e-06,1.7010237722643472e-05,1.239821728631081e-05
17039,3.4078,0.10320778936597891,1.0,2.0331226016443705e-05,8.37028556123818e-06,1.7409739651427126e-06,6.629311596095465e-06,1.7020526114322074e-05,1.2406694085735975e-05
17040,3.408,0.10314680188675761,1.0,2.0620413897200383e-05,1.37126269935073e-05,5.712465248373997e-06,8.0001617451333e-06,1.7032274683890002e-05,1.2416299034422532e-05
17041,3.4082,0.10308584309320007,1.0,2.0292789908888107e-05,8.208084973773723e-06,2.229077995293452e-06,5.97900697848027e-06,1.7042437454113874e-05,1.2424739389146108e-05
17042,3.4084,0.10302493292675284,1.0,1.982495412628755e-05,9.985166626918958e-06,3.935392829639736e-06,6.049773797279221e-06,1.705299653122432e-05,1.2433443332794405e-05
17043,3.4086,0.1029640639080836,1.0,1.9198670321022005e-05,9.24499977901702e-06,3.4256746062612073e-06,5.819325172755811e-06,1.706324176233105e-05,1.2441875725080127e-05
17044,3.4088,0.10294093391405096,1.0,1.923299931807816e-05,1.212162831219973e-05,5.23043088870744e-06,6.891197423492289e-06,1.707434934491125e-05,1.2450892175837256e-05
17045,3.409,0.1028801496784489,1.0,1.946419622130143e-05,1.4633520905904686e-05,6.413586290351829e-06,8.219934615552856e-06,1.7086277086505086e-05,1.2460459142711e-05
17046,3.4092,0.10286777513769546,1.0,1.947346409850758e-05,1.3398743478218936e-05,5.103504403765922e-06,8.295239074453012e-06,1.7097946717684664e-05,1.2469783060263747e-05
17047,3.4094,0.10280705307647625,1.0,1.9233889511605385e-05,1.3573201816577517e-05,4.617831294616776e-06,8.955370521960739e-06,1.710966732365457e-05,1.2479095858455422e-05
17048,3.4096,0.10274637292292843,1.0,1.9073363647074667e-05,1.2548277017881975e-05,3.3695099604742264e-06,9.178767057407747e-06,1.712107434821103e-05,1.2488173443118029e-05
17049,3.4098,0.10273457019697602,1.0,1.893097382761476e-05,3.63344591001513e-05,1.7294837233459357e-05,1.903962186669194e-05,1.7138866836764563e-05,1.2501982280510714e-05
17050,3.41,0.10272054668996437,1.0,1.8265656141005263e-05,8.539499293070588e-06,2.0312412610991217e-06,6.5082580319714645e-06,1.7148983681695045e-05,1.2510101445428633e-05
17051,3.4102,0.10265993744007108,1.0,1.7333326641710596e-05,7.970607429217961e-06,2.361453961840471e-06,5.609153467377489e-06,1.715873491752024e-05,1.2517921972084706e-05
17052,3.4104,0.10259935997857501,1.0,1.717837428610918e-05,3.67790449251478e-06,1.000982342447805e-06,2.6769221500669743e-06,1.716719911609554e-05,1.2524854442737046e-05
17053,3.4106,0.10253882970270117,1.0,1.745215254409058e-05,5.139799208719209e-06,2.014874754976505e-06,3.1249244537427035e-06,1.717602052855611e-05,1.2532135463490815e-05
17054,3.4108,0.10247835834654676,1.0,1.7651052202955928e-05,1.038244863565685e-05,3.2492316859668655e-06,7.133216949689982e-06,1.7186532816402833e-05,1.2540506368125218e-05
17055,3.411,0.10241792735849028,1.0,1.750780973139039e-05,9.209563050505472e-06,3.0267816303488205e-06,6.1827814201566505e-06,1.719671669740444e-05,1.2548615712445077e-05
17056,3.4112,0.10235755667267923,1.0,1.770119038292725e-05,1.5693667628369683e-05,7.300336959507985e-06,8.393330668861693e-06,1.720866315559841e-05,1.2558062337636217e-05
17057,3.4114,0.10229722090530269,1.0,1.7513589050653276e-05,1.3212531508605516e-05,4.415195580393408e-06,8.797335928212106e-06,1.721982415537863e-05,1.2566977087825345e-05
17058,3.4116,0.10223692701943078,1.0,1.7364167467010506e-05,1.3156013756982714e-05,4.829120484569012e-06,8.326893272413701e-06,1.723074583625493e-05,1.257585245955189e-05
17059,3.4118,0.1021766705419451,1.0,1.6808563339027396e-05,1.056075094720432e-05,3.766134034614971e-06,6.7946169125893465e-06,1.7240953141529374e-05,1.258409939357219e-05
17060,3.412,0.10211646906957568,1.0,1.6716199805277718e-05,1.4781046202787853e-05,5.514917550910852e-06,9.266128651877001e-06,1.725237460017887e-05,1.2593173671466186e-05
17061,3.4122,0.10205629640269777,1.0,1.6492218470037533e-05,9.000536735817331e-06,3.5614097854956847e-06,5.439126950321645e-06,1.7262223380172126e-05,1.2601048767622673e-05
17062,3.4124,0.10199616046971458,1.0,1.6523951744892726e-05,6.116339821202673e-06,1.8584788015288553e-06,4.257861019673817e-06,1.7271291219167628e-05,1.2608354892510438e-05
17063,3.4126,0.1019360679025657,1.0,1.6653040624090414e-05,6.222375922809003e-06,1.2538533037092549e-11,6.222363384275965e-06,1.7280366911519373e-05,1.2615709506424079e-05
17064,3.4128,0.10187602803741129,1.0,1.7099135779127383e-05,9.56239368807239e-06,2.789783137256276e-06,6.772610550816111e-06,1.729041428033154e-05,1.2623822895855978e-05
17065,3.413,0.10181605984132737,1.0,1.7358413943803546e-05,2.0882360288352915e-05,1.0147863356439645e-05,1.0734496931913264e-05,1.7303535654275788e-05,1.2634254026139536e-05
17066,3.4132,0.10175611755636801,1.0,1.770790767859614e-05,1.4560695528940518e-05,5.581092327631692e-06,8.979603201308823e-06,1.7314982462736312e-05,1.2643492737957201e-05
17067,3.4134,0.10169621483632682,1.0,1.900963646369652e-05,1.2547747611833072e-05,4.420719601247241e-06,8.12702801058583e-06,1.7325926891504563e-05,1.2652591074714157e-05
17068,3.4136,0.10163634872556586,1.0,1.9237302489769194e-05,9.565882546731179e-06,3.881559802026934e-06,5.684322744704243e-06,1.7336085986819415e-05,1.266114036435439e-05
17069,3.4138,0.1015765266581249,1.0,1.9572421730564203e-05,9.473120460575065e-06,4.036486148530862e-06,5.436634312044202e-06,1.7346303742647854e-05,1.2669739863063646e-05
17070,3.414,0.10151674040850171,1.0,1.9701972830688575e-05,6.248534871799607e-06,1.7948392070118227e-06,4.453695664787784e-06,1.7355735489225735e-05,1.267772202993206e-05
17071,3.4142,0.10145700689134939,1.0,1.9855814121705948e-05,1.0119379041565978e-05,4.2111223911463095e-06,5.908256650419666e-06,1.736613836865249e-05,1.2686510829729943e-05
17072,3.4144,0.10142987943638741,1.0,1.8953178435514665e-05,9.931748291404763e-06,3.0973095474274103e-06,6.8344387439773504e-06,1.7376468827345446e-05,1.2695083419670063e-05
17073,3.4146,0.10141120530788297,1.0,1.8427484765712853e-05,1.6318680390406852e-05,4.611743144334045e-06,1.1706937246072803e-05,1.7388424057063407e-05,1.2704830227612372e-05
17074,3.4148,0.10135157356766783,1.0,1.8444961972291336e-05,1.403901813356691e-05,3.067365758019871e-06,1.0971652375547037e-05,1.739978176881559e-05,1.2714126544399888e-05
17075,3.415,0.10129198529895415,1.0,1.8457713716130592e-05,1.3919956364156374e-05,2.749575497127001e-06,1.1170380867029372e-05,1.7411148550733678e-05,1.272340349317406e-05
