step,radius
17000,1.651377149688585e-05
17001,1.6526774442506137e-05
17002,1.6539841622704537e-05
17003,1.6553474943370194e-05
17004,1.6567541979654294e-05
17005,1.658127445984213e-05
17006,1.6594575865062542e-05
17007,1.6608370576828075e-05
17008,1.6622143384253307e-05
17009,1.6636044821801494e-05
17010,1.6649010525765182e-05
17011,1.6663935248498505e-05
17012,1.6676414539107306e-05
17013,1.6689349596780292e-05
17014,1.670182124199846e-05
17015,1.6714286239664312e-05
17016,1.672727969642246e-05
17017,1.6740467417455797e-05
17018,1.6753565657034542e-05
17019,1.6767014226579184e-05
17020,1.678040326007083e-05
17021,1.6793743579895086e-05
17022,1.6807530366653214e-05
17023,1.6823703701436977e-05
17024,1.6840757857808452e-05
17025,1.6861536380235146e-05
17026,1.688085544251537e-05
17027,1.6893237363837765e-05
17028,1.6905354968827144e-05
17029,1.6917102049920754e-05
17030,1.6928077435002032e-05
17031,1.6939535442173142e-05
17032,1.6951693516081647e-05
17033,1.6963421108741922e-05
17034,1.6975759216779786e-05
17035,1.698714367210723e-05
17036,1.6998594752737845e-05
17037,1.7010237722643472e-05
17038,1.7020526114322074e-05
17039,1.7032274683890002e-05
17040,1.7042437454113874e-05
17041,1.705299653122432e-05
17042,1.706324176233105e-05
17043,1.707434934491125e-05
17044,1.7086277086505086e-05
17045,1.7097946717684664e-05
17046,1.710966732365457e-05
17047,1.712107434821103e-05
17048,1.7138866836764563e-05
17049,1.7148983681695045e-05
17050,1.715873491752024e-05
17051,1.716719911609554e-05
17052,1.717602052855611e-05
17053,1.7186532816402833e-05
17054,1.719671669740444e-05
17055,1.720866315559841e-05
17056,1.721982415537863e-05
17057,1.723074583625493e-05
17058,1.7240953141529374e-05
17059,1.725237460017887e-05
17060,1.7262223380172126e-05
17061,1.7271291219167628e-05
17062,1.7280366911519373e-05
17063,1.729041428033154e-05
17064,1.7303535654275788e-05
17065,1.7314982462736312e-05
17066,1.7325926891504563e-05
17067,1.7336085986819415e-05
17068,1.7346303742647854e-05
17069,1.7355735489225735e-05
17070,1.736613836865249e-05
17071,1.7376468827345446e-05
17072,1.7388424057063407e-05
17073,1.739978176881559e-05
17074,1.7411148550733678e-05
17075,1.7423653364910493e-05
17076,1.7436763411764814e-05
17077,1.7448640203645223e-05
17078,1.746022594410184e-05
17079,1.7472832313299555e-05
17080,1.7484721012684748e-05
17081,1.7498630305063623e-05
17082,1.7510801222320054e-05
17083,1.7522437109045122e-05
17084,1.753415550052868e-05
17085,1.7545489493534243e-05
17086,1.755789262416858e-05
17087,1.757053000690327e-05
17088,1.7582324760797223e-05
17089,1.7595552209000406e-05
17090,1.7608763392253113e-05
17091,1.762196708836991e-05
17092,1.7634963825377705e-05
17093,1.7647228537772083e-05
17094,1.7659953570843762e-05
17095,1.7672098011146172e-05
17096,1.7684488946115524e-05
17097,1.7696035023617315e-05
17098,1.7707577609103734e-05
17099,1.771932909136797e-05
17100,1.7730354002966787e-05
17101,1.7740555229424526e-05
17102,1.7753159388623137e-05
17103,1.7763646932868135e-05
17104,1.7774166364182246e-05
17105,1.7785119405482633e-05
17106,1.779635033926435e-05
17107,1.781044395243876e-05
17108,1.782819485568955e-05
17109,1.7841914412159145e-05
17110,1.7852511718095033e-05
17111,1.7862082137176658e-05
17112,1.7871638978431655e-05
17113,1.7881125790881777e-05
17114,1.788994896023028e-05
17115,1.789977535177794e-05
17116,1.790867409153645e-05
17117,1.7919392506515008e-05
17118,1.7929758943219445e-05
17119,1.794188712487839e-05
17120,1.7952842635637e-05
17121,1.7962769939368746e-05
17122,1.7974003824577683e-05
17123,1.79838443352103e-05
17124,1.799383706188791e-05
17125,1.80046461406527e-05
17126,1.8015333606619803e-05
17127,1.802482191710967e-05
17128,1.803485831862478e-05
17129,1.8044785792109162e-05
17130,1.80558447085044e-05
17131,1.806716612297172e-05
17132,1.807782754554483e-05
17133,1.809059474636583e-05
17134,1.8102171861738223e-05
17135,1.811442179647551e-05
17136,1.8127904436948835e-05
17137,1.8140992172325132e-05
17138,1.8152680599255155e-05
17139,1.8166319541420354e-05
17140,1.817865900278327e-05
17141,1.8190280403782798e-05
17142,1.8201901531792494e-05
17143,1.8214765709425663e-05
17144,1.8226941748070343e-05
17145,1.8238802120541846e-05
17146,1.8250780043943202e-05
17147,1.8263527456693744e-05
17148,1.8276584706542345e-05
17149,1.8289219784487424e-05
17150,1.8302600083312822e-05
17151,1.831629575840803e-05
17152,1.8328858579836064e-05
17153,1.834078829414793e-05
17154,1.8354643697452587e-05
17155,1.836624199873793e-05
17156,1.8377281737803887e-05
17157,1.838957060153182e-05
17158,1.8401609984489936e-05
17159,1.8414600647858393e-05
17160,1.8426581415577937e-05
17161,1.843856789796775e-05
17162,1.845048546101177e-05
17163,1.8461952531303574e-05
17164,1.847338477500641e-05
17165,1.8485192386778488e-05
17166,1.8496617866962496e-05
17167,1.850746798625295e-05
17168,1.8517440544217072e-05
17169,1.8526846502264415e-05
17170,1.8536615661743395e-05
17171,1.854652307173778e-05
17172,1.8561784145798594e-05
17173,1.8572538269765773e-05
17174,1.8582864487938875e-05
17175,1.8593954032261336e-05
17176,1.860461440101064e-05
17177,1.861643440033728e-05
17178,1.8626951360547044e-05
17179,1.8639405669068605e-05
17180,1.8650909123339543e-05
17181,1.8660827380900833e-05
17182,1.867112513117592e-05
17183,1.868186261772249e-05
17184,1.8692843988280383e-05
17185,1.8704899028232904e-05
17186,1.8716199965675584e-05
17187,1.872791389465462e-05
17188,1.874101837079435e-05
17189,1.8752881560346816e-05
17190,1.8763444326869524e-05
17191,1.8774916250025572e-05
17192,1.878654239031626e-05
17193,1.8797568033078314e-05
17194,1.8808129780986088e-05
17195,1.8819638797065467e-05
17196,1.8830991587049566e-05
17197,1.8844049359683134e-05
17198,1.885641047056918e-05
17199,1.8868354980740674e-05
17200,1.888101783704886e-05
17201,1.889212807408305e-05
17202,1.8903376796025613e-05
17203,1.8914236562339713e-05
17204,1.892462551465621e-05
17205,1.8935293834192506e-05
17206,1.8944913146293972e-05
17207,1.89543604648487e-05
17208,1.8963833075307748e-05
17209,1.897556564417244e-05
17210,1.8988938187297397e-05
17211,1.9000937942937762e-05
17212,1.9018660456948307e-05
17213,1.9038915418965914e-05
