t,A2,E,dE,core_mass,angle_u,angle_w,S,weak_fit,f1,f2,m,z,l,log_u_A,direction_error,c_error,B_movement,D_movement,loss,balance_error,strong_boundary,weak_boundary,J_D_observed,J_B_observed,J_p_observed,Gamma_core_observed,norm_factor_observed,min_core_a
0,0.010009254620583222,0.49005723714301935,-1.1730041515663301e-07,0.0081909603443187443,0.78539766229867103,0.78539766229867103,0.03999999999967789,0.0099926894108146331,5.1778145257893541e-06,0.0099926895939274271,0.010009254620583222,8.1196318878967526e-07,0,0,3.1785263132604275e-07,4.9880030153408155e-18,0,0,0.24502042142304009,6.2038532674235289e-25,0,214,0,0,0,1.1102230246251565e-16,1.0000000000000002,4.4721381959808767e-05
1.0000000000000001e-05,0.010009353711763185,0.49005723714184707,-1.1727612444379705e-07,0.0081910414344652776,0.7853951873221594,0.78539518732175317,0.040000099091013,0.0099926894108143295,5.193581094653186e-06,0.0099926895945571057,0.010009353711761445,8.1196310913938989e-07,4.0589062910116275e-13,8.9483975784791618e-14,0,3.1119234911254593e-17,4.9450292533028612e-15,3.9344657901380737e-14,0.24502037237336843,5.7163028999011715e-24,0,214,4.0621140703733478e-13,4.9713950482775546e-14,4.0616955464098277e-13,4.0667469392019484e-13,0.99999999999999956,4.4721603329098691e-05
2.0000000000000002e-05,0.010009452803914227,0.49005723714067384,-1.1725183337180654e-07,0.0081911225254070828,0.78539271234589558,0.78539271234508334,0.04000019818316395,0.0099926894108139947,5.2093477399926293e-06,0.0099926895951879622,0.010009452803913872,8.1196302949345816e-07,8.1177716654895143e-13,1.8540724511240285e-14,1.0950072449966572e-07,5.2725205506958542e-17,9.8900585081587638e-15,7.8689710277321317e-14,0.24502032332321858,1.0850012839740934e-23,0,214,8.1242663310583673e-13,9.9427900965551092e-14,8.1233910928196555e-13,8.1334938784038968e-13,0.99999999999999933,4.4721824699462239e-05
3.0000000000000004e-05,0.010009551897036359,0.49005723713950106,-1.172275419406653e-07,0.0081912036171424875,0.78539023736987956,0.7853902373686612,0.040000297276291806,0.0099926894108137085,5.2251144618074054e-06,0.0099926895958187129,0.01000955189703579,8.1196294984516225e-07,1.2176596317696908e-12,3.2196467714130057e-14,6.1439061546588847e-08,8.3259717161982578e-17,1.4835087743564544e-14,1.1803515814500621e-13,0.24502027427259401,1.5871190575528925e-23,0,214,1.2186459005463614e-12,1.4914185144832665e-13,1.2185084546609666e-12,1.2198020371556595e-12,0.99999999999999933,4.4722046070899404e-05
4.0000000000000003e-05,0.010009650991129587,0.49005723713832899,-1.1720325015035264e-07,0.0081912847096735648,0.78538776239411157,0.78538776239248709,0.040000396370386743,0.0099926894108134136,5.2408812600989795e-06,0.009992689596448787,0.010009650991128556,8.119628701957363e-07,1.6235380360461546e-12,4.5963233219482535e-14,0,9.9551282798518083e-17,1.9780116979046696e-14,1.5738100272467473e-13,0.24502022522149414,2.0790327576552012e-23,0,214,1.624869170122287e-12,1.9885580193110218e-13,1.6246775907779858e-12,1.6261436641684668e-12,0.99999999999999911,4.4722267443410181e-05
5.0000000000000002e-05,0.010009750086193927,0.49005723713715715,-1.1717895800088338e-07,0.0081913658029986007,0.78538528741859159,0.78538528741656088,0.040000495465444506,0.0099926894108131586,5.2566481348672932e-06,0.0099926895970790745,0.010009750086193484,8.1196279054427884e-07,2.0294123223813211e-12,2.8976820942717009e-14,3.5513565802016808e-07,1.3072897176030497e-16,2.4725146193967292e-14,1.9672724376629611e-13,0.24502017616991723,2.583940521551219e-23,0,214,2.0310964025969925e-12,2.4856975241387774e-13,2.0308467792105005e-12,2.0327073357861991e-12,0.99999999999999845,4.4722488816994589e-05
6.0000000000000002e-05,0.01000984918222938,0.49005723713598537,-1.1715466549223818e-07,0.0081914468971191201,0.78538281244331953,0.78538281244088282,0.040000594561489897,0.0099926894108128515,5.2724150861129175e-06,0.0099926895977094383,0.010009849182229691,8.1196271089455781e-07,2.4352825061320796e-12,1.57651669496771e-14,4.761381539306181e-07,1.5320687608950428e-16,2.9670175393755347e-14,2.3607388096730794e-13,0.245020127117865,3.0263583700189171e-23,0,214,2.4373276241282251e-12,2.982837028966533e-13,2.4370160722740059e-12,2.4390489627990064e-12,0.99999999999999833,4.4722710191652634e-05
7.0000000000000007e-05,0.010009948279235962,0.49005723713481397,-1.1713037262440628e-07,0.0081915279920336675,0.78538033746829561,0.78538033746545277,0.040000693658497816,0.0099926894108125133,5.2881821138353044e-06,0.0099926895983397275,0.010009948279235398,8.1196263124779238e-07,2.8411487184499044e-12,2.3536728122053596e-14,0,1.8313117781241467e-16,3.461520456260374e-14,2.7542091387377738e-13,0.24502007806533735,3.549307323494203e-23,0,214,2.843562847794859e-12,3.4799765337942886e-13,2.8431852083910253e-12,2.8457236567192012e-12,0.99999999999999811,4.4722931567384318e-05
8.0000000000000007e-05,0.010010047377213676,0.49005723713364346,-1.1710607939741542e-07,0.0081916090877436464,0.78537786249351982,0.78537786249027097,0.040000792756472822,0.0099926894108122114,5.3039492180357767e-06,0.009992689598969335,0.010010047377211902,8.1196255159671037e-07,3.2470108636642006e-12,8.3377749149352727e-14,0,1.9661591977272397e-16,3.9560233707202877e-14,3.1476834348225761e-13,0.24502002901233491,4.0687638448984538e-23,0,214,3.2498020343602725e-12,3.9771160386220437e-13,3.2493543445080444e-12,3.251954261429546e-12,0.99999999999999789,4.472315294418964e-05
9.0000000000000006e-05,0.010010146476162537,0.49005723713247124,-1.1708178581122731e-07,0.0081916901842476117,0.78537538751899238,0.78537538751533742,0.040000891855424187,0.0099926894108119443,5.3197163987144736e-06,0.0099926895996009409,0.010010146476162086,8.1196247194494312e-07,3.6528689911849804e-12,2.0761170560490642e-14,4.4579134290372107e-07,2.2326997402123994e-16,4.4505262853337201e-14,3.5411616943799038e-13,0.24501997995885449,4.5200041454713364e-23,0,214,3.6560451838244654e-12,4.4742555434497993e-13,3.6555236898870452e-12,3.6584069107448158e-12,0.99999999999999745,4.4723374322068613e-05
