step,time,gate_rate,perturbation_rate_upper,gate_forcing_upper,eta_upper,eta_smooth_upper,eta_gate_upper,tube_radius_upper
1,0.0002,0.0,0.005671403725741186,1.078830499247245e-08,1.4012315342685878e-08,8.571332632166312e-11,1.3926602016364213e-08,1.069726656647247e-10
2,0.0004,0.0,0.006815656536406547,1.104804115781261e-08,1.4224129051507425e-08,1.1373104147000047e-10,1.4110398010037423e-08,1.1407437015718457e-10
3,0.0006,0.0,0.008232461278369841,1.233352351323355e-08,1.5863394214236898e-08,1.2844917654797593e-10,1.5734945037688917e-08,1.219433583405795e-10
4,0.0008,0.0,0.008232457344309751,1.2408327239083881e-08,1.549170624048043e-08,7.056777664304017e-11,1.5421138463837387e-08,1.297252257078129e-10
5,0.001,0.0,0.008232479300645579,1.2860368117340883e-08,1.6039658849608735e-08,8.481182380549777e-11,1.5954847025803235e-08,1.37791427227225e-10
6,0.0012,0.0,0.007061570018233606,1.2655021007092696e-08,1.5930908599271703e-08,8.304915344739584e-11,1.5847859445824303e-08,1.4578329606896955e-10
7,0.0014,0.0,0.007051222630208548,1.1537952843001972e-08,1.4481366501395532e-08,7.438848944262767e-11,1.4406978011952903e-08,1.531148511877188e-10
8,0.0016,0.0,0.007051208156299918,1.1141155495939619e-08,1.4048001800589429e-08,9.252986631079611e-11,1.395547193427863e-08,1.602371716287473e-10
9,0.0018,0.0,0.006037994927294846,1.1210908303744512e-08,1.4232942539410222e-08,1.951892966391109e-10,1.403775324277111e-08,1.6743224454924329e-10
10,0.002,0.0,0.006037972932472198,1.0707202612943429e-08,1.3411409415576952e-08,5.4867157476650304e-11,1.33565422581003e-08,1.7428917785343487e-10
11,0.0022,0.0,0.007261566735461962,1.0567514805792364e-08,1.3053087156484226e-08,5.436956435183076e-11,1.2998717592132393e-08,1.8102285925069892e-10
12,0.0024,0.0,0.004930627734683402,1.066700034680089e-08,1.383341965202099e-08,1.2364138516881848e-10,1.370977826685217e-08,1.8799151792311715e-10
13,0.0026,0.0,0.005999206749782045,1.0209796113311715e-08,1.3318206394361279e-08,9.717943019461502e-11,1.3221026964166662e-08,1.94713623816546e-10
14,0.0028,0.0,0.005999199905516026,1.0261281515208345e-08,1.3173965716018765e-08,3.5671868909132876e-11,1.313829384710963e-08,2.0141775050804226e-10
15,0.003,0.0,0.0054221506857936455,1.0752891307654015e-08,1.4115154361724739e-08,1.1754274409258578e-10,1.3997611617632151e-08,2.0850069503506822e-10
16,0.0032,0.0,0.005636037208195383,1.161419181686883e-08,1.502867958422298e-08,1.532723459795253e-10,1.4875407238243451e-08,2.160517875987e-10
17,0.0034,0.0,0.00763952538205914,1.2087736917162495e-08,1.5389106888356112e-08,1.1366412676933456e-10,1.5275442761586773e-08,2.2382676672449968e-10
18,0.0036,0.0,0.007639520451524836,1.1556934958389855e-08,1.460699119704784e-08,8.691538285964097e-11,1.4520075814188199e-08,2.3126734444377634e-10
19,0.0038,0.0,0.007639489368937712,1.1409227513794335e-08,1.450594852186544e-08,1.186629833608836e-10,1.4387285538504554e-08,2.386500239747054e-10
20,0.004,0.0,0.0064875578002908385,1.1206904339193081e-08,1.4248402427860496e-08,1.4525619843177617e-10,1.4103146229428718e-08,2.45919804017923e-10
21,0.0042,0.0,0.006487569916482131,1.1261809742747102e-08,1.4323811427467127e-08,6.511584707522135e-11,1.4258695580391905e-08,2.5323013152930865e-10
22,0.0044,0.0,0.0064875395186423665,1.0497144251154413e-08,1.3097756125090712e-08,1.0852234617388347e-10,1.2989233778916827e-08,2.600293209762307e-10
23,0.0046,0.0,0.006487574212141333,1.0822607909746258e-08,1.3634047293685489e-08,1.524041355378227e-10,1.3481643158147664e-08,2.670588887770898e-10
24,0.0048,0.0,0.006506832839465805,1.0817230102890415e-08,1.3663922868452871e-08,5.7906243003344065e-11,1.3606016625449525e-08,2.7410125964625507e-10
25,0.005,0.0,0.0066202561454303446,1.0816206669097681e-08,1.3896092470461892e-08,1.5619417948525392e-10,1.3739898290976636e-08,2.812102011678084e-10
26,0.0052,0.0,0.006487571924089301,1.018454775129253e-08,1.3274675343983803e-08,3.030517417413756e-11,1.3244370169809663e-08,2.879996911556466e-10
27,0.0054,0.0,0.006487544004079203,1.009356706548671e-08,1.3219249012367875e-08,5.551848552383618e-11,1.3163730526844037e-08,2.9475730694607765e-10
28,0.0056,0.0,0.005355479480398543,1.0229497990197043e-08,1.3490596253118153e-08,1.6976908769671918e-10,1.3320827165421432e-08,3.016269992310715e-10
29,0.0058,0.0,0.005355474017576912,1.0083017017501724e-08,1.3489099068640146e-08,9.692250150345232e-11,1.3392176567136692e-08,3.0846448116755446e-10
30,0.006,0.0,0.005602155601548837,1.0988834278513762e-08,1.4302911237653977e-08,3.565413711709053e-11,1.4267257100536884e-08,3.1575553507160997e-10
31,0.0062,0.0,0.006784293370792313,1.1231285914614735e-08,1.4775152095490617e-08,4.6497703080382846e-11,1.4728654392410232e-08,3.23239215276873e-10
32,0.0064,0.0,0.009306970064707844,1.157216788525635e-08,1.526561659479954e-08,2.784527758056502e-11,1.5237771317218974e-08,3.309461071818504e-10
33,0.0066,0.0,0.009306951940130004,1.1233713106576616e-08,1.4716724788965712e-08,1.0573428896425596e-10,1.4610990500001454e-08,3.384292373632393e-10
34,0.0068,0.0,0.009306947687756965,1.0950419556139895e-08,1.4501145307442917e-08,4.620557829156412e-11,1.445493972915135e-08,3.457894502600432e-10
35,0.007,0.0,0.012600419045726334,1.1635095009151751e-08,1.5826284867919364e-08,8.165319046934117e-11,1.574463167745002e-08,3.5367935773453713e-10
36,0.0072,0.0,0.012600419439762174,1.1951660949677858e-08,1.5834960813193395e-08,7.387200989493036e-11,1.5761088803298462e-08,3.6166109350169517e-10
37,0.0074,0.0,0.012600424494374207,1.2172805718636194e-08,1.5985893138282755e-08,5.114590428563653e-11,1.5934747233997115e-08,3.6974692405207996e-10
38,0.0076,0.0,0.012600425731245092,1.2695047705470973e-08,1.6287588010529e-08,4.358543185935666e-11,1.624400257866964e-08,3.7805448175199646e-10
39,0.0078,0.0,0.01574640492277372,1.3563484683325716e-08,1.765491665442869e-08,1.1085899554660273e-10,1.7544057658882084e-08,3.86951394278725e-10
40,0.008,0.0,0.015746400857013135,1.3312335096216457e-08,1.7128301144832853e-08,1.3527822459230403e-10,1.6993022920240545e-08,3.956541500237387e-10
41,0.0082,0.0,0.016978534546396626,1.3601351886342247e-08,1.739723426731799e-08,2.0835664728134682e-11,1.737639860258985e-08,4.045100911170631e-10
42,0.0084,0.0,0.01818175835114468,1.3912158279572224e-08,1.8028002380418923e-08,1.452120799497913e-10,1.7882790300469127e-08,4.136191479460313e-10
43,0.0086,0.0,0.01590043253767434,1.3096367414459425e-08,1.690325357004173e-08,6.353896518192398e-11,1.68397146048598e-08,4.222316392622613e-10
44,0.0088,0.0,0.015900433017647573,1.2934545093230205e-08,1.6642621247625053e-08,5.864487164388497e-11,1.6583976375981164e-08,4.3074213575996723e-10
45,0.009,0.0,0.014767927899229389,1.2069042501795499e-08,1.531964878963297e-08,7.203680425082476e-11,1.524761198538214e-08,4.386910917408981e-10
46,0.0092,0.0,0.013649983010580244,1.2124364047056947e-08,1.5589122355989585e-08,2.770319736468085e-11,1.55614191586249e-08,4.4673173910718355e-10
47,0.0094,0.0,0.013649981916471132,1.229237778937e-08,1.533592686670411e-08,7.048753227689083e-11,1.5265439334427218e-08,4.547575950420919e-10
48,0.0096,0.0,0.013649974817568446,1.2304467928999671e-08,1.518582305666343e-08,1.6497837574483787e-12,1.518417327290598e-08,4.627548950629048e-10
49,0.0098,0.0,0.014718341860592198,1.3143595658326426e-08,1.627404782155475e-08,1.2275018226029645e-10,1.6151297639294453e-08,4.712609507626954e-10
50,0.01,0.0,0.01471833991870174,1.2980128419509608e-08,1.575757587457064e-08,4.713880388381506e-12,1.5752861994182258e-08,4.795979355044986e-10
51,0.0102,0.0,0.012466136832967694,1.2318501763599347e-08,1.5154116850916023e-08,2.2644644290607765e-10,1.492767040800994e-08,4.876133121286123e-10
52,0.0104,0.0,0.01255373021124052,1.3069028221745331e-08,1.5834890034826544e-08,7.8285955929107e-11,1.5756604078897433e-08,4.960083416567494e-10
53,0.0106,0.0,0.011195206879345592,1.2988213664735256e-08,1.5407533051824935e-08,3.149351187977602e-11,1.5376039539945156e-08,5.04278767486641e-10
54,0.0108,0.0,0.011195183637625715,1.3254148933499356e-08,1.5662559472225425e-08,1.8013046809659907e-10,1.5482429004128823e-08,5.126922761020629e-10
55,0.011,0.0,0.010071329478335432,1.244958982467161e-08,1.4704692505330343e-08,8.500174119640828e-11,1.4619690764133934e-08,5.206549520005602e-10
56,0.0112,0.0,0.009067168136897782,1.2705807027787445e-08,1.519149602460998e-08,2.949485685831759e-11,1.516200116775166e-08,5.28818104449403e-10
57,0.0114,0.0,0.010013021727015138,1.2849792595055714e-08,1.5743571795441154e-08,1.6402815317336222e-11,1.5727168980123813e-08,5.371698691252552e-10
58,0.0116,0.0,0.012502102791962618,1.3310081285558787e-08,1.648400476165539e-08,6.607483081834305e-11,1.6417929930837043e-08,5.458418308481781e-10
59,0.0118,0.0,0.012502096897133358,1.3048953217011877e-08,1.6025582963000502e-08,1.1544676113016815e-10,1.591013620187033e-08,5.543345664025329e-10
60,0.012,0.0,0.013705338666567743,1.2200896220772783e-08,1.6008604549449518e-08,7.646489017293853e-11,1.5932139659276575e-08,5.626101790304796e-10
61,0.0122,0.0,0.012473214819734013,1.212998937993689e-08,1.5514423112297334e-08,4.450959763008852e-11,1.5469913514667242e-08,5.707462676114694e-10
62,0.0124,0.0,0.013612290485434407,1.2247449228800786e-08,1.556352014809264e-08,7.948437435650075e-11,1.5484035773736135e-08,5.789332420685245e-10
63,0.0126,0.0,0.012409060057354556,1.2147143776182741e-08,1.4619151978488962e-08,4.715913848599897e-11,1.4571992840002961e-08,5.868558600526399e-10
64,0.0128,0.0,0.012409057595957505,1.2056797439093146e-08,1.4594103754067142e-08,1.2661235929509559e-10,1.4467491394772044e-08,5.947557182657719e-10
65,0.013,0.0,0.013537667068743476,1.1985432085659674e-08,1.4482628768588836e-08,3.7495543907996694e-11,1.4445133224680837e-08,6.026153645079709e-10
66,0.0132,0.0,0.013537653517183487,1.128490913393747e-08,1.4130171692445361e-08,9.384333814280903e-11,1.403632835430255e-08,6.102083108765047e-10
67,0.0134,0.0,0.013537652464838448,1.1397628229715925e-08,1.4534483249872995e-08,1.8774743726873274e-10,1.4346735812604262e-08,6.179427022145175e-10
68,0.0136,0.0,0.0135376494513955,1.157273111547624e-08,1.468476339182534e-08,5.607659248314694e-11,1.4628686799342192e-08,6.257688168060745e-10
69,0.0138,0.0,0.013330057455813766,1.1657878483252232e-08,1.4787784962889338e-08,4.336417219619315e-12,1.4783448545669717e-08,6.336510251824411e-10
70,0.014,0.0,0.013330071853066446,1.2307980080406527e-08,1.5340134906736432e-08,6.43403966726202e-11,1.527579451006381e-08,6.418532351604949e-10
71,0.0142,0.0,0.013330081727061929,1.2216218241765611e-08,1.5264948491836816e-08,3.076631527775223e-11,1.523418217655906e-08,6.500195325634903e-10
72,0.0144,0.0,0.013330053433637037,1.1666483713417813e-08,1.4464139453805885e-08,5.606116454249671e-11,1.4408078289263387e-08,6.578420080046648e-10
73,0.0146,0.0,0.012078331105601928,1.118126242938327e-08,1.40992508794366e-08,3.019506302819333e-11,1.4069055816408404e-08,6.654503783207723e-10
74,0.0148,0.0,0.012078346498909934,1.1374258200975227e-08,1.4234437264060944e-08,2.989523888089341e-11,1.4204542025180048e-08,6.731510824056791e-10
75,0.015,0.0,0.012078360190834088,1.1984110801485713e-08,1.4975450488849893e-08,1.0652515179811297e-10,1.4868925337051775e-08,6.812102238794742e-10
76,0.0152,0.0,0.012078323061179118,1.1666077233786834e-08,1.4190300306836009e-08,6.277787712338093e-11,1.4127522429712626e-08,6.889897849333015e-10
77,0.0154,0.0,0.012008876866960099,1.226843520787353e-08,1.5161825503194664e-08,1.035877219019278e-10,1.5058237781292733e-08,6.971858589269876e-10
78,0.0156,0.0,0.009732993437394033,1.1652612362056485e-08,1.4381913470071646e-08,7.355917844646162e-11,1.4308354291625182e-08,7.050261057519995e-10
79,0.0158,0.0,0.00857391877750885,1.0792570680727324e-08,1.3259787958403186e-08,2.045210346924652e-11,1.3239335854933938e-08,7.123577868879284e-10
80,0.016,0.0,0.008573925912770387,1.1130145004892996e-08,1.3754428474668703e-08,7.502786227961935e-12,1.374692568844074e-08,7.19912651036947e-10
81,0.0162,0.0,0.006487476299150337,8.577277082340225e-09,1.1963382709412305e-08,7.40511079859746e-11,1.1889331601426329e-08,7.263442322605429e-10
82,0.0164,0.0,0.006487493900283352,9.264592296397967e-09,1.2541956459642151e-08,9.494008494942981e-11,1.244701637469272e-08,7.331109779549544e-10
83,0.0166,0.0,0.006487470318332788,9.427823640383737e-09,1.2262879062080957e-08,5.380359612064475e-11,1.2209075465960311e-08,7.39853778427491e-10
84,0.0168,0.0,0.00648748555628962,9.765877965159208e-09,1.2450206145072051e-08,4.6613568728134484e-11,1.2403592576343916e-08,7.46739407935842e-10
85,0.017,0.0,0.005321698136658921,9.865966496172997e-09,1.2541201490914883e-08,5.2187937561702075e-11,1.2489013553353179e-08,7.536808875658827e-10
86,0.0172,0.0,0.005321682758157702,9.812130009111167e-09,1.2611328477555847e-08,7.878942894212288e-11,1.2532539048613723e-08,7.606329512203015e-10
87,0.0174,0.0,0.004372919434776732,1.0041207115950062e-08,1.2251722600948997e-08,6.981052574002046e-11,1.2181912075208975e-08,7.67557292730662e-10
88,0.0176,0.0,0.004372907588126536,1.0286571583735414e-08,1.2480333223515122e-08,1.1491989883068077e-11,1.2468841233632052e-08,7.746112542132953e-10
89,0.0178,0.0,0.003993891275635194,9.735761229943206e-09,1.201979093467537e-08,9.87502452278009e-11,1.1921040689447569e-08,7.814085412592199e-10
90,0.018,0.0,0.003947304319046668,8.585635444803751e-09,1.0834496346232281e-08,9.449977780553087e-11,1.0739996568426749e-08,7.876045446341427e-10
91,0.0182,0.0,0.00452493981279831,8.151597927236728e-09,1.0738853005703581e-08,1.4264364554479282e-10,1.0596209360158786e-08,7.936685155495771e-10
92,0.0184,0.0,0.004524932390038121,8.031486445029696e-09,1.0515589833367152e-08,3.566333800930328e-11,1.0479926495357847e-08,7.996487125401011e-10
93,0.0186,0.0,0.004524961121065924,9.052527896973472e-09,1.1613011482918791e-08,1.145176738518821e-10,1.1498493809066907e-08,8.061854300413166e-10
94,0.0188,0.0,0.004524958178257522,8.705086868351531e-09,1.131583266022991e-08,4.152974329845896e-11,1.127430291693145e-08,8.125604463860509e-10
95,0.019,0.0,0.005802494477367792,8.753969787410575e-09,1.1699695456005738e-08,1.1099436266506917e-10,1.1588701093340668e-08,8.190540409590177e-10
96,0.0192,0.0,0.005802519990580929,9.336933464312295e-09,1.2161827727891552e-08,7.998985582132445e-11,1.2081837872070227e-08,8.258254242240005e-10
97,0.0194,0.0,0.007046023554238515,8.696970536808085e-09,1.1296821073558872e-08,7.925816910444299e-11,1.1217562904454427e-08,8.322117114543991e-10
98,0.0196,0.0,0.006968974146125738,9.002507346459019e-09,1.206672301720162e-08,1.4048036374609106e-10,1.1926242653455528e-08,8.388835720763678e-10
99,0.0198,0.0,0.006968983232759867,9.507384085872331e-09,1.2748613716596601e-08,9.058036519634941e-11,1.265803335140025e-08,8.45870236474271e-10
100,0.02,0.0,0.006969005938563872,1.0165128252540999e-08,1.338083012410094e-08,3.5044974885264645e-11,1.3345785149215675e-08,8.531988361016415e-10
101,0.0202,0.0,0.006969027060864118,1.0845446750382806e-08,1.457077516044817e-08,1.6104305282332078e-10,1.4409732107624847e-08,8.610206305568971e-10
102,0.0204,0.0,0.008239198172321573,1.137567463226849e-08,1.4803801459106971e-08,4.117157645572568e-11,1.4762629882651244e-08,8.690483124140692e-10
103,0.0206,0.0,0.009515131958206996,1.1566300211646282e-08,1.5272046855220924e-08,9.806978643334711e-11,1.5173977068787575e-08,8.77254922700496e-10
104,0.0208,0.0,0.009492494927427323,1.1348315952722163e-08,1.508752174198383e-08,9.751303804383808e-11,1.499000870393999e-08,8.853643405726613e-10
105,0.021,0.0,0.01060058811752253,1.1933991706761497e-08,1.5669999620406857e-08,1.4601089698444768e-10,1.5523988723422405e-08,8.937852104163619e-10
106,0.0212,0.0,0.010600624291845624,1.3291174307729196e-08,1.7329037407252926e-08,9.882369983583408e-11,1.723021370741709e-08,9.029983718890853e-10
107,0.0214,0.0,0.011745753021824745,1.2469002724545718e-08,1.6276630935624066e-08,7.49670835699486e-11,1.6201663852054112e-08,9.117325403386215e-10
108,0.0216,0.0,0.010500360355085775,1.2224298849729516e-08,1.5893802775434837e-08,1.7407993202589217e-10,1.5719722843408942e-08,9.203112692247377e-10
109,0.0218,0.0,0.010500365436065367,1.2734761160525849e-08,1.586189031099927e-08,9.282903228360777e-11,1.576906127871566e-08,9.29022327995479e-10
110,0.022,0.0,0.010500358669776024,1.3261720570595829e-08,1.6228813559810417e-08,1.1534732448397353e-10,1.611346623532644e-08,9.37973880214227e-10
111,0.0222,0.0,0.009294392934920109,1.3210542288849787e-08,1.6212886924844727e-08,6.033093031050978e-11,1.6152555994534212e-08,9.46883526968176e-10
112,0.0224,0.0,0.009294385667393872,1.2856200936058233e-08,1.5624420585319423e-08,5.221330308337012e-11,1.557220728223605e-08,9.555538388060496e-10
113,0.0226,0.0,0.011450216332980713,1.2273596202455466e-08,1.540299565164675e-08,8.133590601608551e-11,1.532165974563066e-08,9.640580019491428e-10
114,0.0228,0.0,0.013618593848251499,1.2963939075280867e-08,1.6506277037086373e-08,6.809603121959706e-11,1.643818100586677e-08,9.730368863201204e-10
115,0.023,0.0,0.012341049629482124,1.2464806825560047e-08,1.6342817565929457e-08,1.8535392686230145e-10,1.6157463639067154e-08,9.81851418004126e-10
116,0.0232,0.0,0.012341045963610896,1.2355225848651825e-08,1.5956691480122593e-08,4.412483383314629e-11,1.5912566646289443e-08,9.904989627764666e-10
117,0.0234,0.0,0.011097527025816626,1.248821630133885e-08,1.6145936266735566e-08,7.96560504505266e-11,1.6066280216285035e-08,9.992841397125739e-10
