step,radius,beta
0,1.069726656647247e-10,0.0
1,1.1407437015718457e-10,0.0
2,1.219433583405795e-10,0.0
3,1.297252257078129e-10,0.0
4,1.37791427227225e-10,0.0
5,1.4578329606896955e-10,0.0
6,1.531148511877188e-10,0.0
7,1.602371716287473e-10,0.0
8,1.6743224454924329e-10,0.0
9,1.7428917785343487e-10,0.0
10,1.8102285925069892e-10,0.0
11,1.8799151792311715e-10,0.0
12,1.94713623816546e-10,0.0
13,2.0141775050804226e-10,0.0
14,2.0850069503506822e-10,0.0
15,2.160517875987e-10,0.0
16,2.2382676672449968e-10,0.0
17,2.3126734444377634e-10,0.0
18,2.386500239747054e-10,0.0
19,2.45919804017923e-10,0.0
20,2.5323013152930865e-10,0.0
21,2.600293209762307e-10,0.0
22,2.670588887770898e-10,0.0
23,2.7410125964625507e-10,0.0
24,2.812102011678084e-10,0.0
25,2.879996911556466e-10,0.0
26,2.9475730694607765e-10,0.0
27,3.016269992310715e-10,0.0
28,3.0846448116755446e-10,0.0
29,3.1575553507160997e-10,0.0
30,3.23239215276873e-10,0.0
31,3.309461071818504e-10,0.0
32,3.384292373632393e-10,0.0
33,3.457894502600432e-10,0.0
34,3.5367935773453713e-10,0.0
35,3.6166109350169517e-10,0.0
36,3.6974692405207996e-10,0.0
37,3.7805448175199646e-10,0.0
38,3.86951394278725e-10,0.0
39,3.956541500237387e-10,0.0
40,4.045100911170631e-10,0.0
41,4.136191479460313e-10,0.0
42,4.222316392622613e-10,0.0
43,4.3074213575996723e-10,0.0
44,4.386910917408981e-10,0.0
45,4.4673173910718355e-10,0.0
46,4.547575950420919e-10,0.0
47,4.627548950629048e-10,0.0
48,4.712609507626954e-10,0.0
49,4.795979355044986e-10,0.0
50,4.876133121286123e-10,0.0
51,4.960083416567494e-10,0.0
52,5.04278767486641e-10,0.0
53,5.126922761020629e-10,0.0
54,5.206549520005602e-10,0.0
55,5.28818104449403e-10,0.0
56,5.371698691252552e-10,0.0
57,5.458418308481781e-10,0.0
58,5.543345664025329e-10,0.0
59,5.626101790304796e-10,0.0
60,5.707462676114694e-10,0.0
61,5.789332420685245e-10,0.0
62,5.868558600526399e-10,0.0
63,5.947557182657719e-10,0.0
64,6.026153645079709e-10,0.0
65,6.102083108765047e-10,0.0
66,6.179427022145175e-10,0.0
67,6.257688168060745e-10,0.0
68,6.336510251824411e-10,0.0
69,6.418532351604949e-10,0.0
70,6.500195325634903e-10,0.0
71,6.578420080046648e-10,0.0
72,6.654503783207723e-10,0.0
73,6.731510824056791e-10,0.0
74,6.812102238794742e-10,0.0
75,6.889897849333015e-10,0.0
76,6.971858589269876e-10,0.0
77,7.050261057519995e-10,0.0
78,7.123577868879284e-10,0.0
79,7.19912651036947e-10,0.0
80,7.263442322605429e-10,0.0
81,7.331109779549544e-10,0.0
82,7.39853778427491e-10,0.0
83,7.46739407935842e-10,0.0
84,7.536808875658827e-10,0.0
85,7.606329512203015e-10,0.0
86,7.67557292730662e-10,0.0
