step,time,radius,rate,smooth_rate,perturb_rate,gate_rate,gate_forcing,eta,eta_smooth,eta_gate,attempts
1,0.0002,5.363588972865159e-12,4.570490151214107,4.5648187473883794,0.005671403725727871,0.0,1.078836052027634e-08,1.6012331380999212e-08,2.085662751545037e-09,1.3926668629454174e-08,2
2,0.0004,1.082643858244967e-11,4.57163398652964,4.564818329893249,0.006815656536390436,0.0,1.104809741272698e-08,1.6224147383380543e-08,2.1136805771299225e-09,1.4110466806250622e-08,2
3,0.0006000000000000001,1.6879506415830376e-11,4.573050580706045,4.564818119327695,0.008232461278350183,0.0,1.2333581447113435e-08,1.7863411771726528e-08,2.1283983451562356e-09,1.573501342657029e-08,2
4,0.0008,2.2865558236779147e-11,4.573050157010265,4.56481770031139,0.008232456598874612,0.0,1.2342662211310504e-08,1.7491723178837752e-08,2.070517507859843e-09,1.542120567097791e-08,2
5,0.001,2.9070328636326915e-11,4.573049759936927,4.564817280536301,0.008232479300625366,0.0,1.2860429213991127e-08,1.8039674534930532e-08,2.084761705446619e-09,1.5954912829483915e-08,2
6,0.0012000000000000001,3.52179200530535e-11,4.571878430119408,4.5648168600011925,0.007061570018215949,0.0,1.2655080584944278e-08,1.7930921896980215e-08,2.0829988578555535e-09,1.5847923039124663e-08,2
7,0.0014,4.085757783670678e-11,4.571867661434842,4.564816438704652,0.0070512226301907505,0.0,1.1538010140763714e-08,1.6481379473235354e-08,2.0743379398850405e-09,1.4407041533350312e-08,2
8,0.0016,4.633628586826716e-11,4.571867224901246,4.564816016644965,0.007051208156281358,0.0,1.1141210846883267e-08,1.604801412102611e-08,2.092479759138064e-09,1.3955534361888047e-08,1
9,0.0018000000000000002,5.1870957345571756e-11,4.570853588848687,4.564815593821408,0.0060379949272786615,0.0,1.12109635740911e-08,1.623295255944115e-08,2.19513878008153e-09,1.4037813779359619e-08,1
10,0.002,5.7145521425719136e-11,4.570853143264907,4.5648151702324515,0.0060379729324558625,0.0,1.0707257461047379e-08,1.541141790381711e-08,2.054816786764322e-09,1.3356601117052789e-08,1
11,0.0022,6.232527634669147e-11,4.572076312712045,4.564814745876602,0.007261566735442233,0.0,1.0567569493040657e-08,1.5053094399537632e-08,2.054318964366605e-09,1.2998775435171025e-08,1
12,0.0024000000000000002,6.768578301778242e-11,4.569744948350291,4.564814320752413,0.004930627497877388,0.0,1.0667055475538443e-08,1.583342333890804e-08,2.123590690380864e-09,1.3709832648527177e-08,1
13,0.0026000000000000003,7.285663370503537e-11,4.570813101708515,4.56481389485875,0.005999206749765271,0.0,1.0209849679046235e-08,1.531821128258041e-08,2.0971290241673446e-09,1.3221082258413067e-08,1
14,0.0028,7.801365423695557e-11,4.570812668199736,4.564813468194236,0.005999199905499072,0.0,1.026133525213164e-08,1.5173971576150297e-08,2.0356213860560275e-09,1.313835019009427e-08,1
15,0.003,8.346207310389863e-11,4.570235191543137,4.564813040757359,0.005422150685778022,0.0,1.075294584952549e-08,1.61151616403955e-08,2.117492107684798e-09,1.3997669532710701e-08,1
16,0.0032,8.927060584515385e-11,4.570448649854893,4.5648126125467146,0.005636037208178913,0.0,1.1614246415193814e-08,1.7028688678108806e-08,2.153221678263268e-09,1.4875466999845538e-08,1
17,0.0034000000000000002,9.525135901884591e-11,4.572451709043021,4.564812183560984,0.00763952538203678,0.0,1.2087792958982609e-08,1.7389118392104626e-08,2.113613504090312e-09,1.5275504888014315e-08,1
18,0.0036000000000000003,1.0097488034136639e-10,4.572451274350219,4.5648117537987165,0.007639520451502237,0.0,1.1556990584418817e-08,1.6607002848834995e-08,2.086864917558958e-09,1.4520137931276038e-08,1
19,0.0038,1.0665386459592721e-10,4.572450812727919,4.564811323259003,0.0076394893689149075,0.0,1.14092810010891e-08,1.650595842416277e-08,2.118612100389917e-09,1.4387346323772853e-08,1
20,0.004,1.1224600309071001e-10,4.571298449839974,4.564810891939703,0.006487557800271159,0.0,1.1206956258122807e-08,1.6248412135245175e-08,2.1452053812058515e-09,1.4103206754039324e-08,1
21,0.004200000000000001,1.1786933194562203e-10,4.5712980298561074,4.564810459839645,0.006487569916462203,0.0,1.1261864348124753e-08,1.632382128079106e-08,2.065065247645797e-09,1.425875603314526e-08,1
22,0.0044,1.230994776740236e-10,4.571297566576136,4.564810026957513,0.00648753951862231,0.0,1.0497197296630618e-08,1.5097765385096636e-08,2.108471436624139e-09,1.2989293948472498e-08,1
23,0.0046,1.2850683752083829e-10,4.5712971676072325,4.564809593295111,0.006487574212120987,0.0,1.0822663135201889e-08,1.563405664879976e-08,2.152353029920946e-09,1.3481703618878814e-08,1
24,0.0048000000000000004,1.3392404588173466e-10,4.571315991784285,4.56480915884484,0.006506832839445143,0.0,1.0817286377173894e-08,1.5663932351647222e-08,2.057855388105365e-09,1.3606076963541858e-08,1
25,0.005,1.3939246243677567e-10,4.571428979853653,4.564808723608245,0.006620256145409128,0.0,1.0816262931626556e-08,1.589610052949421e-08,2.156143054219757e-09,1.3739957475274452e-08,1
26,0.005200000000000001,1.4461514704280506e-10,4.571295859607983,4.564808287583915,0.006487571924068336,0.0,1.0184603167954364e-08,1.5274682561065695e-08,2.030254521921256e-09,1.324442803914444e-08,1
27,0.0054,1.4981331303544432e-10,4.57129539487456,4.564807850770502,0.006487544004058087,0.0,1.0093620667231226e-08,1.521925365908993e-08,2.0554674421740175e-09,1.3163786216915912e-08,1
28,0.0056,1.5509769171620886e-10,4.570162892747013,4.5648074131666325,0.005355479480380797,0.0,1.0229551649741423e-08,1.549059939781272e-08,2.1697181057983703e-09,1.3320881292014351e-08,1
29,0.0058000000000000005,1.603572932058111e-10,4.570162448888494,4.564806974770935,0.005355474017559004,0.0,1.0083069003619147e-08,1.5489102296022077e-08,2.0968714669139498e-09,1.3392230829108126e-08,1
30,0.006,1.6596579620893073e-10,4.570408691283523,4.564806535581994,0.005602155601529889,0.0,1.0988886555706978e-08,1.630291775447027e-08,2.0356031460390986e-09,1.4267314608431171e-08,1
31,0.006200000000000001,1.717224732899023e-10,4.5715903890690655,4.564806095598296,0.006784293370769292,0.0,1.1231340686665393e-08,1.6775162784298522e-08,2.046446430228281e-09,1.472871635407024e-08,1
32,0.0064,1.7765085167834648e-10,4.574112624983114,4.5648056548184375,0.009306970064676196,0.0,1.157222574227358e-08,1.7265634084757736e-08,2.027794264828109e-09,1.5237839819929626e-08,1
33,0.0066,1.834071056640302e-10,4.574112165281065,4.564805213240967,0.009306951940098089,0.0,1.1233769337585718e-08,1.6716745086351897e-08,2.1056826446777563e-09,1.461106244167414e-08,1
34,0.0068000000000000005,1.8906880789234088e-10,4.574111718652099,4.564804770864375,0.009306947687724753,0.0,1.095047444753627e-08,1.6501167733504725e-08,2.0461544143614202e-09,1.4455013319143304e-08,1
35,0.007,1.9513796748810546e-10,4.577404746832993,4.564804327687311,0.012600419045682444,0.0,1.1635153962668589e-08,1.7826313464250898e-08,2.081601672472631e-09,1.5744711791778265e-08,1
36,0.007200000000000001,2.0127776423207318e-10,4.577404303248013,4.564803883708295,0.012600419439717804,0.0,1.1951719840016469e-08,1.7834990773124767e-08,2.0738205374814564e-09,1.576117023564331e-08,1
37,0.0074,2.0749763388621533e-10,4.577403863520245,4.564803438925916,0.012600424494329344,0.0,1.2172864620432614e-08,1.7985923066307786e-08,2.0510946163950676e-09,1.593482844991272e-08,1
38,0.0076,2.138880628861511e-10,4.577403419170065,4.564802993338866,0.012600425731199716,0.0,1.2695105509030324e-08,1.8287617844938392e-08,2.0435343684519895e-09,1.6244083476486403e-08,1
39,0.0078000000000000005,2.2073184175286533e-10,4.5805489519684475,4.564802546945731,0.015746404922716433,0.0,1.3563547409911038e-08,1.965495273133648e-08,2.1108073727202837e-09,1.7544145358616195e-08,1
40,0.008,2.2742626924902972e-10,4.580548500701984,4.5648020997450285,0.015746400856955244,0.0,1.3312397649297552e-08,1.912833947957564e-08,2.1352269383832162e-09,1.6993112541192423e-08,1
41,0.0082,2.3423853162851005e-10,4.581780186381744,4.564801651735411,0.016978534546333548,0.0,1.3601416337119436e-08,1.93972769144104e-08,2.0207847080405822e-09,1.7376492206369818e-08,1
42,0.008400000000000001,2.4124549842002406e-10,4.5829829613663975,4.564801202915321,0.018181758351076376,0.0,1.3912223991835672e-08,2.002804710448714e-08,2.145160307398415e-09,1.7882886797088724e-08,1
43,0.0086,2.4787049174020097e-10,4.580701185920903,4.564800753283289,0.01590043253761397,0.0,1.3096430030055075e-08,1.8903294078352535e-08,2.063487651654536e-09,1.6839806426697997e-08,1
44,0.0088,2.5441702750766706e-10,4.580700735955435,4.564800302837848,0.015900433017586577,0.0,1.293460716246782e-08,1.8642661848464517e-08,2.0585933499315945e-09,1.6584068498532924e-08,1
45,0.009000000000000001,2.6053160903146003e-10,4.579567779576807,4.564799851577634,0.014767927899172263,0.0,1.206910277776811e-08,1.7319688174607993e-08,2.0719857493393353e-09,1.5247702425268657e-08,1
46,0.0092,2.667167223901412e-10,4.578449382611545,4.564799399501018,0.013649983010526844,0.0,1.212442521431431e-08,1.758915612878674e-08,2.0276516261250974e-09,1.5561504502661642e-08,1
47,0.0094,2.7289045772468603e-10,4.5784489286231045,4.564798946606687,0.01364998191641721,0.0,1.2292439087820091e-08,1.7335960071495547e-08,2.0704355980628708e-09,1.5265524473432677e-08,1
48,0.009600000000000001,2.790422269714652e-10,4.57844846781059,4.564798492893076,0.013649974817514041,0.0,1.2304529394697404e-08,1.7185823598630218e-08,2.001566206891052e-09,1.5184257391739167e-08,1
49,0.0098,2.855853467405349e-10,4.57951638031937,4.564798038358837,0.014718341860532896,0.0,1.3143659488552074e-08,1.827408332051622e-08,2.122698582734577e-09,1.6151384737781642e-08,1
50,0.01,2.919984119265374e-10,4.579515923021082,4.56479758300244,0.014718339918641885,0.0,1.2980192436613659e-08,1.7757611013076727e-08,2.0046625565634544e-09,1.5752948456513273e-08,1
51,0.0102,2.9816408625277867e-10,4.57726326375531,4.564797126822394,0.012466136832916357,0.0,1.2318564302448158e-08,1.7154147207254744e-08,2.2263941513225575e-09,1.4927753055932187e-08,1
52,0.010400000000000001,3.046218012744226e-10,4.577350399805378,4.564796669817128,0.012553729888250193,0.0,1.3069080617043135e-08,1.7834917921394215e-08,2.078234094814111e-09,1.5756683826580104e-08,1
53,0.0106,3.109836672974162e-10,4.57599141896452,4.564796211985222,0.011195206879298467,0.0,1.2988275773910256e-08,1.7407556176582623e-08,2.0314416635060825e-09,1.537611451307654e-08,1
54,0.0108,3.1745559700158686e-10,4.575990937062813,4.564795753325235,0.011195183637578201,0.0,1.3254209431864937e-08,1.7662577444755105e-08,2.1800785276877118e-09,1.5482498917067394e-08,1
55,0.011000000000000001,3.235807323081232e-10,4.57486662341417,4.564795293835878,0.010071329478292299,0.0,1.2449648147933174e-08,1.6704704953128954e-08,2.0849495273577784e-09,1.4619755425771175e-08,1
